001_00	WANAULIZANA nini?
002_00	Ile khabari kuu,
003_00	Ambayo kwayo wanakhitalifiana.
004_00	La! Karibu watakuja jua.
005_00	Tena la! Karibu watakuja jua.
006_00	Kwani hatukuifanya ardhi kama tandiko?
007_00	Na milima kama vigingi?
008_00	Na tukakuumbeni kwa jozi?
009_00	Na tukakufanya kulala kwenu ni mapumziko?
010_00	Na tukaufanya usiku ni nguo?
011_00	Na tukaufanya mchana ni wa kuchumia maisha?
012_00	Na tukajenga juu yenu saba zenye nguvu?
013_00	Na tukaifanya taa yenye mwanga na joto;
014_00	Na tukateremsha maji yanayo anguka kwa kasi kutoka mawinguni,
015_00	Ili tutoe kwayo nafaka na mimea,
016_00	Na mabustani yenye miti iliyo kamatana.
017_00	Hakika siku ya uamuzi imewekewa wakati wake,
018_00	Siku litapo pulizwa barugumu, nanyi mtakuja kwa makundi,
019_00	Na mbingu zitafunguliwa, ziwe milango,
020_00	Na milima itaondolewa na itakuwa kama sarabi.
021_00	Hakika Jahannamu inangojea!
022_00	Kwa walio asi ndio makaazi yao,
023_00	Wakae humo karne baada ya karne,
024_00	Hawataonja humo chochote kibaridi wala kinywaji,
025_00	Ila maji yamoto sana na usaha,
026_00	Ndio jaza muwafaka.
027_00	Hakika hao hawakuwa wakitaraji kuwa kuna hisabu.
028_00	Na wakikanusha Aya zetu kwa nguvu.
029_00	Na kila kitu Sisi tumekidhibiti kwa kukiandika.
030_00	Basi onjeni! Nasi hatutakuzidishieni ila adhabu!
031_00	Hakika wachamngu wanastahiki kufuzu,
032_00	Mabustani na mizabibu,
033_00	Na wake walio lingana nao,
034_00	Na bilauri zilizo jaa,
035_00	Hawatasikia humo upuuzi wala uwongo -
036_00	Malipo kutoka kwa Mola wako Mlezi, kipawa cha kutosha.
037_00	Mola Mlezi wa mbingu na ardhi na vilio baina yao, Arrahman, Mwingi wa rehema; hawamiliki usemi mbele yake!
038_00	Siku atakapo simama Roho na Malaika kwa safu. Hawatasema ila Mwingi wa rehema aliye mruhusu, na atasema yaliyo sawa tu.
039_00	Hiyo ndiyo Siku ya haki. Basi anaye taka na ashike njia arejee kwa Mola wake Mlezi.
040_00	Hakika tumekuhadharisheni adhabu iliyo karibu kufika; Siku ambayo mtu atakapo ona yaliyo tangulizwa na mikono yake; na kafiri atasema: Laiti ningeli kuwa udongo!
