001_00	Gerçekleşecek olan!
002_00	Nedir o gerçekleşecek olan gün?
003_00	Gerçekleşecek olanın ne olduğunu sana ne bildirir?
004_00	Semud ve Ad milletleri tepelerine inecek bu gerçeği yalanladılar.
005_00	Bu yüzden Semud milleti zorlu bir sarsıntı ile yok edildi.
006_00	Ad milleti de bu yüzden önünde durulmaz, dondurucu bir rüzgarla yok edildi.
007_00	Allah onların kökünü kesmek üzere, üzerlerine o rüzgarı yedi gece sekiz gün, estirdi. Halkın, kökünden çıkarılmış hurma kütükleri gibi yere yıkıldıklarını görürsün.
008_00	Onlardan arda kalmış bir şey görür müsün?
009_00	Firavun, ondan öncekiler ve alt üst olmuş kasabalarda oturanlar da suç işlemişlerdi.
010_00	Rabbinin peygamberine baş kaldırmışlardı. Bunun üzerine Rableri onları şiddeti arttıkça artan bir şekilde yakaladı.
011_00	Su taştığı vakit, size bir ibret olmak üzere, anlayışlı kulaklar anlasın diye süzülen gemide, sizi Biz taşımışızdır.
012_00	Su taştığı vakit, size bir ibret olmak üzere, anlayışlı kulaklar anlasın diye süzülen gemide, sizi Biz taşımışızdır.
013_00	Sura bir üfürüş üfürüldüğü, yer ve dağlar kaldırılıp bir vuruşla birbirine çarpıldığı zaman, işte o gün olacak olur, kıyamet kopar.
014_00	Sura bir üfürüş üfürüldüğü, yer ve dağlar kaldırılıp bir vuruşla birbirine çarpıldığı zaman, işte o gün olacak olur, kıyamet kopar.
015_00	Sura bir üfürüş üfürüldüğü, yer ve dağlar kaldırılıp bir vuruşla birbirine çarpıldığı zaman, işte o gün olacak olur, kıyamet kopar.
016_00	Gök yarılır; o gün düzeni bozulur.
017_00	Melekler onun çevresindedirler; o gün Rabbinin arşını onlardan başka sekiz tanesi yüklenir.
018_00	O gün siz huzura alınırsınız, hiçbir şeyiniz gizli kalmaz.
019_00	Kitabı sağından verilen; "Alın, kitabımı okuyun, doğrusu bir hesaplaşma ile karşılaşacağımı umuyordum" der.
020_00	Kitabı sağından verilen; "Alın, kitabımı okuyun, doğrusu bir hesaplaşma ile karşılaşacağımı umuyordum" der.
021_00	Artık o, meyveleri sarkmış, yüksek bir bahçede, hoş bir yaşayış içindedir.
022_00	Artık o, meyveleri sarkmış, yüksek bir bahçede, hoş bir yaşayış içindedir.
023_00	Artık o, meyveleri sarkmış, yüksek bir bahçede, hoş bir yaşayış içindedir.
024_00	Onlara şöyle denir: "Geçmiş günlerde, peşinen işlediklerinize karşılık afiyetle yiyiniz içiniz."
025_00	Fakat kitabı kendisine solundan verilen kimse: "Kitabım keşke bana verilmeseydi; keşke hesabımın ne olduğunu bilmeseydim; bu iş keşke son bulmuş olsaydı; malım bana fayda vermedi; gücüm de kalmadı" der.
026_00	Fakat kitabı kendisine solundan verilen kimse: "Kitabım keşke bana verilmeseydi; keşke hesabımın ne olduğunu bilmeseydim; bu iş keşke son bulmuş olsaydı; malım bana fayda vermedi; gücüm de kalmadı" der.
027_00	Fakat kitabı kendisine solundan verilen kimse: "Kitabım keşke bana verilmeseydi; keşke hesabımın ne olduğunu bilmeseydim; bu iş keşke son bulmuş olsaydı; malım bana fayda vermedi; gücüm de kalmadı" der.
028_00	Fakat kitabı kendisine solundan verilen kimse: "Kitabım keşke bana verilmeseydi; keşke hesabımın ne olduğunu bilmeseydim; bu iş keşke son bulmuş olsaydı; malım bana fayda vermedi; gücüm de kalmadı" der.
029_00	Fakat kitabı kendisine solundan verilen kimse: "Kitabım keşke bana verilmeseydi; keşke hesabımın ne olduğunu bilmeseydim; bu iş keşke son bulmuş olsaydı; malım bana fayda vermedi; gücüm de kalmadı" der.
030_00	İlgililere şöyle buyurulur: "O'nu alın, bağlayın."
031_00	"Sonra cehenneme yaslayın"
032_00	"Sonra onu boyu yetmiş arşın olan zincire vurun";
033_00	"Çünkü, o, yüce Allah'a inanmazdı."
034_00	"Yoksulun yiyeceği ile ilgilenmezdi."
035_00	"Bu sebeple burada bugün onun bir acıyanı yoktur."
036_00	"Günahkarların yiyeceği olan kanlı irinden başka bir yiyeceği de yoktur."
037_00	"Günahkarların yiyeceği olan kanlı irinden başka bir yiyeceği de yoktur."
038_00	Görebildikleriniz ve göremedikleriniz üzerine yemin ederim ki, Kuran şerefli bir elçinin getirdiği sözdür.
039_00	Görebildikleriniz ve göremedikleriniz üzerine yemin ederim ki, Kuran şerefli bir elçinin getirdiği sözdür.
040_00	Görebildikleriniz ve göremedikleriniz üzerine yemin ederim ki, Kuran şerefli bir elçinin getirdiği sözdür.
041_00	O, şair sözü değildir; ne az inanıyorsunuz!
042_00	Kahin sözü de değildir; ne az düşünüyorsunuz!
043_00	Kuran, Alemlerin Rabbinden indirilmedir.
044_00	Eğer o (Muhammed), Bize karşı, ona bazı sözler katmış olsaydı, Biz onu kuvvetle yakalardık, sonra onun şah damarını koparırdık.
045_00	Eğer o (Muhammed), Bize karşı, ona bazı sözler katmış olsaydı, Biz onu kuvvetle yakalardık, sonra onun şah damarını koparırdık.
046_00	Eğer o (Muhammed), Bize karşı, ona bazı sözler katmış olsaydı, Biz onu kuvvetle yakalardık, sonra onun şah damarını koparırdık.
047_00	Hiçbiriniz de onu koruyamazdınız.
048_00	Doğrusu Kuran Allah'a karşı gelmekten sakınanlara bir öğüttür.
049_00	İçinizde yalanlayanlar bulunduğunu şüphesiz bilmekteyiz.
050_00	Doğrusu Kuran, inkarcılar için bir üzüntüdür.
051_00	O, şüphesiz kesin gerçektir.
052_00	Öyleyse çok büyük olan Rabbinin adını tesbih et.
