001_00	Bij de dageraad.
002_00	Bij de tien nachten. (De eerste tien dagen en nachten van de maand Dzoelhiddjah)
003_00	Bij het even en het oneven.
004_00	Bij de nacht wanneer hij voorbijgaat.
005_00	Is daarin geen eed voor de bezitter van verstand?
006_00	Heb jij niet vernomen hoe jouw Heer de 'Ad heeft behandeld?
007_00	Van de stad Iram met zijn zuilen?
008_00	Zoals nog nooit een stad is geschapen in de landen?
009_00	En de Tsamôed die de rotsen uithieuwen in de vallei?
010_00	En Fir'aun, de bezitter van de pinnen?
011_00	Degenen die overtraden in het land?
012_00	En daarin veelvuldig verderf zaaiden?
013_00	Toen deed jouw Heer de gesel van de bestraffing op hen neerdalen.
014_00	Voorwaar, jouw Heer is zeker waakzaam.
015_00	Wat de mens betreft, wanneer zijn Heer hem op de proef stelt en hem aanzien geeft en hem genietingen schenkt, dan zegt hij: "Mijn Heer heeft mij geëerd."
016_00	Maar wanneer Hij hem beproeft, en dan zijn voorzieningen beperkt, dan zegt hij: "Mijn Heer heeft mij vernederd."
017_00	Nee! Jullie ondersteunen immers de wees niet.
018_00	En jullie sporen elkaar niet aan tot het voeden van de behoeftigen.
019_00	En jullie verteren het erfdeel inhalig.
020_00	En jullie beminnen het bezit met overdreven liefde.
021_00	Nee, wanneer de aarde met klappen verpulverd wordt.
022_00	En jouw Heer komt, en de Engelen, rij na rij.
023_00	En op de Dag dat de Hel wordt getoond, op die Dag zal de mens zich (zijn slechte daden) herinneren, maar wat baat hem dan nog de herinnering?
024_00	Hij zegt: "Wee, had ik maar goede (daden) verricht tijdens mijn leven."
025_00	Maar op die Dag is er niemand die straft zoals Hij.
026_00	En niemand knevelt zoals Hij knevelt.
027_00	O tot rust gekomen ziel!
028_00	Keer terug tot jouw Heer, behaagd en welbehaagd (ontvangen door Hem).
029_00	En treed binnen onder Mijn dienaren.
030_00	En treed binnen in Mijn Paradijs.
