001_00	Hā Mīm.
002_00	Objava je od Milostivog, Samilosnog,
003_00	Knjiga čiji su ajeti jasno izloženi, Kur'an na arapskom jeziku za ljude koji znaju,
004_00	vjesnik radosnih vijesti i opomena – pa opet većina njih glavu okreće, neće ni da čuje.
005_00	"Srca naša su" – govore oni – "pod pokrivačima, daleka od onoga čemu nas ti pozivaš, i mi smo gluhi za to, a između nas i tebe je pregrada, pa ti radi, i mi ćemo raditi."
006_00	Reci: "Ja sam čovjek kao i vi, samo – meni se objavljuje da je vaš Bog samo jedan Bog, zato se Njemu iskreno klanjajte i od Njega oprosta tražite! A teško onima koji Njemu druge ravnim smatraju,
007_00	koji zekat ne daju i koji u onaj svijet ne vjeruju!
008_00	One koji vjeruju i dobra djela čine zbilja čeka nagrada neprekidna."
009_00	Reci: "Zar, zaista, nećete da vjerujete u Onoga koji je u dva vremenska razdoblja Zemlju stvorio – i još Mu druge ravnim smatrate? To je Gospodar svjetova!"
010_00	On je nepomična brda po njoj stvorio i blagoslovljenom je učinio i proizvode njezine na njoj odredio, sve to u četiri vremenska razdoblja – ovo je objašnjenje za one koji pitaju –
011_00	zatim se nebeskim visinama uputio dok je nebo još maglina bilo, pa njemu i Zemlji rekao: "Pojavite se milom ili silom!" – "Pojavljujemo se drage volje!" – odgovorili su,
012_00	pa ih u dva vremenska razdoblja, kao sedam nebesa, stvorio, i odredio šta će se u svakom nebu nalaziti.
012_01	A nebo najbliže sjajnim zvijezdama smo ukrasili i nad njim Mi bdijemo. To je odredba Silnoga i Sveznajućega.
013_00	A ako glave okrenu, ti reci: "Opominjem vas munjom onakvom kakva je pogodila Ada i Semuda,
014_00	kada su im sa svih strana poslanici njihovi dolazili i govorili: "Ne klanjajte se nikome do Allahu!" – a on
014_01	i odgovarali: "Da je Gospodar naš htio, On bi meleke poslao, mi ne vjerujemo u ono što je po vama poslano."
015_00	Ad se bez ikakva osnova bio na Zemlji uzoholio.
015_01	"Ko je od nas jači?" – govorili su. A zar nisu znali da je Allah, koji ih je stvorio, jači od njih – a i znamenja Naša su poricali.
016_00	I Mi poslasmo protiv njih, u danima nesretnim, vjetar leden, da bismo im još na ovome svijetu dali da osjete sramnu patnju –
016_01	patnja na onom svijetu biće, zaista, još sramnija – i niko im neće u pomoć priteći.
017_00	I Semudu smo na Pravi put ukazivali, ali, njima je bila milija sljepoća od Pravog puta, pa ih je stigla sramna kazna od munje, prema onome kako su zaslužili,
018_00	a one koji su vjerovali i Allaha se bojali Mi smo spasili.
019_00	A na Dan kad Allahovi neprijatelji u vatru budu potjerani – oni prvi biće zadržani, da bi ih sustigli ostali –
020_00	i kad dođu do nje, uši njihove, i oči njihove, i kože njihove svjedočiće protiv njih o onome što su radili.
021_00	"Zašto svjedočite protiv nas?" – upitaće oni kože svoje. – "Allah, koji je dao sposobnost govora svakome biću, obdario je darom govora i nas" – odgovoriće. – "On vas je prvi put stvorio i Njemu ste se, evo, vratili.
022_00	Vi se niste krili zato da ne bi uši vaše i oči vaše i kože vaše protiv vas svjedočile, već zato što ste vjerovali da Allah neće saznati mnogo štošta što ste radili.
023_00	I to vaše uvjerenje, koje ste o Gospodaru svome imali, upropastilo vas je, i sada ste nastradali."
024_00	Pa i ako budu trpjeli, njihovo boravište će Vatra biti; a ako budu tražili naklonost Allahovu, njihovoj molbi neće se udovoljiti.
025_00	Mi smo im bili odredili loše drugove koji su im lijepim prikazivali ono što su uradili i ono što će uraditi, i na njima se obistinilo ono što je rečeno za narode, džine i ljude koji su prije njih bili i nestali – doista su nastradali.
025_01	
026_00	Oni koji ne vjeruju govore: "Ne slušajte ovaj Kur'an, nego pravite buku da biste ga nadvikali!"
027_00	Zato ćemo Mi, sigurno, dati da nevjernici iskuse nesnosnu patnju, i kaznićemo ih najgorom kaznom za djela koja su počinili.
028_00	To je kazna za Allahove neprijatelje, vatra u kojoj će im vječna kuća biti, kao naplata što su dokaze Naše stalno poricali.
029_00	I nevjernici će reći: "Gospodaru naš, pokaži nam džine i ljude, one koji su nas zaveli, da ih stavimo pod noge naše, neka budu najdonji."
030_00	Onima koji govore: "Gospodar naš je Allah" – pa poslije ostanu pri tome – dolaze meleki: "Ne bojte se i ne žalostite se, i radujte se Džennetu koji vam je obećan.
031_00	Mi smo zaštitnici vaši u životu na ovome svijetu, a i na onome; u njemu ćete imati sve ono što duše vaše zažele, i što god zatražite – imaćete,
032_00	bićete počašćeni od Onoga koji prašta i koji je milostiv."
033_00	A ko govori ljepše od onoga koji poziva Allahu, koji dobra djela čini i koji govori: "Ja sam doista musliman!"
034_00	Dobro i zlo nisu isto! Zlo dobrim uzvrati, pa će ti dušmanin tvoj odjednom prisni prijatelj postati.
035_00	To mogu postići samo strpljivi; to mogu postići samo vrlo sretni.
036_00	A kad šejtan pokuša da te na zle misli navede, ti zatraži utočište u Allaha, jer On, uistinu, sve čuje i zna sve.
037_00	Među znamenjima Njegovim su noć i dan, i Sunce i Mjesec.
037_01	Ne padajte licem na tle ni pred Suncem ni pred Mjesecom, već padajte licem na tle pred Allahom, koji ih je stvorio, ako želite da se samo Njemu jedinom klanjate.
038_00	A ako oni neće da te poslušaju – pa, oni koji su kod Gospodara tvoga hvale Ga i noću i danju i ne dosađuju se.
039_00	Jedno od znamenja Njegovih je i to što ti vidiš suhu zemlju, a kad na nju spustimo kišu, ona se pokrene i uzbuja.
039_01	Onaj ko njoj daje život oživiće, sigurno, i umrle, jer je On kadar sve.
040_00	Oni koji riječi Naše izvrću neće se, doista, od Nas sakriti. Pa da li će biti ugodnije onome koji u Vatru bude bačen ili onome koji na Sudnji dan dođe smiren?
040_01	Radite šta hoćete, On, zaista, vidi šta vi radite.
041_00	Oni koji ne vjeruju u Kur'an, pošto im je objavljen… A on je, zaista, knjiga zaštićena,
042_00	laž joj je strâna, bilo s koje strane, ona je Objava od Mudroga i Hvale dostojnoga.
043_00	Tebi se neće reći ništa što već nije rečeno poslanicima prije tebe. Gospodar tvoj zaista prašta, a i bolno kažnjava.
