001_00	Haa, Miim.
002_00	Demi Al-Quran Kitab yang menerangkan kebenaran.
003_00	Sesungguhnya Kami telah menurunkan Al-Quran itu pada malam yang berkat; (Kami berbuat demikian) kerana sesungguhnya Kami sentiasa memberi peringatan dan amaran (jangan hamba-hamba Kami ditimpa azab).
004_00	(Kami menurunkan Al-Quran pada malam yang tersebut, kerana) pada malam yang berkat itu, dijelaskan (kepada malaikat) tiap-tiap perkara yang mengandungi hikmat serta tetap berlaku, (tidak berubah atau bertukar).
005_00	Iaitu perkara-perkara yang terbitnya dari hikmat kebijaksanaan Kami; sesungguhnya telah menjadi adat Kami mengutus Rasul.
006_00	(Untuk menyampaikan) rahmat dari Tuhanmu (kepada umat manusia); sesungguhnya Allah Jualah Yang Maha Mendengar, lagi Maha Mengetahui (akan segala keadaan hamba-hambaNya).
007_00	Tuhan (yang mencipta dan mentadbirkan keadaan) langit dan bumi serta segala yang ada di antara keduanya; kalau betul kamu orang-orang yang yakin (akan hakikat itu, maka terimalah sahaja apa yang diutuskan kepada kamu).
008_00	Tiada Tuhan yang berhak disembah melainkan Dia; Dia lah Yang menghidupkan dan Yang mematikan; (Dia lah jua) Tuhan kamu dan Tuhan datuk nenek kamu yang telah lalu.
009_00	(Mereka tidak meyakini kebenaran yang dijelaskan kepada mereka), bahkan mereka masih tenggelam dalam keraguan sambil bermain-main dengan perkara ugama.
010_00	Oleh itu tunggulah (wahai Muhammad) semasa langit membawa asap kemarau yang jelas nyata (yang menyebabkan kebuluran yang dahsyat),
011_00	Yang akan menimpa seluruh keadaan manusia (yang kafir itu, sehingga mereka akan berkata: "Ini adalah azab yang sungguh menyakitkan".
012_00	(Pada saat itu mereka akan merayu dengan berkata): "Wahai Tuhan kami! Hapuskanlah azab ini dari kami, sesungguhnya kami akan beriman!".
013_00	Bagaimana mereka dapat beringat (menyempurnakan janji mereka hendak beriman itu)? Pada hal mereka telah pun didatangi seorang Rasul yang memberi keterangan-keterangan (yang cukup untuk mereka beriman)!
014_00	Sekalipun demikian, mereka juga berpaling ingkar daripada menerima keterangannya sambil berkata (sesama sendiri): "Dia seorang yang diajar (oleh bangsa asing), dia juga seorang yang gila!"
015_00	Sesungguhnya (kalaulah) kami hapuskan azab itu barang sedikitpun, sudah tentu kamu akan kembali (kufur ingkar).
016_00	(Ingatlah! Kalau kamu ulangi keingkaran kamu, kamu akan dibinasakan) semasa Kami timpakan (kamu dengan) paluan yang besar (dari pihak lawan kamu); sesungguhnya Kami tetap akan menyeksa (dengan azab yang seberat-beratnya).
017_00	Dan demi Sesungguhnya! Sebelum mereka, Kami telah menguji kaum Firaun, dan merekapun telah didatangi oleh seorang Rasul (Nabi Musa) Yang mulia, -
018_00	(Yang memberitahu kepada mereka dengan katanya): Berikanlah kepadaku wahai hamba-hamba Allah (apa-apa yang menandakan kamu menerima kerasulanku); sesungguhnya aku ini seorang Rasul yang amanah, yang diutuskan kepada kamu.
019_00	"Dan janganlah kamu berlaku sombong takbur terhadap Allah; sesungguhnya aku ada membawa kepada kamu mukjizat yang jelas nyata.
020_00	"Dan sesungguhnya aku telah memohon perlindungan kepada Tuhanku dan Tuhan kamu, daripada kamu merejam (atau menyakiti) daku.
021_00	"Dan sekiranya kamu tidak juga mahu berimankan kerasulanku, maka putuskanlah perhubungan kamu denganku (janganlah mengganggu daku)."
