001_00	Betohem në këtë qytet,
002_00	pasi në të, ti je i lirë (o Muhammed), -
003_00	dhe (betohem) në ata që kanë lindur dhe lindën,
004_00	Na, e krijuam njeriun që të luftojë në vështirësi (për të dy jetërat).
005_00	A mendon ai se askush nuk mund t’i bëjë gjë?
006_00	Ai thotë: “Kam shpenzuar pasuri të pamasë!”
007_00	Vallë, a mendon ai, se, nuk e ka parë askush?
008_00	A nuk ia kemi dhënë dy sytë,
009_00	edhe gjuhën edhe dy buzët,
010_00	dhe të mirën e të keqen ia kemi shpjeguar?
011_00	E, përse nuk është përpjekur të kapërcejë vështirësitë?
012_00	E kush mund të shpjegojë ç’është vështirësia (për të punuar vepra të mira)?
013_00	me liruar skllavin (nga skllavëria),
014_00	ose me ushqyer, kur bredh uria (të urët)
015_00	bonjakun e afërm
016_00	ose të varfërin e mjerë,
017_00	e pos këtyre, të jetë nga ata që besojnë, të cilët njëri-tjetri i japin kurajo për durim dhe kurajo për mëshirë;
018_00	ët gjithë këta, do të jenë të lumtur!
019_00	E, ata që nuk besojnë në argumentet Tona, ata do të jenë fatzinj,
020_00	ata do të jenë në zjarrin e mbyllur.
