001_00	Sana, ganimetlere dair soru sorarlar, de ki: Ganimetler Allah'ın ve Peygamberindir.
001_01	İnanıyorsanız Allah'tan sakının, aranızdaki münasebetleri düzeltin, Allah'a ve Peygamberine itaat edin.
002_00	İnananlar ancak, o kimselerdir ki Allah anıldığı zaman kalbleri titrer, ayetleri okunduğu zaman bu onların imanlarını artırır. Ve Rablerine güvenirler; namaz kılarlar; kendilerine verdiğimiz rızıktan yerli yerince sarf ederler.
003_00	İnananlar ancak, o kimselerdir ki Allah anıldığı zaman kalbleri titrer, ayetleri okunduğu zaman bu onların imanlarını artırır. Ve Rablerine güvenirler; namaz kılarlar; kendilerine verdiğimiz rızıktan yerli yerince sarf ederler.
004_00	İşte gerçekten inanmış olanlar bunlardır. Onlara Rablerinin katında mertebeler, mağfiret ve cömertçe verilmiş rızıklar vardır.
005_00	Nitekim, Rabbin seni hak uğrunda evinden savaş için çıkarmıştı, oysa müslümanların bir takımı bundan hoşlanmamıştı.
006_00	Sanki göz göre göre ölüme sürükleniyorlarmış gibi, gerçek ortaya çıktıktan sonra bile seninle tartışıyorlardı.
007_00	Allah bu iki taifeden birini size vadetmişti; siz, kuvvetsiz olanın size düşmesini istiyordunuz.
007_01	Oysa, suçluların hoşuna gitmese de, hakkı ortaya çıkarmak ve batılı tepelemek için, Allah sözleriyle hakkı ortaya koymak ve inkarcıların kökünü kesmek istiyordu.
008_00	Allah bu iki taifeden birini size vadetmişti; siz, kuvvetsiz olanın size düşmesini istiyordunuz. Oysa, suçluların hoşuna gitmese de, hakkı ortaya çıkarmak ve batılı tepelemek için, Allah sözleriyle hakkı ortaya koymak ve inkarcıların kökünü kesmek istiyordu.
009_00	Rabbinizin yardımına sığınıyordunuz. O, "Ben size, birbiri peşinden bin melekle yardım ederim" diye cevap vermişti.
010_00	Allah bunu ancak bir müjde olması ve kalblerinizin yatışması için yapmıştı. Yardım ancak Allah katındandır. Doğrusu Allah güçlüdür, hakimdir.
011_00	Allah kendi katından bir güven işareti olarak sizi hafif bir uykuya daldırmıştı.
011_01	Sizi arıtmak, sizden şeytan vesvesesini gidermek, kalblerinizi pekiştirmek ve sebatınızı artırmak için gökten size su indirmişti.
012_00	Rabbin meleklere, "Ben sizinleyim, inananları destekleyin" diye vahyetti.
012_01	"Ben inkar edenlerin kalblerine korku salacağım, artık vurun onların boyunları üstüne, vurun her parmağına" dedi.
013_00	Bu, onların Allah'a ve Peygamberine karşı koymalarındandır. Kim Allah'a ve peygamberine karşı koyarsa, bilsin ki, Allah'ın cezası şiddetlidir.
014_00	İşte bunu tadın, inkar edenlere cehennem azabı da vardır.
015_00	Ey İnananlar! Savaş için ilerlerken, inkar edenlerle toplu halde karşılaştığınızda onlara arkanızı dönmeyin.
016_00	Tekrar savaşmak için bir tarafa çekilmek veya bir başka topluluğa katılmak maksadı dışında, o gün arkasını düşmana dönen kimse Allah'dan bir gazaba uğramış olur.
016_01	Onun varacağı yer cehennemdir. Ne kötü bir dönüştür!
017_00	Onları siz öldürmediniz fakat Allah öldürdü. Attığın zaman da sen atmamıştın, fakat Allah atmıştı.
017_01	Allah bunu, inananları güzel bir imtihana tabi tutmak için yapmıştı. Doğrusu O işitir ve bilir.
018_00	İşte bu, Allah'ın inkarcıların düzenini zayıflatıp yok etmesidir.
019_00	Ey inkarcılar! Zafer istiyorsanız, işte zafer geldi (aleyhinize çıktı).
