001_00	Nôen. Bij de pen en wat zij schrijven.
002_00	Jij bent dankzij de gunst van jouw Heer geen bezetene.
003_00	En voorwaar, voor jou is er zeker een beloning zonder onderbreking.
004_00	En voorwaar, jij beschikt over een hoogstaand karakter.
005_00	Jullie zullen zien en zij zullen zien.
006_00	Wie van jullie de (met bezetenheid) beproefde is.
007_00	Voorwaar, jouw Heer weet het beste wie van Zijn Weg is afgedwaald en Hij kent het beste de rechtgeleiden.
008_00	Gehoorzaam daarom de loochenaars niet.
009_00	Zij wensen dat jij toegeeflijk zal worden, dan zullen zij (ook) toegeeflijk worden.
010_00	En gehoorzaam geen enkele verachtelijke edenzweerder.
011_00	Een lasteraar die rondloopt met roddelpraat.
012_00	Een tegenhouder van het goede, buitensporig, zondig.
013_00	Die daarnaast ook nog een bruut is, en bastaard.
014_00	(Hij is ongelovig) omdat hij een bezitter van rijkdom en zonen is.
015_00	Wanneer Onze Verzen aan hem voorgedragen worden, dan zegt hij: "Fabels van de vroegeren."
016_00	Wij zullen hem brandmerken op zijn snuit.
017_00	Wij hebben hen beproefd zoals Wij de bezitters van de tuin hebben beproefd, toen zij zwoeren in de morgen van haar (vruchten) te zullen plukken.
018_00	Maar zij maakten geen voorbehoud.
019_00	Toen ging er een bezoeking (storm) van jouw Heer in haar rond, terwijl zij sliepen.
020_00	Zij werd als een verschroeid stoppelveld.
021_00	Toen riepen zij tot elkaar in de ochtend.
022_00	"Gaat deze ochtend naar jullie akkers, als jullie van plan zijn om te oogsten."
023_00	Zo vertrokken zij, terwijl zij naar elkaar fluisterden.
024_00	(Zij zeiden:) "Laat er deze dag geen enkele arme bij jullie binnengaan."
025_00	En zij vertrokken die ochtend, vastbesloten om (de armen) te weren.
026_00	Maar toen zij haar (de tuin) zagen, zeiden zij: "Voorwaar, wij zijn zeker dwalenden.
027_00	Wij zijn zelfs beroofd."
028_00	De meest wijze onder hen zei: "Heb ik jullie niet gezegd dat jullie de Glorie (van Allah) hadden moeten prijzen!"
029_00	Zij zeiden: "Heilig is onze Heer: voorwaar, wij waren onrechtvaardig."
030_00	Toen keerde de ene groep zich tegen de andere, elkaar verwijten makend.
031_00	Zij zeiden: "Wee ons! Voorwaar, wij waren buitensporig.
032_00	Hopelijk zal onze Heer ons een betere (tuin) in de plaats van deze geven: voorwaar, wij hopen vurig (op vergeving) van onze Heer."
033_00	Zo was de bestraffing. En de bestraffing in het Hiernamaals is zeker groter, als zij het zouden weten!
034_00	Voorwaar, voor de Moettaqôen zijn er bij hun Heer Tuinen van gelukzaligheid (het Paradijs).
035_00	Zullen Wij hen die zich aan Allah hebben overgegeven net zo behandelen als de misdadigers?
036_00	Wat is er met jullie? Hoe oordelen jullie?
037_00	Of hebben jullie een Schrift waar jullie in kunnen studeren?
038_00	Waar waarlijk voor jullie in is wat jullie kiezen?
039_00	Of hebben jullie een verdrag met Ons dat tot aan de Dag der Opstanding geldt, dat er waarlijk voor jullie is wat jullie oordelen?
040_00	Vraag hun wie van hen daarvoor verantwoordelijk is.
041_00	Of beschikken zij over deelgenoten? Laat zij dan komen met kun deelgenoten, als zij waarachtig zijn.
042_00	(Gedenkt) de Dag waarop de onderbenen ontbloot zullen worden en zij opgeroepen worden om neer te knielen, terwijl zij daartoe niet in staat zijn.
043_00	Hun ogen zullen angstig teneergeslagen zijn, vernedering zal hen bedekken. En waarlijk, zij werden opgeroepen om zich neer te knielen, terwijl zij (nog) gezond waren.
044_00	Laat daarom degene die deze Boodschap loochent aan Mij over. Wij zullen hen langzaam maar zeker vernietigen, op een manier dat zij het niet merken.
045_00	En ik zal kun uitstel geven. Voorwaar, Mijn plan is sterk.
046_00	Of vraag jij van hen een beloning, zodat zij met een schuld worden belast?
047_00	Of is bij hen (kennis) van het onwaarneembare, zodat zij het kunnen opschrijven?
048_00	Wees daarom geduldig tot het Oordeel van jouw Heer komt, en wees niet als de Profeet Yôenoes, toen hij (tot Allah) riep terwijl hij verbolgen was.
049_00	Als hem van zijn Heer geen genade bereikt had, dan was hij zeker op een kwade plaats neer gesmeten, met verwijten beladen.
050_00	Daarna verkoos zijn Heer hem en maakte Hij hem tot één van de rechtschapenen.
051_00	En bijna zouden degenen die niet geloven jou omwerpen met hun blikken, wanneer zij de Vermaning horen. En zij zeggen: "Voorwaar, hij is zeker bezeten."
052_00	Terwijl hij (de Koran) niets anders is dan een Vermaning voor de werelden.
