001_00	ฮามีม
002_00	(อัลกุรอานนี้) เป็นการประทานลงมาจากพระผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ
003_00	คัมภีร์ซึ่งอายาตทั้งหลายได้ให้คำอธิบายไว้อย่างละเอียดเป็นอัลกุรอานภาษาอาหรับสำหรับหมู่ชนผู้มีความรู้
004_00	เป็นการแจ้งข่าวดีและเป็นการตักเตือน แต่ส่วนมากของพวกเขาผินหลังให้ ดังนั้น พวกเขาจึงไม่ได้ยิน
005_00	และพวกเขากล่าวว่า หัวใจของเราอยู่ในที่ปกปิดจากสิ่งที่พวกท่านเชิญชวนเราไปสู่สิ่งนั้น และในหูของเราก็หนวก และระหว่างเรากับท่านก็มีม่านกั้นอยู่ ดังนั้นท่านจงทำ (สิ่งที่ท่านพึงกระทำ) เถิด สำหรับพวกเราก็จะทำ (ตามที่เราต้องการจะกระทำ)
006_00	จงกล่าวเถิดมุฮัมมัด ฉันก็คือสามัญชนเยี่ยงพวกท่าน แต่ได้มีวะฮียฺแก่ฉันว่า พระเจ้าของพวกท่านนั้นคือพระเจ้าองค์เดียว ดังนั้นจงมุ่งตรงสู่พระองค์เถิด และจงขออภัยต่อพระองค์และความวิบัติจงมีแต่บรรดาผู้ตั้งภาคี
007_00	บรรดาผู้ไม่จ่ายซะกาต และพวกเขา คือพวกปฏิเสธศรัทธาต่อวันปรโลก
008_00	แท้จริง บรรดาผู้ศรัทธา และกระทำความดีทั้งหลาย สำหรับพวกเขานั้นจะได้รับรางวัลอย่างมิขาดสาย
009_00	จงกล่าวเถิดมุฮัมมัด พวกท่านปฏิเสธศรัทธาต่อพระผู้สร้างแผ่นดินเพียงในสองวัน และพวกท่านตั้งภาคีคู่เคียงกับพระองค์กระนั้นหรือ ? นั่นคือพระเจ้าแห่งสากลโลก
010_00	และใน (แผ่นดิน) นั้นพระองค์ทรงทำให้เทือกเขาตั้งมั่นอยู่บนมัน และทรงให้มีความจำเริญในนั้น และทรงกำหนดปัจจัยยังชีพของมันให้มีขึ้นในนั้นในระยะเวลา 4 วัน อย่างทัดเทียมกันแก่บรรดาผู้ไต่ถาม
011_00	แล้วพระองค์ทรงมุ่งสู่ฟากฟ้าขณะที่มันเป็นไอหมอก พระองค์จึงตรัสแก่ชั้นฟ้าและแผ่นดินว่า เจ้าทั้งสองจงมาจะโดยเต็มใจหรือไม่เต็มใจก็ตาม มันทั้งสองกล่าวว่า ข้าพระองค์มาอย่างเต็มใจแล้ว
012_00	ดังนั้นพระองค์ทรงสร้างมันสำเร็จเป็นชั้นฟ้าทั้งเจ็ดในระยะเวลา 2 วัน และทรงกำหนดในทุกชั้นฟ้าหน้าที่ของมัน และได้ประดับท้องฟ้าแห่งโลกนี้ด้วยดวงดาวทั้งหลาย
012_01	และเป็นการป้องกัน (ให้พ้นจากชัยฏอน) นั่นคือ การกำหนดแห่งพระผู้ทรงอำนาจ ผู้ทรงรอบรู้
013_00	แต่ถ้าพวกเขาผินหลังให้ก็จงกล่าวเถิดมุฮัมมัดว่า ฉันขอเตือนพวกท่าน (ให้ระลึกถึงความหายนะเยี่ยงความหายนะของพวกอ๊าดและพวกซะมูด)
014_00	จงรำลึกเมื่อบรรดาร่อซูลได้มายังพวกเขา (เรียกร้องเชิญชวน) จากทางข้างหน้าพวกเขาและจากทางข้างหลังพวกเขา (โดยกล่าว)ว่า
014_01	พวกท่านอย่าได้เคารพภักดีผู้ใดนอกจากอัลลอฮฺ พวกเขากล่าวว่า หากพระเจ้าของเราทรงประสงค์ แน่นอนพระองค์จะต้องส่งมะลาอิกะฮฺลงมา ดังนั้นเราจึงปฏิเสธศรัทธาในสิ่งที่พวกท่านถูกส่งมา
015_00	ส่วนพวกอ๊าดนั้น พวกเขาได้หยิ่งผยองในแผ่นดินโดยไม่เป็นธรรม และพวกเขากล่าวว่า ผู้ใดจะมีพลังเข้มแข็งกว่าพวกเรา ?
015_01	พวกเขาไม่เห็นดอกหรือว่า แท้จริงอัลลอฮฺผู้ทรงสร้างพวกเขานั้นทรงพลังเข้มแข็งกว่าพวกเขาแต่พวกเขาก็ยังคงปฏิเสธสัญญาณต่าง ๆ ของเรา
016_00	ดังนั้นเราได้ส่งลมพายุที่หนาวเหน็บมีเสียงกึกก้องมายังพวกเขาในหลายวันแห่งความหายนะ เพื่อเราจะให้พวกเขาลิ้มการลงโทษอันน่าอับยศในชีวิตแห่งโลกนี้
016_01	และแน่นอนการลงโทษแห่งปรโลกนั้นย่อมอัปยศยิ่งกว่า และพวกเขาจะไม่ได้รับความช่วยเหลือ
017_00	และส่วนพวกซะมูดนั้นเราได้ชี้แนะทางให้แก่พวกเขา แต่พวกเขาชอบเลือกเอาการตาบอดมากกว่าการอยู่ในแนวทางที่ถูกต้อง ดังนั้นความหายนะแห่งการลงโทษที่น่าอดสูก็ได้คร่าพวกเขาตามที่พวกเขาได้แสวงหาเอาไว้
018_00	และเราได้ช่วยบรรดาผู้ศรัทธา และบรรดาผู้ยำเกรงให้รอดพ้น (จากการลงโทษนั้น)
019_00	และ (จงรำลึกถึง) วันหนึ่งซึ่งเมื่อเหล่าศัตรูของอัลลอฮฺจะถูกชุมนุมเข้าสู่ไฟนรกและ พวกเขาจะถูกจัดแถว ๆ
020_00	จนกระทั่งเมื่อพวกเขามาถึงนรก หูของพวกเขา และตาของพวกเขาและผิวหนังของพวกเขาก็จะเป็นพยานคัดค้านพวกเขาตามที่พวกเขาได้กระทำไว้
021_00	และพวกเขากล่าวแก่ผิวหนังของพวกเขาว่า ทำไมพวกเจ้าจึงเป็นพยานคัดค้านแก่เราล่ะ ? พวกมันกล่าวว่า อัลลอฮฺทรงให้เราพูด ซึ่งพระองค์ทรงให้รู้ทุกสิ่งที่พูด และพระองค์ทรงสร้างพวกเจ้าเป็นครั้งแรก และยังพระองค์เท่านั้นที่พวกเจ้าจะถูกนำกลับไป
022_00	และพวกเจ้าก็ไม่เคยปิดปัง (การทำความชั่ว) ว่าหูของพวกเจ้า และตาของพวกเจ้าและผิวหนังของพวกเจ้าจะเป็นพยานคัดค้านพวกเจ้า แต่พวกเจ้านึกคิดว่าอัลลอฮฺไม่ทรงรอบรู้ส่วนมากในสิ่งที่พวกเจ้ากระทำ
023_00	และนั่นและการนึกคิดของพวกเจ้าซึ่งพวกเจ้านึกคิดต่อพระเจ้าของพวกเจ้านั้น เป็นการทำให้พวกเจ้าประสบความหายนะแล้วพวกเจ้าก็กลายเป็นผู้ขาดทุน
024_00	ดังนั้น หากพวกเขาอดทน (ต่อการลงโทษ) ได้ ไฟนรกก็คือที่พำนักของพวกเขา และถ้าพวกเขาวิงวอนขอความโปรดปรานพวกเขาก็จะไม่ได้อยู่ในหมู่ผู้ได้รับความโปรดปราน
025_00	และเราได้กำหนดสหายไว้สำหรับพวกเขา แล้วพวกเขาก็ทำให้สิ่งที่อยู่ข้างหน้าของพวกเขาและสิ่งที่อยู่เบื้องหนังของพวกเขาให้เป็นที่ลุ่มหลงแก่พวกเขา ดังนั้นพระประกาศิต (การลงโทษ)
025_01	แก่ประชาชาติต่าง ๆ ของพวกญินและมนุษย์ที่ได้ล่วงลับไปก่อนหน้าพวกเขานั้น ก็เป็นการสาสมแก่พวกเขาแล้ว แท้จริงพวกเขาเป็นผู้ขาดทุน
026_00	และบรรดาผู้ปฏิเสธศรัทธาได้กล่าวว่า พวกท่านอย่าฟังอัลกุรอานนี้ แต่จงทำเสียงอึกทึกในขณะนั้น หวังว่าพวกท่านจะมีชัยชนะ
027_00	และแน่นอนเราจะตอบแทนพวกเขาตามความชั่วที่พวกเขาได้กระทำไว้
028_00	นั่นคือ การตอบแทนแก่เหล่าศัตรูของอัลลอฮฺ คือ ไฟนรก สำหรับพวกเขาจะพำนักอยู่ในนรกนั้นตลอดกาลเป็นการตอบแทนตามที่พวกเขาปฏิเสธสัญญาณต่าง ๆ ของเรา
029_00	และบรรดาผู้ปฏิเสธศรัทธากล่าวว่า ข้าแต่พระจ้าของเราได้โปรดให้เราได้เห็นทั้งสองแห่งหมู่ญินและมนุษย์ผู้ซึ่งทำให้เราหลงทางเพื่อที่เราจะให้มันทั้งสองอยู่ใต้เท้าของเรา เพื่อว่ามันทั้งสองจะได้อยู่ในหมู่ผู้เลวทรามยิ่ง
030_00	แท้จริงบรรดาผู้กล่าวว่าอัลลอฮฺคือ พระเจ้าของพวกเราแล้วพวกเขาก็ยืนหยัดตามคำกล่าวนั้น มะลากิกะฮฺจะลงมาหาพวกเขา (โดยกล่าวกับพวกเขาว่า) พวกท่านอย่าหวาดกลัวและอย่าเศร้าสลดใจแต่จงต้อนรับข่าวดี คือสวนสวรรค์ซึ่งพวกเจ้าได้ถูกสัญญาไว้
031_00	พวกเราเป็นผู้อารักขาพวกท่านทั้งในการมีชีวิตอยู่ในโลกนี้และปรโลก และสำหรับพวกท่านในสวนสวรรค์นั้น จะได้สิ่งที่จิตใจของพวกท่านปรารถนา และสำหรับพวกท่านในสวนสวรรค์นั้นจะได้ในสิ่งที่พวกท่านเรียกร้อง
032_00	เป็นการต้อนรับด้วยความเมตตาจากพระผู้ทรงอภัยผู้ทรงเมตตาเสมอ
033_00	และผู้ใดเล่าจะมีคำพูดที่ดีเลิศยิ่งไปกว่าผู้เชิญชวนไปสู่อัลลอฮฺ และเขาปฏิบัติงานที่ดี และกล่าวว่า แท้จริงฉันเป็นคนหนึ่งในบรรดาผู้นอบน้อม
034_00	และความดีและความชั่วนั้นหาเท่าเทียมกันไม่ เจ้าจงขับไล่ (ความชั่ว) ด้วยสิ่งที่มันดีกว่า แล้วเมื่อนั้นผู้ที่ระหว่างเจ้ากับระหว่างเขาเคยเป็นอริกันก็จะกลับกลายเป็นเยี่ยงมิตรที่สนิทกัน
035_00	และไม่มีผู้ใดได้รับมัน (คุณธรรมดังกล่าว) นอกจากบรรดาผู้อดทน และจะไม่มีผู้ใดรับมันนอกจากผู้ที่มีโชคลาภอันใหญ่หลวง
036_00	และหากว่าการยุแหย่ใด ๆ จากชัยฏอนมายั่วยุเจ้าเข้า ก็จงขอความคุ้มครองต่ออัลลอฮฺเถิด แท้จริงพระองค์เป็นผู้ทรงได้ยินผู้ทรงรอบรู้
037_00	และส่วนหนึ่งจากสัญญาณทั้งหลายของพระองค์ คือ การมีกลางคืน และ กลางวัน
037_01	และดวงอาทิตย์ และดวงจันทร์ พวกเจ้าอย่าได้สุญูด แต่อัลลอฮฺพระผู้ทรงสร้างพวกมัน หากพวกเจ้าจะเคารพภักดีแด่พระองค์เท่านั้น
