001_00	Alikunja kipaji na akageuka,
002_00	Kwa sababu alimjia kipofu!
003_00	Na nini kitakujuulisha pengine yeye atatakasika?
004_00	Au atawaidhika, na mawaidha yamfae?
005_00	Ama ajionaye hana haja,
006_00	Wewe ndio unamshughulikia?
007_00	Na si juu yako kama hakutakasika.
008_00	Ama anaye kujia kwa juhudi,
009_00	Naye anaogopa,
010_00	Ndio wewe unampuuza?
011_00	Sivyo hivyo! Huku ni kukumbushana.
012_00	Basi anaye penda akumbuke.
013_00	Yamo katika kurasa zilizo hishimiwa,
014_00	Zilizo inuliwa, zilizo takaswa.
015_00	Zimo mikononi mwa Malaika waandishi,
016_00	Watukufu, wema.
017_00	Ameangamia mwanaadamu! Nini kinacho mkufurisha?
018_00	Kwa kitu gani amemuumba?
019_00	Kwa tone la manii, akamuumba na akamkadiria.
020_00	Kisha akamsahilishia njia.
021_00	Kisha akamfisha, akamtia kaburini.
022_00	Kisha apendapo atamfufua.
023_00	La! Hajamaliza aliyo muamuru.
024_00	Hebu mtu na atazame chakula chake.
025_00	Hakika Sisi tumemimina maji kwa nguvu,
026_00	Tena tukaipasua pasua ardhi kwa nguvu,
027_00	Kisha tukaotesha humo nafaka,
028_00	Na zabibu, na mimea ya majani,
029_00	Na mizaituni, na mitende,
030_00	Na bustani zenye miti iliyo songana baraabara,
031_00	Na matunda, na malisho ya wanyama;
032_00	Kwa manufaa yenu na mifugo yenu.
033_00	Basi utakapo kuja ukelele,
034_00	Siku ambayo mtu atamkimbia nduguye,
035_00	Na mamaye na babaye,
036_00	Na mkewe na wanawe -
037_00	Kila mtu miongoni mwao siku hiyo atakuwa na lake la kumtosha.
038_00	Siku hiyo ziko nyuso zitazo nawiri,
039_00	Zitacheka, zitachangamka;
040_00	Na nyuso siku hiyo zitakuwa na mavumbi,
041_00	Giza totoro litazifunika,
042_00	Hao ndio makafiri watenda maovu.
