001_00	De Erbarmer.
002_00	Hij heeft de Koran onderwezen.
003_00	Hij heeft de mens geschapen.
004_00	Hij heeft hem de duidelijke verklaring onderwezen.
005_00	De zon en de maan volgen de berekende banen.
006_00	En de struiken en de bomen knielen zich neer.
007_00	En Hij heeft de hemel opgeheven en Hij heeft de weegschaal geplaatst.
008_00	Opdat jullie het evenwicht niet verstoren.
009_00	En houdt de weegschaal in evenwicht met rechtvaardigheid en neemt niets van de weegschaal af.
010_00	En Hij heeft de aarde bereid voor de schepselen.
011_00	Daarop zijn vruchten en dadelpalmen met kolven.
012_00	En graan in aren en geurige planten.
013_00	Welke gunsten van jullie (Djinn's en mensen) Heer loochenen jullie dan?
014_00	Hij heeft de mens geschapen van droge klei, als aardewerk.
015_00	En Hij heeft de Djinn's geschapen van een rookloze vlam van vuur.
016_00	Welke gunsten van jullie Heer loochenen jullie dan?
017_00	De Heer van de twee opgangen en de twee ondergangen.
018_00	Welke gunsten van jullie Heer loochenen jullie dan?
019_00	Hij heeft de twee zeeën laten stromen en zij ontmoeten elkaar.
020_00	Tussen beide is een scheiding, zij kunnen die niet passeren.
021_00	Welke gunsten van jullie Heer loochenen jullie dan?
022_00	Uit beide komen parels en koraal voort.
023_00	Welke gunsten van jullie Heer loochenen jullie dan?
024_00	En aan Hem behoren de over de zee varende schepen, als bergen.
025_00	Welke gunsten van jullie Heer loochenen jullie dan?
026_00	Alles wat op aarde is zal vergaan.
027_00	En het Aangezicht van jouw Heer is blijvend, de Bezitter van Majesteit en Eer.
028_00	Welke gunsten van jullie Heer loochenen jullie dan?
029_00	Allen die in de hemelen en op de aarde zijn vragen Hem. Iedere dag is Hij bezig.
030_00	Welke gunsten van jullie Heer loochenen jullie dan?
031_00	Wij zullen voor jullie een afrekening maken, O jullie Djinn's en mensen!
032_00	Welke gunsten van jullie Heer loochenen jullie dan?
033_00	O verzameling van Djinn's en mensen, als jullie in staat zijn de hoeken van de hemelen en de aarde te verlaten, verlaat die dan, maar jullie zullen die slechts met een (grote) macht kunnen verlaten.
034_00	Welke gunsten van jullie Heer loochenen jullie dan?
035_00	Er zal een vlam van vuur en gesmolten koper tot jullie gezonden worden, waartegen jullie elkaar niet kunnen helpen.
036_00	Welke gunsten van jullie Heer loochenen jullie dan?
037_00	Wanneer dan de hemel is gespleten is zij rozenrood, als een geverfde huid.
038_00	Welke gunsten van jullie Heer loochenen jullie dan?
039_00	Op die Dag zullen de mensen en de Djinn's niet ondervraagd worden over hun zonden.
040_00	Welke gunsten van jullie Heer loochenen jullie dan?
041_00	De misdadigers zullen herkend worden aan hun kenmerken en daarna gegrepen worden bij het haar van het voorhoofd en de voeten.
042_00	Welke gunsten van jullie Heer loochenen jullie dan?
043_00	Dit is de Hel die de zondaren loochenden.
044_00	Zij dolen daar rond in het midden van kokend heet water.
045_00	Welke gunsten van jullie Heer loochenen jullie dan?
046_00	En voor wie vreesde voor het staan voor zijn Heer zijn er twee Tuinen (in het Paradijs).
047_00	Welke gunsten van jullie Heer loochenen jullie dan?
048_00	Beide met een overvloed aan takken en vruchten.
049_00	Welke gunsten van jullie Heer loochenen jullie dan?
050_00	In beide zijn twee stromende bronnen.
051_00	Welke gunsten van jullie Heer loochenen jullie dan?
052_00	In beide zijn er vruchten van elke soort, in paren.
053_00	Welke gunsten van jullie Heer loochenen jullie dan?
054_00	Leunend, op tapijten met brokaat aan hun binnenzijden en (de vruchten) van beide Tuinen hangen binnen handbereik.
055_00	Welke gunsten van jullie Heer loochenen jullie dan?
056_00	In de Tuinen bevinden zich schonen met ingetogen blikken, die geen mens en geen Djinn ooit v??r hen heeft aangeraakt.
057_00	Welke gunsten van jullie Heer loochenen jullie dan?
058_00	Als waren zij van robijn en koraal.
059_00	Welke gunsten van jullie Heer loochenen jullie dan?
060_00	Er is voor het verrichten van het goede geen andere beloning dan het goede.
061_00	Welke gunsten van jullie Heer loochenen jullie dan?
062_00	En naast deze twee zijn nog twee Tuinen.
063_00	Welke gunsten van jullie Heer loochenen jullie dan?
064_00	Donkergroen van kleur.
065_00	Welke gunsten van jullie Heer loochenen jullie dan?
066_00	In beide bevinden zich twee overvloedige bronnen.
067_00	Welke gunsten van jullie Heer loochenen jullie dan?
068_00	In beide zijn vruchten, dadels en granaatappels.
069_00	Welke gunsten van jullie Heer loochenen jullie dan?
070_00	Er in bevinden zich goede en mooie vrouwen.
071_00	Welke gunsten van jullie Heer loochenen jullie dan?
072_00	Vrouwen met prachtige ogen, afgezonderd in tentverblijven.
073_00	Welke gunsten van jullie Heer loochenen jullie dan?
074_00	Die geen mens en geen Djinn ooit v??r hen heeft aangeraakt.
075_00	Welke gunsten van jullie Heer loochenen jullie dan?
076_00	Leunend op groene kussens en op prachtige tapijten.
077_00	Welke gunsten van jullie Heer loochenen jullie dan?
078_00	Gezegend zij de Naam van jouw Heer, de Bezitter van Majesteit en Eer.
