001_00	Bij de berg (Sinaï).
002_00	Bij een geschreven Boek.
003_00	In een opengerold perkament.
004_00	Bij het veel bezochte Huis (de Ka'bah).
005_00	En het opgeheven gewelf (de hemel).
006_00	En de kolkende zee.
007_00	Voorwaar, de bestraffing van jouw Heer zal zeker plaatsvinden.
008_00	Niemand kan hem tegenhouden.
009_00	Op de Dag waarop de hemel heftig beeft.
010_00	En de bergen zich verplaatsen.
011_00	Wee op die Dag de loochenaars.
012_00	Degenen die zich vermaken met ijdelheden.
013_00	Op die Dag zullen zij met geweld naar de Hel worden geduwd.
014_00	(En er zal gezegd worden:) "Dit is de Hel die jullie plachten te loochenen.
015_00	Is dit dan toverij? Of kunnen jullie niet zien?
016_00	Gaat haar binnen en weest geduldig of weest ongeduldig; het zal voor jullie niets uitmaken. Voorwaar, jullie worden slechts vergolden naar wat jullie plachten te verrichtten."
017_00	Voorwaar, de Moettaqôen bevinden zich in Tuinen (het Paradijs) en in genietingen.
018_00	Zich verheugend over wat hun Heer hun heeft gegeven. En hun Heer heeft hen behoed voor de straf van de Hel.
019_00	(Er wordt gezegd:) "Eet en drinkt smakelijk wegens wat jullie plachten te verrichten."
020_00	Leunend op rustbanken, tegenover elkaar. En Wij zullen hen huwen met schone maagden.
021_00	En degenen die geloven en die in het geloof gevolgd worden door hun nakomelingen: Wij voegen hun nakomelingen bij hen en Wij verminderen (de beloning voor) hun daden niet.
021_01	Ieder mens staat borg voor wat hij verrichtte.
022_00	En Wij geven hun vruchten en vlees, van welke soort zij wensen.
023_00	Zij reiken daar elkaar een beker aan waarbij geen onzin en geen zondigheid is.
024_00	En onder hen gaan jongelingen rond die lijken op welbewaarde parels.
025_00	Zij zullen zich tot elkaar wenden en elkaar vragen stellen.
026_00	Zij zeggen: "Voorwaar, wij waren vroeger temidden van onze verwanten bevreesd (voor Allah).
027_00	Allah begenadigde ons toen en Hij behoedde ons voor de bestraffing van de verschroeiende wind.
028_00	Voorwaar, Wij plachten Hem vroeger aan te roepen: voorwaar, Hij is de Weldoener, de Meest Barmhartige."
029_00	Vermaan daarom, jij bent door de Genade van jouw Heer geen waarzegger en geen bezetene.
030_00	Of zeggen zij: "Een dichter, wij wachten af of het noodlot hem met ongeluk zal treffen."
031_00	Zeg (O Moehammad): "Wacht maar af: voorwaar, Ik behoor met jullie tot de afwachtenden."
032_00	Of beveelt hun verstand hun dit, of zijn zij een overtredend volk?
033_00	Of zeggen zij: "Hij heeft hem (de Koran) verzonnen"? Nee, zij geloven niet.
034_00	Laten zij dan een bericht brengen dat daaraan gelijk is, als zij waarachtigen zijn.
035_00	Of zijn zij uit niets geschapen, of zijn zij (zelf) de scheppers?
036_00	Of hebben zij de hemelen en de aarde geschapen? Zelfs zij zijn er niet van overtuigd.
037_00	Of bevinden zich bij hen de schaften van jouw Heer, of hebben zij de heerschappij?
038_00	Of beschikken zij over een ladder (die tot in de hemel reikt) waarop zij kunnen afluisteren? Laat dan de afluisteraar onder hen met een duidelijk bewijs komen.
039_00	Of zijn voor Hem de dochters en voor jullie de zonen?
040_00	Of vraag jij van hen een beloning, zodat zij belast zijn met een schuld?
041_00	Of is bij hen het onwaarneembare, zodat zij het kunnen opschrijven?
042_00	Of willen zij een list beramen? Degenen die niet geloven zijn degenen die in een list versrikt raken.
043_00	Of hebben zij een andere god dan Allah? Heilig is Allah, boven de deelgenoten die zij (Hem) toekennen.
044_00	En als zij een stuk uit de hemel (zouden) zien neerstorten, dan zeggen zij: "Stapelwolken."
045_00	Laat hen maar, totdat zij hun Dag ontmoeten waarop zij door de bliksemslag getroffen zullen worden.
046_00	Op die Dag zal hun list niets baten, en zij zullen niet worden geholpen.
047_00	En voorwaar, voor degenen die onrecht pleegden is er daarnaast nog een bestraffing, maar de meesten van hen weten het niet.
048_00	Wees geduldig met de beschikking van jouw Heer. Voorwaar, jij bent in Onze Ogen. En prijs de Glorie van jouw Heer wanneer jij staat.
049_00	En in de nacht, prijst Zijn Glorie, en (ook) bij het vervagen van de sterren (in de vroege ochtend).
