001_00	O tu l'avvolto [nelle tue vesti],
002_00	veglia una parte della notte,
003_00	la metà, oppure meno,
004_00	oppure poco più. E recita il Corano lentamente, distintamente.
005_00	Faremo scendere su di te parole gravi.
006_00	In verità la preghiera della notte è la più efficace e la più propizia:
007_00	durante il giorno hai occupazioni impegnative.
008_00	Menziona il Nome del tuo Signore e consacrati totalmente a Lui.
009_00	Il Signore dell'Oriente e dell'Occidente: non c'è dio all'infuori di Lui. Prendi Lui come Protettore.
010_00	Sopporta con pazienza quello che dicono e allontanati dignitosamente.
011_00	LasciaMi con coloro che tacciano di menzogna, che vivono nell'agiatezza e concedi loro un po' di tempo.
012_00	Invero presso di Noi ci sono catene e la Fornace
013_00	e cibo che soffoca e doloroso castigo,
014_00	nel Giorno in cui la terra e le montagne tremeranno e in cui le montagne diventeranno come dune di sabbia fina.
015_00	In verità inviammo a voi un Messaggero, affinché testimoniasse contro di voi, così come inviammo un Messaggero a Faraone.
016_00	Ma Faraone disobbedì al Messaggero.Lo afferrammo allora con stretta severa.
017_00	Come vi difenderete, voi che già non credeste nel Giorno che trasformerà i bambini in vecchi canuti
018_00	[nel Giorno in cui] si spaccherà il cielo? La promessa [di Allah] si realizzerà.
019_00	In verità questo è un Monito. Chi vuole, intraprenda dunque la via che conduce al suo Signore.
020_00	In verità il tuo Signore sa che stai ritto [in preghiera] per quasi due terzi della notte, o la metà, o un terzo e che lo stesso [fanno] una parte di coloro che sono con te. Allah ha stabilito la notte e il giorno.
020_01	Egli già sapeva che non avreste potuto passare tutta la notte in preghiera ed è stato indulgente verso di voi. Recitate dunque, del Corano, quello che vi sarà agevole.
020_02	Egli già sapeva che ci sarebbero stati tra voi i malati ed altri che avrebbero viaggiato sulla terra in cerca della grazia di Allah ed altri ancora che avrebbero lottato per la Sua causa. Recitatene dunque quello che vi sarà agevole.
020_03	Assolvete all'orazione e versate la decima e fate ad Allah un prestito bello. Tutto il bene che avrete compiuto, lo ritroverete presso Allah, migliore e maggiore ricompensa.
020_04	Implorate il perdono di Allah. In verità Allah è perdonatore, misericordioso.
