001_00	Mi ćemo ti dati sigurnu pobjedu
002_00	da bi ti Allah ranije i kasnije krivice oprostio, da bi blagodat Svoju tebi potpunom učinio, da bi te na Pravi put uputio
003_00	i da bi te Allah pobjedonosnom pomoći pomogao.
004_00	On uliva smirenost u srca vjernika da bi još više učvrstili vjerovanje koje imaju – a vojske nebesa i Zemlje su Allahove;
004_01	Allah sve zna i mudar je –
005_00	da bi vjernike i vjernice uveo u džennetske bašče kroz koje će rijeke teći, u kojima će vječno boraviti,
005_01	i da bi prešao preko hrđavih postupaka njihovih – a to je u Allaha veliki uspjeh –
006_00	i da bi kaznio licemjere i licemjerke i mnogobošce i mnogoboškinje, koji o Allahu zlo misle – neka zlo njih snađe!
006_01	Allah se na njih rasrdio i prokleo ih i pripremio im Džehennem, a grozno je on boravište!
007_00	Allahove su vojske nebesa i Zemlje; Allah je silan i mudar!
008_00	Mi šaljemo tebe kao svjedoka i kao donosioca radosnih vijesti i kao onoga koji treba opominjati
009_00	da u Allaha i Poslanika Njegova vjerujete, i da vjeru Njegovu pomognete, i da Ga veličate i da Ga ujutro i navečer hvalite.
010_00	Oni koji su ti se zakleli na vjernost – zakleli su se, doista, na vjernost samome Allahu – Allahova Ruka je iznad ruku njihovih!
010_01	Onaj ko prekrši zakletvu krši je na svoju štetu, a ko ispuni ono na što se obavezao Allahu, On će mu dati veliku nagradu.
011_00	Govoriće ti beduini koji su izostali: "Zadržala su nas stada naša i porodice naše, pa zamoli za nas oprost!" Oni govore jezicima svojim ono što nije u srcima njihovim.
011_01	Reci: "Pa ko može promijeniti Allahovu odluku, ako vam On hoće nauditi, ili ako vam hoće kakvo dobro učiniti?" Allah zna ono što radite.
012_00	Vi ste mislili da se Poslanik i vjernici nikada neće vratiti porodicama svojim; vaša srca su bila zadovoljna zbog toga i vi ste na najgore pomišljali, vi ste narod u duši pokvaren.
013_00	Onaj ko ne vjeruje u Allaha i Poslanika Njegova – pa, Mi smo za nevjernike razbuktali oganj pripremili!
014_00	Allahova je vlast na nebesima i na Zemlji, On prašta kome On hoće, a kažnjava koga hoće – Allah mnogo prašta i samilostan je.
015_00	Oni koji su izostali sigurno će reći kada pođete da plijen uzmete: "Pustite i nas da vas pratimo!" – da bi izmijenili Allahove riječi.
015_01	Reci: "Vi nas nećete pratiti, to je još prije Allah rekao!", a oni će reći: "Nije tako, nego, vi nama zavidite." A nije ni to, već oni malo šta razumiju.
016_00	Reci beduinima koji su izostali: "Bićete pozvani da se borite protiv naroda veoma hrabrog i moćnog, sve dok se ne pokori.
016_01	Pa ako poslušate, Allah će vam lijepu nagradu dati, a ako izbjegnete, kao što ste i do sada izbjegavali, na muke nesnosne će vas staviti."
017_00	Nije grijeh slijepom, ni hromom, ni bolesnom! Onoga koji se pokorava Allahu i Poslaniku Njegovu
017_01	On će u džennetske bašče, kroz koje teku rijeke, uvesti, a onoga ko leđa okrene, patnjom nesnosnom će kazniti.
018_00	Allah je zadovoljan onim vjernicima koji su ti se pod drvetom na vjernost zakleli. On je znao šta je u srcima njihovim, pa je spustio smirenost na njih, i nagradiće ih skorom pobjedom
019_00	i bogatim plijenom koji će uzeti, jer Allah je silan i mudar.
020_00	Allah vam obećava bogat plijen koji ćete uzeti, a s ovim je požurio i ruke ljudi je od vas zadržao –
020_01	da bi to bio poučan primjer za vjernike i da bi vam na Pravi put ukazao –
021_00	i drugi, koji niste bili u stanju uzeti – Allah vam ga je dao, jer Allah sve može.
022_00	A da su nevjernici s vama borbu zametnuli, sigurno bi se u bijeg dali i poslije ne bi zaštitnika ni pomagača našli –
023_00	prema Allahovu zakonu koji odvazda važi, a ti nećeš vidjeti da se Allahov zakon promijeni.
024_00	On je zadržao ruke njihove od vas i vaše od njih usred Mekke, i to nakon što vam je pružio mogućnost da ih pobijedite – a Allah dobro vidi ono što vi radite.
025_00	Oni ne vjeruju i brane vam da pristupite Časnom hramu, i da kurbani koje vodite sa sobom do mjesta svojih stignu.
025_01	I da nije bilo bojazni da ćete pobiti vjernike, muškarce i žene, koje ne poznajete, pa tako, i ne znajući, zbog njih sramotu doživjeti – Mi bismo vam ih prepustili. A nismo ih prepustili ni zato da bi Allah u milost Svoju uveo onoga koga hoće.
025_02	A da su oni bili odvojeni, doista bismo bolnom kaznom kaznili one među njima koji nisu vjerovali.
026_00	Kad su nevjernici punili svoja srca žarom, žarom paganskim, Allah je spustio smirenost Svoju na Poslanika Svoga i na vjernike
026_01	i obavezao ih da ispunjavaju ono zbog čega će postati pravi vjernici – a oni i jesu najpreči i najdostojniji za to – a Allah sve zna.
027_00	Allah će obistiniti san Poslanika Svoga da ćete, sigurno, u Časni hram ući sigurni – ako Allah bude htio – neki obrijanih glava, a neki podrezanih kosa, bez straha.
027_01	On je ono što vi niste znali znao i zato vam je, prije toga, nedavnu pobjedu dao.
028_00	On je poslao Poslanika Svoga s Uputom i vjerom istinitom da bi je uzdigao iznad svih vjera. A Allah je dovoljan Svjedok!
029_00	Muhammed je Allahov poslanik, a njegovi sljedbenici su strogi prema nevjernicima, a samilosni među sobom; vidiš ih kako se klanjaju i licem na tle padaju želeći Allahovu nagradu i zadovoljstvo – na licima su im znaci, tragovi od padanja licem na tle.
029_01	Tako su opisani u Tevratu.
029_02	A u Indžilu: oni su kao biljka kad izdanak svoj izbaci pa ga onda učvrsti, i on ojača, i ispravi se na svojoj stabljici izazivajući divljenje sijačā – da bi On s vjernicima najedio nevjernike.
029_03	A onima koji vjeruju i dobra djela čine Allah obećava oprost i nagradu veliku.
