001_00	Aku bersumpah dengan negeri (Makkah) ini;
002_00	Sedang engkau (wahai Muhammad) tinggal di negeri ini (sentiasa ditindas),
003_00	Demi manusia yang melahirkan zuriat, dan zuriat yang dilahirkannya;
004_00	Sesungguhnya Kami telah jadikan manusia sentiasa dalam keadaan menghadapi kesulitan dan kesukaran (jasmani dan rohaninya);
005_00	Patutkah manusia yang demikian keadaannya (terpedaya dengan kekuasaan yang ada padanya dan) menyangka bahawa tidak ada sesiapapun yang dapat mengatasi kekuasaannya (dan menyeksakannya)?
006_00	Manusia yang demikian keadaannya (tidaklah patut ia bermegah-megah dengan kekayaannya dan) berkata: "Aku telah habiskan harta benda yang banyak (dalam usaha menegakkan nama dan bangsa).
007_00	Adakah ia menyangka bahawa tidak ada sesiapapun yang melihatnya (dan mengetahui tujuannya menghabiskan harta bendanya itu?
008_00	(Mengapa manusia terpedaya dan bermegah-megah?) Tidakkah Kami telah menjadikan baginya: dua mata (untuk ia memerhatikan kekuasaan dan kekayaan Kami?) -
009_00	Dan lidah serta dua bibir (untuk ia menyempurnakan sebahagian besar dari hajat-hajatnya)?
010_00	Dan Kami telah menunjukkan kepadanya dua jalan, (jalan kebaikan untuk dijalaninya, dan jalan kejahatan untuk dijauhi)?
011_00	Dalam pada itu manusia tidak (memilih jalan kebaikan) merempuh masuk mengerjakan amal-amal yang tinggi darjatnya di sisi Tuhan;
012_00	Dan apa jalannya engkau dapat mengetahui: apa dia amal-amal yang tinggi darjatnya di sisi Tuhan itu?
013_00	(Di antara amal-amal itu - bagi orang yang mampu) ialah: memerdekakan hamba abdi;
014_00	Atau memberi makan pada hari kelaparan -
015_00	Kepada anak yatim dari kaum kerabat,
016_00	Atau kepada orang miskin yang terlantar di atas tanah.
017_00	Selain dari (tidak mengerjakan amal-amal) itu, ia (tidak pula) menjadi dari orang-orang yang beriman dan berpesan-pesan dengan sabar serta berpesan-pesan dengan kasih sayang.
018_00	(Ketahuilah! Bahawa orang-orang yang beriman serta berusaha mengerjakan amal-amal yang tinggi darjatnya di sisi Tuhan), merekalah golongan pihak kanan (yang akan beroleh Syurga).
019_00	Dan (sebaliknya) orang-orang yang kufur ingkar akan ayat-ayat keterangan Kami, merekalah golongan pihak kiri. -
020_00	Mereka ditimpakan (azab seksa) neraka yang ditutup rapat (supaya kuat bakarannya).
