001_00	خوای میهره‌بان، کانگای سۆزو ڕه‌حمه‌ت.
002_00	قورئانی فێری ئاده‌میزاد کردووه‌( فێربوون و زانینی قورئان و تێگه‌یشتن له‌فه‌رمووده‌ی خوای میهره‌بان پیرۆزترین نازو نیعمه‌ته که‌ئیماندار لێی به‌هره‌وه‌ر ببێت له‌م ته‌مه‌نه‌کورته‌ی ژیانی دنیادا )
003_00	هه‌ر خوا ئاده‌میزادی دروست کردووه‌
004_00	هه‌ر ئه‌ویش فێری گوفتارو ئاخاوتنی کردووه‌
005_00	خۆرو مانگیشی به‌حسابێکی ورد دروست کردوون ودایناون له‌خولگه‌کانیاندا له‌سووڕانه‌وه‌دان
006_00	ئه‌ستێره و دره‌خته‌کان، ڕوه‌که‌بێ قه‌دو دره‌خته‌به‌رزه‌کان هه‌موویان، سوژده‌ده‌به‌ن بۆ دروستکاریان ( له‌نه‌خشه‌ی دیاری کراو ده‌رناچن که‌بۆیان دانراوه‌)
007_00	ئاسمانیشی به‌رزو بڵندکردۆته‌وه ( بێ کۆڵه‌که و بێ ستوون ) و ته‌رازوو پێوه‌ی بۆ هه‌موو شتێک داناوه‌( هه‌موو شت به‌یاسایه و هیچ شتێک به‌هه‌ڕه‌مه‌کی و به‌بێ هوده‌دروست نه‌کراوه‌، بۆیه‌، پێویسته ئاده‌میزادیش به‌رنامه‌و یاسای هه‌بێت له‌چوارچێوه‌ی قورئان و سووننه‌تی ڕاست و دروستدا )
008_00	ئێوه‌ش ئه‌ی نه‌وه‌ی ئاده‌م با ته‌رازوو پێوه‌رتان ڕێکوپێک بێت و سته‌م له‌یه‌کتر مه‌که‌ن
009_00	دادپه‌روه‌ر بن له کێشان و پێواندا، ته‌رازوو بازیی مه‌که‌ن و که‌م فرۆشی ئه‌نجام مه‌ده‌ن.
010_00	زه‌ویشی بۆ خه‌ڵکی ڕاخستووه‌و باری هێناوه ( تا ژیانی خۆیانی تیادا به‌رنه‌سه‌ر )
011_00	جۆره‌ها میوه‌ی تێدا دێته به‌ر، هه‌روه‌ها خورمای خاوه‌ن ده‌فری گوڵدانی بۆ فه‌راهه‌م هێناون
012_00	هه‌روه‌ها جۆره‌ها دانه‌وێڵه‌ی خاوه‌ن کاو په‌لوپۆدارو بۆنخۆشی تیادا به‌رهه‌م هێناوه‌
013_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
014_00	ئاده‌میزادی درستکردووه‌له‌قوڕێکی وشک بوو، وه‌ک فه‌خفوری
015_00	په‌ریه‌کانیشی له‌بڵێسه‌ی ئاگر دروست کردووه‌
016_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
017_00	خوا خاوه‌نی هه‌ردوو ڕۆژهه‌ڵات و هه‌ردوو ڕۆژئاوایه‌
