001_00	Tâ, Sîn, Mîm.
002_00	Questi sono i versetti del Libro chiarissimo.
003_00	Ti racconteremo secondo verità la storia di Mosè e di Faraone, per un popolo di credenti.
004_00	Davvero Faraone era altero sulla terra; divise in fazioni i suoi abitanti, per approfittare della debolezza di una parte: sgozzava i loro figli maschi e lasciava vivere le femmine.
004_01	In verità era uno dei corruttori.
005_00	Invece Noi volevamo colmare di favore quelli che erano stati oppressi, farne delle guide e degli eredi.
006_00	[Volevamo] consolidarli sulla terra e, loro tramite, far vedere a Faraone e Hâmân e alle loro armate quello che paventavano.
007_00	Rivelammo alla madre di Mosè: “Allattalo e, quando temerai per lui, gettalo nel fiume e non temere e non essere afflitta:
007_01	Noi te lo restituiremo e faremo di lui uno degli Inviati”.
008_00	Lo raccolse la gente di Faraone, sì che potesse diventare loro nemico e causa di tristezza. Davvero Faraone e Hâmân e le loro armate erano colpevoli.
009_00	Disse la moglie di Faraone: “[Questo bambino sarà] la gioia dei miei occhi e dei tuoi! Non lo uccidete! Forse ci sarà utile, o lo adotteremo come un figlio”. Non avevano alcun sospetto.
010_00	Il cuore della madre di Mosè fu come fosse vuoto. Poco mancò che non svelasse ogni cosa, se non avessimo rafforzato il suo cuore, sì che rimanesse credente.
011_00	Disse alla di lui sorella: “Seguilo”, e quella lo osservò di nascosto. Non avevano alcun sospetto.
012_00	E Noi gli interdicemmo ogni nutrice. Allora [la sorella] disse: “Posso indicarvi la gente di una casa, che potrà occuparsene per conto vostro e che gli sarà benevola?”.
013_00	Lo restituimmo a sua madre affinché si consolassero i suoi occhi, non fosse più afflitta e si convincesse che la promessa di Allah è verità. Ma la maggior parte di loro non sanno nulla.
014_00	Quando raggiunse l'età adulta e il pieno del suo sviluppo, gli demmo discernimento e scienza. Così ricompensiamo coloro che operano il bene.
015_00	Avvenne che, entrando in città in un momento di disattenzione dei suoi abitanti, trovò due uomini che si battevano, uno era dei suoi e l'altro uno degli avversari.
015_01	Quello che era dei suoi gli chiese aiuto contro l'altro dell'avversa fazione: Mosè lo colpì con un pugno e lo uccise.
015_02	Disse [Mosè]: “Questa è certamente opera di Satana! È davvero un nemico, uno che svia gli uomini”.
016_00	Disse: “Signore, ho fatto torto a me stesso, perdonami!”. Gli perdonò, Egli è il Perdonatore, il Misericordioso.
017_00	Disse: “Mio Signore, grazie ai favori che mi hai elargito, non sarò mai un alleato degli iniqui”.
018_00	L'indomani era nella città timoroso e guardingo, ed ecco che colui che il giorno prima gli aveva chiesto aiuto, di nuovo lo chiamò a gran voce. Gli disse Mosè: “Davvero sei un provocatore evidente!”.
019_00	Quando poi stava per colpire quello che era avversario di entrambi, questi disse: “O Mosè, vuoi uccidermi come l'uomo che uccidesti ieri?
019_01	Non vuoi essere altro che un tiranno sulla terra, non vuoi essere uno dei conciliatori”.
020_00	Dall'altro capo della città giunse, correndo, un uomo. Disse: “O Mosè, i notabili sono riuniti in consiglio per decidere di ucciderti. Fuggi! Questo è un buon consiglio”.
021_00	Uscì dalla città, timoroso e guardingo. Disse: “Signore, salvami da questo popolo ingiusto”.
022_00	Dirigendosi verso Madian disse: “Spero che il mio Signore mi guidi sulla retta via”.
023_00	Quando giunse all'acqua di Madian, vi trovò una moltitudine di uomini che abbeverava e scorse due donne che si tenevano in disparte trattenendo [i loro animali].
023_01	Disse: “Cosa vi succede?”. Risposero: “Non abbevereremo finché i pastori non saranno partiti; nostro padre è molto vecchio”.
024_00	Abbeverò per loro, poi si mise all'ombra e disse: “Davvero, Signore, ho molto bisogno di qualsiasi bene che farai scendere su di me”.
025_00	Una delle due donne gli si avvicinò timidamente. Disse: “Mio padre ti invita, per ricompensarti di aver abbeverato per noi”.
025_01	Quando giunse al suo cospetto e gli raccontò la sua storia, disse [il vecchio]: “Non temere, sei sfuggito a gente ingiusta”.
026_00	Una di quelle disse: “O padre mio, assumilo: è davvero il migliore che tu possa assoldare: è forte e fidato”.
027_00	Disse: “Vorrei sposarti ad una di queste mie figlie, a condizione che tu mi serva per otto anni.
027_01	Se vorrai restare dieci [anni], sarà di tua spontanea volontà. Non ti imporrò nulla di gravoso e, se Allah vuole, troverai che sono un uomo del bene”.
028_00	Rispose: “Questo [sarà] tra me e te. Qualunque dei due termini compirò, nessuna colpa mi sarà rinfacciata. Allah sia garante di quello che diciamo”.
029_00	Quando Mosè si mise in viaggio con la famiglia, dopo aver concluso il periodo, scorse un fuoco sul fianco del Monte.
029_01	Disse alla sua famiglia: “Aspettate, ho visto un fuoco. Forse vi porterò qualche notizia o un tizzone acceso, sì che possiate riscaldarvi”.
030_00	Quando giunse colà, fu chiamato dal lato destro della Valle, un lembo di terra benedetta, dal centro dell'albero: “O Mosè, sono Io, Allah, il Signore dei mondi”.
031_00	E: “Getta il tuo bastone”. Quando lo vide contorcersi come fosse un serpente, volse le spalle, ma non tornò sui suoi passi. “O Mosè, avvicinati e non aver paura: tu sei uno dei protetti.
032_00	Infila nel tuo seno la tua mano, la trarrai bianca senza male alcuno. Stringi il braccio al petto, contro il terrore.
032_01	Ecco due prove del tuo Signore per Faraone e per i suoi notabili: davvero è un popolo perverso!”.
033_00	Disse: “Signore, ho ucciso uno dei loro e temo che mi uccidano.
034_00	Mio fratello Aronne ha lingua più eloquente della mia. Mandalo insieme con me, come aiutante e per rafforzarmi: davvero temo che mi trattino da bugiardo!”.
035_00	Disse [Allah]: “Rafforzeremo il tuo braccio con tuo fratello e daremo ad entrambi autorità: non potranno toccarvi grazie ai Nostri segni. Voi due e quelli che vi seguiranno sarete vittoriosi”.
036_00	Quando poi Mosè giunse loro con i Nostri segni evidenti, dissero: “Non è altro che artificio di magia. Non abbiamo mai sentito parlare di ciò, neppure dai nostri più lontani antenati”.
037_00	E disse Mosè: “Il mio Signore conosce meglio chi è giunto da parte Sua con la Guida e a chi appartiene l'ultima Dimora. In verità gli ingiusti non avranno successo!”.
038_00	Disse Faraone: “O notabili! Per voi non conosco altra divinità che me. O Hâmân, accendi un fuoco sull'argilla e costruiscimi una torre,
038_01	chissà che non ascenda fino al Dio di Mosè! Io penso che sia un bugiardo!”.
039_00	Fu superbo sulla terra, senza ragione, e le sue armate insieme con lui. E davvero credevano che non sarebbero stati ricondotti a Noi!
040_00	Lo afferrammo, lui e i suoi soldati, e li gettammo nelle onde. Guarda quale è stata la fine degli ingiusti!
041_00	Ne facemmo guide che invitano al Fuoco e, nel Giorno della Resurrezione, non saranno soccorsi.
042_00	Li perseguimmo con una maledizione in questo mondo e nel Giorno della Resurrezione saranno quelli di cui si avrà orrore.
043_00	Dopo aver distrutto le generazioni precedenti, invero abbiamo dato il Libro a Mosè, richiamo alla corretta visione per gli uomini, guida e misericordia. Se ne ricorderanno?
044_00	Tu non eri sul lato occidentale, quando demmo l'ordine a Mosè, tu non eri fra i testimoni.
045_00	Abbiamo creato generazioni la cui vita si prolungò; tu non dimoravi tra la gente di Madian per recitare loro i Nostri segni: siamo stati Noi a inviare [i messaggeri].
046_00	E non eri sul fianco del Monte quando chiamammo. Ma [sei giunto come] una misericordia da parte del tuo Signore, affinché tu ammonisca un popolo al quale non giunse alcun ammonitore prima di te.
047_00	Se una disgrazia li colpisce, per quel che le loro mani hanno commesso, dicono: “Signore, perché mai non ci hai inviato un messaggero? Avremmo seguìto i Tuoi segni e saremmo stati credenti!”.
048_00	Ma quando giunse loro la verità da parte Nostra, hanno detto: “Perché non gli è stato dato quello che è stato dato a Mosè?”. Ma già non furono increduli di quello che fu dato a Mosè?
048_01	Dicono: “Due magie che si sostengono a vicenda”. E dicono: “Sì, non crediamo in nessuna”. [La polemica dei miscredenti arriva alla blasfemia che qualifica come magie (“siharâni) la Torâh e il Corano. Con un'altra lettura: “sâhirâni”, essi qualificano maghi Mosè e Muhammad (pace su di loro)]
049_00	Di': “Portate, da parte di Allah, un Libro che sia migliore guida di entrambi, ché lo possa seguire, [portatelo] se siete veridici!”.
050_00	E se non ti rispondono, sappi allora che seguono [solo] le loro passioni, niente di più. Chi è più sviato di chi segue la sua passione senza guida alcuna da parte di Allah?
050_01	In verità Allah non guida gli ingiusti.
051_00	E già facemmo giungere loro la Parola, affinché ricordassero.
052_00	Coloro ai quali abbiamo dato il Libro prima che a lui, credono in esso.
053_00	Quando glielo si recita dicono: “Noi crediamo in esso. Questa è la verità proveniente dal nostro Signore. Già eravamo sottomessi a Lui prima che giungesse”.
054_00	Essi sono coloro cui verrà data ricompensa doppia per la loro perseveranza, per aver respinto il male con il bene e per essere stati generosi di quello che Noi abbiamo concesso loro.
055_00	Quando sentono discorsi vani, se ne allontanano dicendo: “A noi le opere nostre e a voi le opere vostre. Pace su di voi! Noi non cerchiamo gli ignoranti”.
056_00	Non sei tu che guidi coloro che ami: è Allah che guida chi vuole Lui. Egli ben conosce coloro che sono ben guidati.
057_00	E dicono: “Se seguissimo la Guida insieme con te, saremmo scacciati dalla nostra terra!”.
057_01	Non li abbiamo forse resi stabili in un territorio inviolabile verso il quale sono recati ogni genere di frutti, provvidenza da parte Nostra? Ma la maggior parte di essi non sanno.
058_00	E quante città abbiamo distrutto che erano ingrate [pur vivendo nell'abbondanza]! Ecco le loro case che non sono più abitate, o quasi. Siamo Noi l'Erede finale.
059_00	Non si addice al tuo Signore distruggere una comunità prima di aver suscitato nella Madre [delle città] un inviato che reciti loro i Nostri segni. Noi distruggiamo le città, solo quando i suoi abitanti sono ingiusti.
060_00	Tutti i beni che vi sono stati concessi non sono che un prestito di questa vita, un ornamento per essa, mentre quello che è presso Allah è migliore e duraturo. Non comprendete dunque?
061_00	Colui al quale facemmo una bella promessa e che la incontrerà, è forse paragonabile a colui cui diamo godimento effimero in questa vita e che, nel Giorno della Resurrezione, sarà di quelli che saranno condotti [al fuoco]?
062_00	[Allah] dirà loro, il Giorno che li chiamerà: “Dove sono coloro che pretendevate essere Miei consoci?”.
063_00	Coloro sui quali si realizzerà il Decreto diranno: “Ecco, Signore, quelli che abbiamo traviato: li abbiamo traviati come abbiamo traviato noi stessi.
063_01	Li rinneghiamo al Tuo cospetto: non siamo noi che essi adoravano”.
064_00	Verrà detto: “Invocate i vostri associati. Li chiameranno, ma essi non risponderanno. Quando vedranno il castigo, desidereranno di aver seguìto la retta via”.
065_00	[Allah] dirà loro il Giorno che li chiamerà: “Che cosa avete risposto agli inviati?”.
066_00	In quel Giorno, i loro argomenti saranno oscuri e non si porranno alcuna questione.
067_00	Chi invece si sarà pentito, avrà creduto e compiuto il bene, forse sarà tra coloro che avranno riuscita.
068_00	Il tuo Signore crea ciò che vuole e sceglie [ciò che vuole]; a loro invece non appartiene la scelta. Gloria ad Allah! Egli è ben più alto di quello che Gli associano!
069_00	Il tuo Signore conosce ciò che celano i loro cuori e quello che palesano.
070_00	Egli è Allah, non c'è dio all'infuori di Lui. Sia lodato in questo mondo e nell'altro. A Lui [appartiene] il giudizio e a Lui sarete ricondotti.
071_00	Di': “Cosa credete? Se Allah vi desse la notte continua fino al Giorno della Resurrezione, quale altra divinità all'infuori di Allah potrebbe darvi la luce? Non ascoltate dunque?”.
072_00	Di': “Cosa credete? Se Allah vi desse il giorno continuo, fino al Giorno della Resurrezione, quale altra divinità all'infuori di Allah potrebbe darvi una notte in cui possiate riposare?
072_01	Non osservate dunque?
073_00	È grazie alla Sua misericordia, che stabilisce per voi la notte e il giorno affinché possiate riposare e procurarvi la Sua grazia e affinché Gli siate riconoscenti”.
074_00	[Allah] dirà loro il Giorno che li chiamerà: “Dove sono coloro che pretendevate essere Miei associati?”.
075_00	Da ogni comunità trarremo un testimone, poi diremo: “Producete la vostra prova!”. Sapranno allora che la verità appartiene ad Allah e quello che avevano, li abbandonerà.
076_00	Invero Qarûn faceva parte del popolo di Mosè, ma poi si rivoltò contro di loro.
076_01	Gli avevamo concesso tesori le cui sole chiavi sarebbero state pesanti per un manipolo di uomini robusti.
076_02	Gli disse la sua gente: “Non essere tronfio! In verità Allah non ama i superbi.
077_00	Cerca, con i beni che Allah ti ha concesso, la Dimora Ultima. Non trascurare i tuoi doveri in questo mondo, sii benefico come Allah lo è stato con te
077_01	e non corrompere la terra. Allah non ama i corruttori”.
078_00	Rispose: “Ho ottenuto tutto ciò grazie alla scienza che possiedo”.
078_01	Ignorava, forse, che già in precedenza Allah aveva fatto perire generazioni ben più solide di lui e ben più numerose?
078_02	I malfattori non saranno interrogati a proposito delle loro colpe.
079_00	Poi uscì, [mostrandosi] al suo popolo in tutta la sua pompa. Coloro che bramavano questa vita, dissero: “Disgraziati noi, se avessimo quello che è stato dato a Qarûn! Gli è stata certo data immensa fortuna!”.
080_00	Coloro che invece avevano avuto la scienza dissero: “Guai a voi! La ricompensa di Allah è la migliore, per chi crede e compie il bene”. Ma essa viene data solo a quelli che perseverano.
081_00	Facemmo sì che la terra lo inghiottisse, lui e la sua casa. E non vi fu schiera che lo aiutasse contro Allah, non poté soccorrere se stesso.
082_00	E coloro che la vigilia si auguravano di essere al posto suo, dissero: “Ah! È ben evidente che Allah concede con larghezza o lesina a chi vuole tra i Suoi servi.
082_01	Se Allah non ci avesse favorito, certamente ci avrebbe fatto sprofondare. Ah! È ben evidente che i miscredenti non prospereranno”.
083_00	Questa Dimora Ultima la riserviamo a coloro che non vogliono essere superbi sulla terra e non seminano corruzione. L'esito finale appartiene ai timorati [di Allah].
084_00	Chi verrà con il bene, avrà meglio ancora; chi verrà con il male, [sappia che] coloro che avranno commesso il male, saranno ricompensati per ciò che avranno fatto.
085_00	In verità Colui che ti ha imposto il Corano ti ricondurrà al luogo del ritorno. Di': “Il mio Signore conosce meglio chi viene con la Guida e chi è in manifesto errore”.
