سُورَةُ الإِنسَانِ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	S'est-il écoulé pour l'homme un laps de temps durant lequel il n'était même pas une chose mentionnable?
002_00	En effet, Nous avons créé l'homme d'une goutte de sperme mélangé [aux composantes diverses] pour le mettre à l'épreuve. [C'est pourquoi] Nous l'avons fait entendant et voyant.
003_00	Nous l'avons guidé dans le chemin, - qu'il soit reconnaissant ou ingrat -
004_00	Nous avons préparé pour les infidèles des chaînes, des carcans et une fournaise ardente.
005_00	Les vertueux boiront d'une coupe dont le mélange sera de camphre,
006_00	d'une source de laquelle boiront les serviteurs d'Allah et ils la feront jaillir en abondance.
007_00	Ils accomplissent leurs vœux et ils redoutent un jour dont le mal s'étendra partout.
008_00	et offrent la nourriture, malgré son amour, au pauvre, à l'orphelin et au prisonnier,
009_00	(disant): «C'est pour le visage d'Allah que nous vous nourrissons: nous ne voulons de vous ni récompense ni gratitude.
010_00	Nous redoutons, de notre Seigneur, un jour terrible et catastrophique».
011_00	Allah les protègera donc du mal de ce jour-là, et leur fera rencontrer la splendeur et la joie,
012_00	et les rétribuera pour ce qu'ils auront enduré, en leur donnant le Paradis et des [vêtements] de soie,
013_00	ils y seront accoudés sur des divans, n'y voyant ni soleil ni froid glacial.
014_00	Ses ombrages les couvriront de près, et ses fruits inclinés bien bas [à portée de leurs mains].
015_00	Et l'on fera circuler parmi eux des récipients d'argent et des coupes cristallines,
016_00	en cristal d'argent, dont le contenu a été savamment dosé.
017_00	Et là, ils seront abreuvés d'une coupe dont le mélange sera de gingembre,
018_00	puisé là-dedans à une source qui s'appelle Salsabîl.
019_00	Et parmi eux, circuleront des garçons éternellement jeunes. Quand tu les verras, tu les prendras pour des perles éparpillées.
020_00	Et quand tu regarderas là-bas, tu verras un délice et un vaste royaume.
021_00	Ils porteront des vêtements verts de satin et de brocart. Et ils seront parés de bracelets d'argent. Et leur Seigneur les abreuvera d'une boisson très pure.
022_00	Cela sera pour vous une récompense, et votre effort sera reconnu.
023_00	En vérité c'est Nous qui avons fait descendre sur toi le Coran graduellement.
024_00	Endure donc ce que ton Seigneur a décrété, et n'obéis ni au pécheur, parmi eux, ni au grand mécréant.
025_00	Et invoque le nom de ton Seigneur, matin et après-midi;
026_00	et prosterne-toi devant Lui une partie de la nuit; et glorifie-Le de longues [heures] pendant la nuit.
027_00	Ces gens-là aiment [la vie] éphémère (la vie sur terre) et laissent derrière eux un jour bien lourd [le Jour du Jugement].
028_00	C'est Nous qui les avons créés et avons fortifié leur constitution. Quand Nous voulons, cependant, Nous les remplaçons [facilement] par leurs semblables.
029_00	Ceci est un rappel. Que celui qui veut prenne donc le chemin vers son Seigneur!
030_00	Cependant, vous ne saurez vouloir, à moins qu'Allah veuille. Et Allah est Omniscient et Sage.
031_00	Il fait entrer qui Il veut dans Sa miséricorde. Et quant aux injustes, Il leur a préparé un châtiment douloureux.
