001_00	"Milletine can yakıcı bir azap gelmezden önce onları uyar" diye Nuh'u milletine gönderdik.
002_00	O da şöyle söyledi: "Ey Milletim! Şüphesiz ben, size gönderilmiş apaçık bir uyarıcıyım."
003_00	"Allah'a kulluk edin; O'ndan sakının ve bana itaat edin ki Allah günahlarınızı size bağışlasın ve sizi belli bir süreye kadar ertelesin; doğrusu Allah'ın belirttiği süre gelince geri bırakılamaz; keşke bilseniz!"
004_00	"Allah'a kulluk edin; O'ndan sakının ve bana itaat edin ki Allah günahlarınızı size bağışlasın ve sizi belli bir süreye kadar ertelesin; doğrusu Allah'ın belirttiği süre gelince geri bırakılamaz; keşke bilseniz!"
005_00	Nuh dedi ki: "Rabbim! Doğrusu ben, milletimi gece gündüz çağırdım."
006_00	"Fakat benim çağırmam, sadece benden uzaklıklarını artırdı."
007_00	"Doğrusu ben Senin onları bağışlaman için kendilerini her çağırışımda, parmaklarını kulaklarına tıkadılar, elbiselerine büründüler, direndiler, büyüklendikçe büyüklendiler."
008_00	"Sonra, doğrusu ben onları açıkça çağırdım."
009_00	"Sonra onlara açıktan açığa, gizliden gizliye de söyledim."
010_00	Dedim ki: "Rabbinizden bağışlanma dileyin; doğrusu O, çok bağışlayandır. Size gökten bol bol yağmur indirsin."
011_00	Dedim ki: "Rabbinizden bağışlanma dileyin; doğrusu O, çok bağışlayandır. Size gökten bol bol yağmur indirsin."
012_00	"Sizi, mallar ve oğullarla desteklesin; sizin için bahçeler var etsin, ırmaklar akıtsın."
013_00	"Ne oluyorsunuz ki Allah'a büyüklüğü yakıştıramıyorsunuz."
014_00	"Oysa sizi merhalelerden geçirerek O yaratmıştır."
015_00	"Allah'ın, göğü yedi kat üzerine nasıl yarattığını görmez misiniz?"
016_00	"Aralarında aya aydınlık vermiş ve güneşin ışık saçmasını sağlamıştır."
017_00	"Allah sizi yerden bitirir gibi yetiştirmiştir."
018_00	"Sonra sizi oraya döndürür ve yine oradan çıkarır."
019_00	"Yeryüzünde dolaşabilmeniz, orada yollar ve geniş geçitlerden geçebilmeniz için, onu size yayan O'dur."
020_00	"Yeryüzünde dolaşabilmeniz, orada yollar ve geniş geçitlerden geçebilmeniz için, onu size yayan O'dur."
021_00	Nuh: "Rabbim! Doğrusu bunlar bana baş kaldırdılar ve malı, çocuğu kendisine sadece zarar getiren kimseye uydular; birbirinden büyük düzenler kurdular" dedi.
022_00	Nuh: "Rabbim! Doğrusu bunlar bana baş kaldırdılar ve malı, çocuğu kendisine sadece zarar getiren kimseye uydular; birbirinden büyük düzenler kurdular" dedi.
023_00	İnsanlara: "Sakın tanrılarınızı bırakmayın, Ved, Suva, Yağus, Yeuk ve Nesr putlarından asla vazgeçmeyin" dediler.
024_00	"Böylece birçoğunu saptırdılar; Rabbim! Sen bu zalimlerin sadece şaşkınlığını artır."
025_00	Onlar, günahları yüzünden suda boğuldular; ateşe sokuldular, kendilerine Allah'tan başka yardımcı bulamadılar.
026_00	Nuh dedi ki: "Rabbim! Yeryüzünde hiçbir inkarcı bırakma."
027_00	"Doğrusu Sen onları bırakırsan kullarını saptırırlar; sadece ahlaksız ve çok inkarcıdan başkasını doğurup yetiştirmezler."
028_00	"Rabbim! Beni, anamı, babamı, evime inanmış olarak gireni, inanan erkek ve kadınları bağışla; zalimlerin de yalnız helakını artır."
