001_00	Litakapo tukia hilo Tukio
002_00	Hapana cha kukanusha kutukia kwake.
003_00	Literemshalo linyanyualo,
004_00	Itakapo tikiswa ardhi kwa mtikiso,
005_00	Na milima itapo sagwasagwa,
006_00	Iwe mavumbi yanayo peperushwa,
007_00	Na nyinyi mtakuwa namna tatu:-
008_00	Basi watakuwepo wa kuliani; je, ni wepi wa kuliani?
009_00	Na wa kushotoni; je, ni wepi wa kushotoni?
010_00	Na wa mbele watakuwa mbele.
011_00	Hao ndio watakao karibishwa
012_00	Katika Bustani zenye neema.
013_00	Fungu kubwa katika wa mwanzo,
014_00	Na wachache katika wa mwisho.
015_00	Watakuwa juu ya viti vya fakhari vilivyo tonewa.
016_00	Wakiviegemea wakielekeana.
017_00	Wakitumikiwa na wavulana wa ujana wa milele,
018_00	Kwa vikombe na mabirika na bilauri za vinywaji kutoka chemchem safi.
019_00	Hawataumwa kichwa kwa vinywaji hivyo wala hawatoleweshwa.
020_00	Na matunda wayapendayo,
021_00	Na nyama za ndege kama wanavyo tamani.
022_00	Na Mahurulaini,
023_00	Walio kama mfano wa lulu zilio hifadhiwa.
024_00	Ni malipo kwa waliyo kuwa wakiyatenda.
025_00	Humo hawatasikia porojo wala maneno ya dhambi,
026_00	Isipo kuwa maneno ya Salama, Salama.
027_00	Na wale wa mkono wa kulia, ni yepi yatakuwa ya wa kuliani?
028_00	Katika mikunazi isiyo na miba,
029_00	Na migomba iliyo pangiliwa,
030_00	Na kivuli kilicho tanda,
031_00	Na maji yanayo miminika,
032_00	Na matunda mengi,
033_00	Hayatindikii wala hayakatazwi,
034_00	Na matandiko yaliyo nyanyuliwa.
035_00	Hakika Sisi tutawaumba (Mahurulaini) upya,
036_00	Na tutawafanya vijana,
037_00	Wanapendana na waume zao, hirimu moja.
038_00	Kwa ajili ya watu wa kuliani.
039_00	Fungu kubwa katika wa mwanzo,
040_00	Na fungu kubwa katika wa mwisho.
041_00	Na watu wa kushotoni; je ni yepi ya wa kushotoni?
042_00	Katika upepo wa moto, na maji yanayo chemka,
043_00	Na kivuli cha moshi mweusi,
044_00	Si cha kuburudisha wala kustarehesha.
045_00	Hakika hao walikuwa kabla ya haya wakiishi maisha ya anasa.
046_00	Na walikuwa wakishikilia kufanya madhambi makubwa,
047_00	Na walikuwa wakisema: Tutakapo kufa na tukawa udongo na mafupa, ati ndio tutafufuliwa?
048_00	Au baba zetu wa zamani?
049_00	Sema: Hakika wa zamani na wa mwisho
050_00	Bila ya shaka watakusanywa kwa wakati wa siku maalumu.
051_00	Kisha nyinyi, mlio potea, mnao kanusha,
052_00	Kwa yakini mtakula mti wa Zaqqumu.
053_00	Na kwa mti huo mtajaza matumbo.
054_00	Na juu yake mtakunywa maji yanayo chemka.
055_00	Tena mtakunywa kama wanavyo kunywa ngamia wenye kiu.
056_00	Hiyo ndiyo karamu yao Siku ya Malipo.
057_00	Sisi tumekuumbeni; basi hamsadiki?
058_00	Je! Mnaiona mbegu ya uzazi mnayo idondokeza?
059_00	Je! Mnaiumba nyinyi, au ni Sisi ndio Waumbaji?
060_00	Sisi tumekuwekeeni mauti; na wala Sisi hatushindwi
061_00	Kuwaleta wengine badala yenu na kukuumbeni nyinyi kwa umbo msilo lijua.
062_00	Na bila ya shaka mlikwisha jua umbo la kwanza, basi kwa nini hamkumbuki?
063_00	Je! Mnaona makulima mnayo yapanda?
064_00	Je! Ni nyinyi mnayo yaotesha au ni Sisi ndio wenye kuotesha?
065_00	Tungeli taka tungeli yafanya yakawa mapepe, mkabaki mnastaajabu,
066_00	Mkisema: Hakika sisi tumegharimika;
067_00	Bali sisi tumenyimwa.
068_00	Je! Mnayaona maji mnayo yanywa?
069_00	Je! Ni nyinyi mnayo yateremsha kutoka mawinguni au ni Sisi ndio wenye kuyateremsha?
070_00	Tungeli penda tungeli yafanya ya chumvi. Basi mbona hamshukuru?
071_00	Je! Mnauona moto mnao uwasha?
072_00	Ni nyinyi mlio uumba mti wake au Sisi ndio Waumbaji?
073_00	Sisi tumeufanya uwe ni ukumbusho na manufaa kwa walioko nyikani.
074_00	Basi litakase jina la Mola wako Mlezi aliye Mkuu.
075_00	Basi naapa kwa maanguko ya nyota,
076_00	Na hakika bila ya shaka hichi ni kiapo kikubwa, laiti mngeli jua!
077_00	Hakika hii bila ya shaka ni Qur'ani Tukufu,
078_00	Katika Kitabu kilicho hifadhiwa.
079_00	Hapana akigusaye ila walio takaswa.
080_00	Ni uteremsho unao toka kwa Mola Mlezi wa walimwengu wote.
081_00	Ni maneno haya ndiyo nyinyi mnayapuuza?
082_00	Na badala ya kushukuru kwa riziki yenu mnafanya kuwa mnakadhibisha?
083_00	Yawaje basi itakapo fika roho kwenye koo,
084_00	Na nyinyi wakati huo mnatazama!
085_00	Na Sisi tuko karibu zaidi naye kuliko nyinyi.
086_00	Na lau kuwa nyinyi hamumo katika mamlaka yangu,
087_00	Kwanini hamuirudishi hiyo roho, ikiwa nyinyi mnasema kweli?
088_00	Basi akiwa miongoni mwa walio karibishwa,
089_00	Basi ni raha, na manukato, na Bustani zenye neema.
090_00	Na akiwa katika watu wa upande wa kulia,
091_00	Basi ni Salamu kwako uliye miongoni mwa watu wa upande wa kulia.
092_00	Na ama akiwa katika walio kadhibisha wapotovu,
093_00	Basi karamu yake ni maji yanayo chemka,
094_00	Na kutiwa Motoni.
095_00	Hakika hii ndiyo haki yenye yakini.
096_00	Basi litakase jina la Mola wako Mlezi aliye Mkubwa.
