001_00	Guai ai frodatori.
002_00	che quando comprano esigono colma la misura.
003_00	ma quando sono loro a misurare o a pesare, truffano.
004_00	Non pensano che saranno resuscitati.
005_00	in un Giorno terribile.
006_00	il Giorno in cui le genti saranno ritte davanti al Signore dei mondi.
007_00	No, in verità il registro dei peccatori è nella Segreta .
008_00	e chi mai ti farà comprendere cos'è la Segreta.
009_00	È uno scritto vergato.
010_00	Guai, in quel Giorno, a coloro che tacciano di menzogna.
011_00	che tacciano di menzogna il Giorno del Giudizio.
012_00	Non lo taccia di menzogna altri che il peccatore inveterato.
013_00	che, quando gli sono recitati i Nostri versetti, dice: «Favole degli antichi!».
014_00	Niente affatto: è piuttosto quello che fanno che copre i loro cuori.
015_00	Niente affatto: in verità in quel Giorno un velo li escluderà dal vedere il loro Signore.
016_00	e poi cadranno nella Fornace.
017_00	Sarà detto loro: «Ecco quello che tacciavate di menzogna!».
018_00	Niente affatto: il registro dei caritatevoli sarà nelle Altezze.
019_00	E chi mai ti farà comprendere cosa sono le Altezze.
020_00	È uno scritto vergato.
021_00	I ravvicinati ne renderanno testimonianza.
022_00	I giusti saranno nella delizia.
023_00	su alti divani guarderanno.
024_00	Sui loro volti vedrai il riflesso della Delizia.
025_00	Berranno un nettare puro, suggellato
026_00	con suggello di muschio – che vi aspirino coloro che ne sono degni
027_00	mescolato con Tasnîm .
028_00	fonte di cui berranno i ravvicinati.
029_00	Invero i malvagi schernivano i credenti .
030_00	quando passavano nei loro pressi si davano occhiate.
031_00	ritornando dalla loro gente, si burlavano di loro.
032_00	e quando li vedevano, dicevano: «Davvero sono fuorviati!».
033_00	Certo non hanno avuto l'incarico di vegliare su di loro.
034_00	Oggi invece sono i credenti a ridere dei miscredenti.
035_00	su alti divani guarderanno.
036_00	I miscredenti non sono forse compensati per quello che hanno fatto?
