001_00	Милостивый
002_00	научил Корану,
003_00	создал человека
004_00	и научил его изъясняться.
005_00	Солнце и луна движутся согласно рассчитанному порядку.
006_00	Травы (или звезды) и деревья совершают поклоны.
007_00	Он возвысил небо и установил весы,
008_00	чтобы вы не преступали границы дозволенного на весах.
009_00	Взвешивайте беспристрастно и не занижайте вес.
010_00	Он установил землю для тварей.
011_00	На ней есть фрукты и финиковые пальмы с чашечками (или волокнами),
012_00	а также злаки с листьями и травы благоуханные.
013_00	Какую же из милостей вашего Господа вы считаете ложью?
014_00	Он создал человека из сухой (или звенящей) глины, подобной гончарной,
015_00	и создал джиннов из чистого пламени (или из пламени, смешанного с дымом).
016_00	Какую же из милостей вашего Господа вы считаете ложью?
017_00	Господь обоих востоков и Господь обоих западов!
018_00	Какую же из милостей вашего Господа вы считаете ложью?
019_00	Он смешал два моря, которые встречаются друг с другом.
020_00	Между ними существует преграда, которую они не могут преступить.
021_00	Какую же из милостей вашего Господа вы считаете ложью?
022_00	Из них обоих вылавливают жемчуг и кораллы.
023_00	Какую же из милостей вашего Господа вы считаете ложью?
024_00	Ему принадлежат плывущие по морю с поднятыми парусами корабли, подобные горам.
025_00	Какую же из милостей вашего Господа вы считаете ложью?
026_00	Все на ней (земле) смертны.
027_00	Вечен лишь Лик Господа твоего, обладающий величием и великодушием.
028_00	Какую же из милостей вашего Господа вы считаете ложью?
029_00	Его просят те, кто на небесах и на земле, и каждый день Он занят делом.
030_00	Какую же из милостей вашего Господа вы считаете ложью?
031_00	Скоро Мы займемся только вами, о два весомых (или обремененных) рода!
032_00	Какую же из милостей вашего Господа вы считаете ложью?
033_00	О сонмище джиннов и людей! Если вы можете проникнуть за пределы небес и земли, то проникните. Но вы не проникните, не обладая властью (или ясным доводом)!
034_00	Какую же из милостей вашего Господа вы считаете ложью?
035_00	На вас нашлют зеленое пламя (или пламя без дыма) и расплавленную медь (или дым), и вы не поможете друг другу.
036_00	Какую же из милостей вашего Господа вы считаете ложью?
037_00	И вот небо разверзнется и станет красным, как кипящее масло (или покрасневшая кожа; или расплавленный свинец).
038_00	Какую же из милостей вашего Господа вы считаете ложью?
039_00	В тот день ни человек, ни джинн не будет спрошен о его грехе.
040_00	Какую же из милостей вашего Господа вы считаете ложью?
041_00	Грешников будут узнавать по их признакам, а затем хватать за хохлы и стопы.
042_00	Какую же из милостей вашего Господа вы считаете ложью?
043_00	Вот Геенна, которую грешники считали ложью.
044_00	Они будут ходить между нею и кипящей водой.
045_00	Какую же из милостей вашего Господа вы считаете ложью?
046_00	Тем же, которые боялись предстать перед своим Господом, уготовано два сада.
047_00	Какую же из милостей вашего Господа вы считаете ложью?
048_00	В них обоих есть ветви.
049_00	Какую же из милостей вашего Господа вы считаете ложью?
050_00	В них обоих текут два источника.
051_00	Какую же из милостей вашего Господа вы считаете ложью?
052_00	В них обоих есть от всех фруктов по паре.
053_00	Какую же из милостей вашего Господа вы считаете ложью?
054_00	Они будут лежать, прислонившись, на матрацах, выстланных снизу парчой, а свежие плоды этих двух садов будут склоняться низко.
055_00	Какую же из милостей вашего Господа вы считаете ложью?
056_00	Там будут девы, потупляющие взоры, с которыми прежде не имели близости ни человек, ни джинн.
057_00	Какую же из милостей вашего Господа вы считаете ложью?
058_00	Они подобны рубинам и кораллам.
059_00	Какую же из милостей вашего Господа вы считаете ложью?
060_00	Воздают ли за добро иначе, чем добром?
061_00	Какую же из милостей вашего Господа вы считаете ложью?
062_00	А перед теми двумя есть еще два сада.
063_00	Какую же из милостей вашего Господа вы считаете ложью?
064_00	Они оба - темно-зеленые.
065_00	Какую же из милостей вашего Господа вы считаете ложью?
066_00	В них обоих бурлят два источника.
067_00	Какую же из милостей вашего Господа вы считаете ложью?
068_00	В них обоих есть фрукты, финиковые пальмы, гранаты.
069_00	Какую же из милостей вашего Господа вы считаете ложью?
070_00	Там есть девы хорошие, прекрасные.
071_00	Какую же из милостей вашего Господа вы считаете ложью?
072_00	Они - черноокие и большеглазые, удерживаемые в шатрах.
073_00	Какую же из милостей вашего Господа вы считаете ложью?
074_00	С ними прежде не имели близости ни человек, ни джинн.
075_00	Какую же из милостей вашего Господа вы считаете ложью?
076_00	Они будут лежать, прислонившись, на зеленых подушках и прекрасных матрацах.
077_00	Какую же из милостей вашего Господа вы считаете ложью?
078_00	Благословенно имя Господа твоего, Обладающего величием и великодушием!
