001_00	Они спрашивают тебя о трофеях. Скажи: «Трофеи принадлежат Аллаху и Посланнику».
001_01	Побойтесь же Аллаха и урегулируйте разногласия между собой. Повинуйтесь Аллаху и Его Посланнику, если вы являетесь верующими.
002_00	Верующими являются только те, сердца которых испытывают страх при упоминании Аллаха, вера которых усиливается, когда им читают Его аяты, которые уповают на своего Господа,
003_00	которые совершают намаз и расходуют из того, чем Мы их наделили.
004_00	Они являются истинно верующими. Им уготованы высокое положение у их Господа, прощение и щедрый удел.
005_00	Таким же образом твой Господь побудил тебя выйти из дома (в направлении Бадра) ради истины, хотя некоторые из верующих не хотели этого.
006_00	Они препирались с тобой относительно истины после того, как она стала очевидна, словно их вели на смерть, и они наблюдали за этим.
007_00	Вот Аллах обещал вам, что вам достанется один из двух отрядов (торговый караван или вооруженный отряд мекканцев). Вы пожелали, чтобы вам достался невооруженный отряд.
007_01	Но Аллах желает подтвердить истину своими словами и искоренить неверующих,
008_00	чтобы восторжествовала истина и исчезла ложь, даже если это ненавистно грешникам.
009_00	Вот вы попросили своего Господа о помощи, и Он ответил вам: «Я помогу вам тысячью ангелов, следующих друг за другом».
010_00	Аллах сделал это доброй вестью, дабы ваши сердца обрели покой. Победа может быть только от Аллаха. Воистину, Аллах - Могущественный, Мудрый.
011_00	Вот Он наслал на вас дремоту, чтобы вы почувствовали себя в безопасности, и ниспослал вам с неба воду, чтобы о
011_01	чистить вас ею и удалить c вас скверну дьявола, чтобы сделать ваши сердца стойкими и утвердить этим ваши стопы.
012_00	Вот твой Господь внушил ангелам: «Я - с вами. Укрепите тех, которые уверовали!
012_01	Я же вселю ужас в сердца тех, которые не веруют. Рубите им головы и рубите им все пальцы».
013_00	Это потому, что они воспротивились Аллаху и Его Посланнику. А если кто противится Аллаху и Его Посланнику, то ведь Аллах суров в наказании.
014_00	Вот так! Вкусите же его! Воистину, неверующим уготованы мучения в Огне.
015_00	О те, которые уверовали! Когда вы встретитесь с неверующими на поле битвы, то не поворачивайтесь к ним спиной.
