001_00	Ta, Ha*.
002_00	No hemos hecho descender sobre ti el Corán para que te agobies.
003_00	Sino como una amonestación para quien se guarde.
004_00	Es un descenso de Aquel que ha creado la tierra y los excelsos cielos.
005_00	El Misericordioso que se asentó sobre el trono.
006_00	Suyo es cuanto hay en los cielos y en la tierra, lo que hay entre ambos y lo que hay bajo el suelo.
007_00	Y hables en voz alta... (o no), Él conoce lo secreto y aún más que eso.
008_00	Allah, no hay dios sino Él, Suyos son los nombres más hermosos.
009_00	¿Te ha llegado el relato de Musa?
010_00	Cuando vio un fuego y dijo a su familia: Permaneced aquí, he divisado un fuego y tal vez pueda traeros alguna brasa o encuentre en él alguna guía.
011_00	Y cuando llegó a él, oyó una llamada: ¡Musa!:
012_00	Yo soy tu Señor, quítate las sandalias pues estás en el purificado valle de Tuwa.
013_00	Te he elegido, así pues pon atención a lo que se inspira:
014_00	Yo soy Allah, no hay dios excepto Yo; adórame y establece la Oración para recordarme.
015_00	La Hora vendrá con toda seguridad, y casi la tengo oculta para Mí mismo, para pagar a cada uno en lo que se haya esforzado.
016_00	Que no te aparte de ella quien no crea en ella y siga sus pasiones, pues te perderías.
017_00	¿Qué tienes en tu mano derecha Musa?
018_00	Dijo: Es mi bastón, en él me apoyo, con él vareo los árboles para mi ganado y en él tengo otras utilidades.
019_00	Dijo: ¡Tíralo, Musa!
020_00	Lo tiró y era una serpiente que reptaba con rapidez.
021_00	Dijo: Tómalo y no temas, lo devolveremos a su forma original.
022_00	Ponte la mano bajo el brazo y saldrá blanca, sin que sea debido a ningún mal. Será otro signo.
023_00	Es para mostrarte parte de Nuestros grandes signos.
024_00	Ve a Firaún pues realmente él ha sobrepasado todo límite.
025_00	Dijo: Señor mío, abre mi pecho,
026_00	haz fácil mi misión
027_00	y desata el nudo de mi lengua
028_00	para que puedan comprender lo que digo.
029_00	Y dame alguien de mi familia que me asista.
030_00	A mi hermano Harún.
031_00	Fortalece mi espalda con él.
032_00	Y asóciale a mi misión
033_00	para que Te glorifiquemos mucho.
034_00	Y Te recordemos mucho.
035_00	Es cierto que Tú nos ves.
036_00	Dijo: Tu petición te ha sido concedida, Musa.
037_00	Ya te habíamos agraciado en otra ocasión,
038_00	Cuando inspiramos a tu madre lo que le fue inspirado:
039_00	Ponlo en la canasta y déjalo en el río, el río lo arrojará a la orilla y será recogido por un enemigo Mío y suyo.
039_01	Deposité en ti amor procedente de Mí Para que te criaras bajo Mi mirada.
040_00	Cuando fue tu hermana y dijo: ¿Queréis que os muestre quién puede criarlo?
040_01	Y te devolvimos a tu madre para consuelo de sus ojos y para que no se entristeciera.Y mataste a una persona y te salvamos del aprieto poniéndote a prueba.Estuviste unos años entre la gente de Madyan y luego, por un decreto, viniste, Musa.
041_00	Y te elegí para Mí.
042_00	¡Id tú y tu hermano llevando Mis signos y no flaqueéis en recordarme!
043_00	Id los dos a Firaún pues él ha sobrepasado todo límite.
044_00	Y habladle de manera suave, tal vez recapacite y se guarde.
045_00	Dijeron: Señor nuestro, tememos que se precipite contra nosotros o abuse.
046_00	Dijo: No temáis, Yo estaré con vosotros oyendo y viendo.
047_00	¡Id a él!
047_01	y decidle: Somos mensajeros de tu Señor, deja ir con nosotros a los hijos de Israel y no los castigues, hemos venido a ti con un signo de tu Señor. Y que la paz sea con quien siga la guía.
048_00	Verdaderamente se nos ha inspirado que el castigo caerá sobre el que desmienta y se aparte.
049_00	Dijo: ¿Y quién es vuestro Señor, Musa?
050_00	Dijo: Nuestro Señor es Aquel que ha dado a cada cosa su creación y luego la ha encaminado.
051_00	Dijo: ¿Y qué me decís de las generaciones anteriores?
052_00	Dijo: Su conocimiento está junto a mi Señor en un Libro.A mi Señor no se le escapa nada ni olvida.
