001_00	Hari kiamat,
002_00	apakah hari kiamat itu?
003_00	Dan tahukah kamu apakah hari kiamat itu?
004_00	Kaum Tsamud dan 'Aad telah mendustakan hari kiamat.
005_00	Adapun kaum Tsamud, maka mereka telah dibinasakan dengan kejadian yang luar biasa.
006_00	Adapun kaum 'Aad maka mereka telah dibinasakan dengan angin yang sangat dingin lagi amat kencang,
007_00	yang Allah menimpakan angin itu kepada mereka selama tujuh malam dan delapan hari terus menerus; maka kamu lihat kaum 'Aad pada waktu itu mati bergelimpangan seakan-akan mereka tunggul pohon kurma yang telah kosong (lapuk).
008_00	Maka kamu tidak melihat seorangpun yang tinggal di antara mereka.
009_00	Dan telah datang Fir'aun dan orang-orang yang sebelumnya dan (penduduk) negeri-negeri yang dijungkir balikkan karena kesalahan yang besar.
010_00	Maka (masing-masing) mereka mendurhakai rasul Tuhan mereka, lalu Allah menyiksa mereka dengan siksaan yang sangat keras.
011_00	Sesungguhnya Kami, tatkala air telah naik (sampai ke gunung) Kami bawa (nenek moyang) kamu, ke dalam bahtera,
012_00	agar Kami jadikan peristiwa itu peringatan bagi kamu dan agar diperhatikan oleh telinga yang mau mendengar.
013_00	Maka apabila sangkakala ditiup sekali tiup
014_00	dan diangkatlah bumi dan gunung-gunung, lalu dibenturkan keduanya sekali bentur.
015_00	Maka pada hari itu terjadilah hari kiamat,
016_00	dan terbelahlah langit, karena pada hari itu langit menjadi lemah.
017_00	Dan malaikat-malaikat berada di penjuru-penjuru langit. Dan pada hari itu delapan orang malaikat menjunjung 'Arsy Tuhanmu di atas (kepala) mereka.
018_00	Pada hari itu kamu dihadapkan (kepada Tuhanmu), tiada sesuatupun dari keadaanmu yang tersembunyi (bagi Allah).
019_00	Adapun orang-orang yang diberikan kepadanya kitabnya dari sebelah kanannya, maka dia berkata: "Ambillah, bacalah kitabku (ini)".
020_00	Sesungguhnya aku yakin, bahwa sesungguhnya aku akan menemui hisab terhadap diriku.
021_00	Maka orang itu berada dalam kehidupan yang diridhai,
022_00	dalam surga yang tinggi,
023_00	buah-buahannya dekat,
024_00	(kepada mereka dikatakan): "Makan dan minumlah dengan sedap disebabkan amal yang telah kamu kerjakan pada hari-hari yang telah lalu".
025_00	Adapun orang yang diberikan kepadanya kitabnya dari sebelah kirinya, maka dia berkata: "Wahai alangkah baiknya kiranya tidak diberikan kepadaku kitabku (ini).
026_00	Dan aku tidak mengetahui apa hisab terhadap diriku.
027_00	Wahai kiranya kematian itulah yang menyelesaikan segala sesuatu.
028_00	Hartaku sekali-kali tidak memberi manfaat kepadaku.
029_00	Telah hilang kekuasaanku daripadaku".
030_00	(Allah berfirman): "Peganglah dia lalu belenggulah tangannya ke lehernya.
031_00	Kemudian masukkanlah dia ke dalam api neraka yang menyala-nyala.
032_00	Kemudian belitlah dia dengan rantai yang panjangnya tujuh puluh hasta.
033_00	Sesungguhnya dia dahulu tidak beriman kepada Allah Yang Maha Besar.
034_00	Dan juga dia tidak mendorong (orang lain) untuk memberi makan orang miskin.
035_00	Maka tiada seorang temanpun baginya pada hari ini di sini.
036_00	Dan tiada (pula) makanan sedikitpun (baginya) kecuali dari darah dan nanah.
037_00	Tidak ada yang memakannya kecuali orang-orang yang berdosa.
038_00	Maka Aku bersumpah dengan apa yang kamu lihat.
039_00	Dan dengan apa yang tidak kamu lihat.
040_00	Sesungguhnya Al Quran itu adalah benar-benar wahyu (Allah yang diturunkan kepada) Rasul yang mulia,
041_00	dan Al Quran itu bukanlah perkataan seorang penyair. Sedikit sekali kamu beriman kepadanya.
042_00	Dan bukan pula perkataan tukang tenung. Sedikit sekali kamu mengambil pelajaran daripadanya.
043_00	Ia adalah wahyu yang diturunkan dari Tuhan semesta alam.
044_00	Seandainya dia (Muhammad) mengadakan sebagian perkataan atas (nama) Kami,
045_00	niscaya benar-benar Kami pegang dia pada tangan kanannya.
046_00	Kemudian benar-benar Kami potong urat tali jantungnya.
047_00	Maka sekali-kali tidak ada seorangpun dari kamu yang dapat menghalangi (Kami), dari pemotongan urat nadi itu.
048_00	Dan sesungguhnya Al Quran itu benar-benar suatu pelajaran bagi orang-orang yang bertakwa.
049_00	Dan sesungguhnya Kami benar-benar mengetahui bahwa di antara kamu ada orang yang mendustakan(nya).
050_00	Dan sesungguhnya Al Quran itu benar-benar menjadi penyesalan bagi orang-orang kafir (di akhirat).
051_00	Dan sesungguhnya Al Quran itu benar-benar kebenaran yang diyakini.
052_00	Maka bertasbihlah dengan (menyebut) nama Tuhanmu Yang Maha Besar.
