001_00	Эй бурканиб ётган!
002_00	Тур ва огоҳлантир!
003_00	Ва Роббингни улуғла!
004_00	Ва кийимингни покла!
005_00	Ва азоб(сабабчиси)дан четлан!
006_00	Ва кўп (иш)қилган бўлсанг ҳам, миннат қилма!
007_00	Ва Роббинг учун сабр қил!
008_00	Ва қачонки дудга пуфланса.
009_00	Ўшал кун, қийин кундир.
010_00	У кофирларга осон эмасдир.
011_00	Мени, Ўзим якка яратган кимса бидан қўйиб қўй.
012_00	Ва унга кўплаб молу дунё.
013_00	Ва ҳозиру нозир фарзандлар бериб қўйдим.
014_00	Ва унга (ҳамма нарсани) осонлаштириб қўйдим.
015_00	Сўнгра, яна зиёда қилишимни тамаъ қиладир.
016_00	Йўқ! Чунки, у Бизнинг оятларимизга саркаш эди.
017_00	Тезда уни машаққатли чиқишла ҳоритарман.
018_00	Албатта, у тафаккур қилди ва чамалаб кўрди.
019_00	Лаънат бўлсин унга, қандоқ ҳам чамалаб кўрди!
020_00	Сўнгра яна лаънат бўлсин унга, қандоқ ҳам чамалаб кўрди.
021_00	Сўнгра назар солди.
022_00	Сўнгра юзини буриштирди ва қавоғини солди.
023_00	Сўнгра юз ўгирди ва такаббурлик қилди.
024_00	Бас, бу асар қолган сеҳрдан ўзга ҳеч нарса эмас.
025_00	Бу башар сўзидан ўзга ҳеч нарса эмас, деди.
026_00	Тезда уни сақар (дўзахи)га киритаман.
027_00	Ва сақар нималигини сенга нима билдирди?
028_00	У (сақар) боқий қолдирмас ва тарк ҳам қилмас.
029_00	У терини кўп куйдирувчидир.
030_00	Унинг устида ўн тўққизта (фаришта) бордир.
031_00	Дўзах соҳибларини фаришталардан қилганимиз ва уларнинг адади ҳам фақат кофирларни санаш учундир.
031_01	Китоб берилганлар ишонч ҳосил қилишлари учундир.
031_02	Ва иймонлиларнинг иймони зиёда бўлиши учундир.
031_03	Китоб берилганлар ва мўминлар шак-шубҳа қилмасликлари учундир ва қалбларида касали бор(мунофиқ)лар ва кофирлар, Аллоҳ бу билан нима мисолни ирода қилмоқчи, дейишлари учундир. Шундоқ қилиб Аллоҳ хоҳлаган кимсани адаштирадир ва хоҳлаган кимсани ҳидоятга соладир. Роббингнинг аскарларини Ўзидан бошқа ҳеч ким билмайдир. Ва у (дўзах) башарият учун эслатмадан ўзга ҳеч нарса эмасдир.
032_00	Йўқ! Ой билан қасам.
033_00	Ва чекинаётган тун билан қасам.
034_00	Ва ёришаётган тонг билан қасам.
035_00	Албатта у(дўзах) улкан(азоб) ларнинг биридир.
036_00	Башарият учун огоҳлантирувчидир.
037_00	Сизлардан пешқадам бўлишни ёки ортда қолишни хоҳлаётган кимсалар учун ҳамдир.
038_00	Ҳар бир шахс ўз касбининг гаровидир.
039_00	Магар ўнг тараф соҳиблари мустаснодир.
040_00	Улар жаннатларда сўрарлар.
041_00	Гуноҳкорлардан.
042_00	Сизларни дўзахга нима киритди?
043_00	Улар: «Намоз ўқийдиганлардан бўлмаган эдик.
044_00	Ва мискинларга таом бермаган эдик.
045_00	Ва ботилга шунғувчилар билан бирга шўнғир эдик.
046_00	Ва қиёмат куни ёлғонга чиқарган эдик.
047_00	Токи бизга ўлим келгунича», дерлар.
048_00	Бас, уларга шафоатчиларнинг шафоати манфаат бермас.
049_00	Уларга не бўлдики, эслатмадан юз ўрирурлар?!
050_00	Худди қаттиқ қўрққан эшаклар.
051_00	Арслондан қочгани каби.
052_00	Балки улардан ҳар бири ўзига нашр қилинган саҳифалар берилишини ирода қиладир.
053_00	Йўқ! Балки улар охиратдан қўрқмаслар.
054_00	Йўқ! Албатта у(Қуръон) эслатмадир.
055_00	Бас, ким хоҳласа уни эслайдир.
056_00	Ва фақат Аллоҳ хоҳласагина эслайдилар. У зот тақво аҳлидир ва мағфират аҳлидир.
