001_00	سوێندم به‌م شاره (واته شاری مه‌ککه‌).
002_00	له کاتێکدا تۆ نیشته‌جێی تیایدا.
003_00	سوێند به باوک و ڕۆڵه‌که‌ی.
004_00	(سوێند به‌وانه‌) به‌ڕاستی ئێمه ئینسانمان دروست کردووه و به‌رده‌وام له ناڕه‌حه‌تی و سه‌غڵه‌تی و کێشه و ناخۆشیدا..
005_00	ئایا ئاده‌میزاد واده‌زانێت که هه‌رگیز که‌س ده‌سه‌ڵاتی به‌سه‌ریدا نابێت؟
006_00	(زۆرجار) ده‌ڵێت: من پاره‌ی زۆرم له ناوداوه‌!! من ماڵی زۆرم خه‌رج کردووه‌!!
007_00	ئایا وا ده‌زانێت که‌س ئاگاداری نیه‌و نه‌یبینیووه (که ئه‌و سه‌رمایه‌یه‌ی له کوێوه په‌یداکردووه و له چیدا خه‌رجی کردووه‌؟! ‎).
008_00	ئایا جووتێک چاومان پێنه‌به‌خشیووه‌؟ (‎چاو: زۆر گرنگتره له دوو ده‌زگای کامێرای ئه‌له‌کترۆنی خودکار له هه‌ر چرکه‌یه‌کدا هه‌زاران وێنه‌ی ڕه‌نگاو ڕه‌نگ ده‌گرێت و ده‌ینێرێت بۆ مێشک، ئه‌ویش هه‌ندێکی هه‌ڵده‌گرێت).
009_00	هه‌روه‌ها زمان و دوو لێوه‌شمان پێ نه‌به‌خشیووه‌؟
010_00	ئایا به منداڵی ڕێنموویمان نه‌کردووه بۆ ئه‌وه‌ی شیر له مه‌مکه‌کانی دایکی بخوات؟، له گه‌وره‌یشدا بۆ ئه‌وه‌ی سه‌رپشک بێت له شوێنکه‌وتنی ڕێبازی ڕاست، یان چه‌وت؟!
011_00	که‌چی (زۆربه‌ی ئه‌و خه‌ڵکه‌) نه‌یتوانی به‌سه‌ر کۆسپ و له‌په‌ره‌کاندا زاڵ ببێت و ڕێگای سه‌رفه‌رزای بگرێته‌به‌ر.
012_00	جا تۆ ‎چووزانی ئه‌و کۆسپ و له‌مپه‌رانه کامه‌ن؟!...
013_00	ئازاد؛ ردنی به‌نده و کۆیله‌یه (یان ئازادکردنی گه‌ردنی خۆیه‌تی له گوناهو یاخی بوون و سه‌رکه‌شی).
014_00	یاخود خۆراک به‌خشینه له ڕۆژێکدا که گرانی و پرسێتی هه‌بێت.
015_00	به‌تایبه‌تی به‌و هه‌یتوه‌ی که خزمایه‌تی هه‌یه له‌گه‌ڵیدا.
016_00	یان به هه‌ژارێک که له هه‌ژاریدا له‌سه‌ر خاک دانیشێت، یان په‌ککه‌وته و که‌فته‌کارێک.
017_00	سه‌ره‌ڕای ئه‌وانه‌ش ئاده‌میزاد ده‌بێت له‌وانه‌بێت که باوه‌ڕیان هێناوه و ئامۆژگاری یه‌کتریان کردووه له‌سه‌ر خۆگری و ئارامگری و هه‌روه‌ها ئامۆژگاری یه‌کتریان کردووه له‌سه‌ر ڕه‌حم و به‌زه‌یی و میهره‌بانی.
018_00	(ئه‌وانه‌ی به‌و سیفه‌ته جوانانه خۆیان ده‌ڕازێننه‌وه‌) ئه‌وانه ده‌سته‌ی ڕاست و (ده‌سته‌ی به‌خته‌وه‌رانن‎).
019_00	ئه‌وانه‌ش که باوه‌ڕیان به ئایه‌ت و فه‌رمانه‌کانی ئێمه نه‌بووه‌، ئه‌وانه ده‌سته‌ی خوارو چه‌پ و چه‌وت و ناله‌باران، ده‌سته‌ی نه‌گبه‌ت و سه‌رلێشیواوه‌کانن.
020_00	ئه‌وانه ده‌رگا و قاپیه‌کانی دۆزه‌خ له‌سه‌ریان داخراوه و هیچ هیوایه‌کی ڕزگارییان نیه‌.
