001_00	Elif Lam Mim Sad.
002_00	Ky është Libri që t’u ka dërguar ty dhe le të mos bëhet kurrfarë shtrëngimi në zemrën tënde për shkak të tij, që me të t’i paralajmërosh dhe këshillosh besimtarët.
003_00	Ndiqnie atë që u është zbritur nga Zoti juaj, e mos ndiqni tjetër mbrojtës përpos Tij. Pak po i pranoni këshillat ju.
004_00	Sa shumë qytete kemi rrënuar Ne! e, dënimi Ynë ju erdhi natën ose ditën kur ata pushonin.
005_00	Dhe thirrja e tyre, kur ju erdhi dënimi, qëndronte vetëm në fjalët: “Na, me të vërtetë kemi qenë zullumqarë!”
006_00	Na, me të vërtetë, do të kërkojmë llogari prej popujve që u kemi dërguar pejgamberë; e gjithsesi, do t’i pyesim edhe pejgamberët.
007_00	Dhe do t’jua praqesim atyre, të gjitha ato që i dimë, sepse, ne kemi qenë prezent.
008_00	Peshimi (i veprave), atë ditë do të jetë i drejtë, atij që i rëndohet terezia me vepra të mira, do të jetë i lumtur;
009_00	kurse, atij që i lehtësohet terezia me vepra të mira, ai do të humb veten, për shkak se i ka mohuar argumentet Tona.
010_00	Na ju kemi vendosur në tokë dhe, në të, ju kemi dhënë çka ju nevojitet për gjallëri. – E sa pak falënderoheni!
011_00	Na ju krijuam (baban tuaj Ademin), e pastaj ua dhamë formën; e ju thamë engjëjve: “Përuljuni Ademit!” e të gjithë iu përulën përveç Iblisit. A nuk ishte nga ata që përulet.
012_00	(Perëndia) tha: “Çka të pengojë ty që nuk iu përule, kur të urdhërova?” (Iblisi) tha: “Unë jam më i mirë se ai. Mua më krijove nga zjarri, kurse atë e krijove nga balta”.
013_00	(Perëndia) tha: “E atëherë, dil prej andaj (xhennetit)! Ti nuk ke të drejtë që të krenohesh në të; dil, me të vërtetë, ti je prej të urrejturve”.
014_00	(Iblisi) tha: “Më jep afat deri në ditën kur ngjallen njerëzit!”
015_00	(Perëndia) tha: “Ti je nga ata që u është dhënë afati”.
016_00	(Iblisi) tha: “Betohem se për atë që me ke humbur, do t’ju vë pengesa atyre në rrugën Tënde të drejtë,
017_00	e do t’ju çasem atyre edhe përpara edhe për mbrapa, edhe në të djathtë, edhe në të majtë, e Ti do të konstatosh se shumica prej tyre nuk janë falenderues!”
