001_00	Bertasbihlah mensucikan nama Tuhanmu Yang Maha Tinggi (dari segala sifat-sifat kekurangan), -
002_00	Yang telah menciptakan (sekalian makhlukNya) serta menyempurnakan kejadiannya dengan kelengkapan yang sesuai dengan keadaannya;
003_00	Dan Yang telah mengatur (keadaan makhluk-makhlukNya) serta memberikan hidayah petunjuk (ke jalan keselamatannya dan kesempurnaannya);
004_00	Dan Yang telah mengeluarkan tumbuh-tumbuhan untuk binatang-binatang ternak,
005_00	Kemudian Ia menjadikan (tumbuh-tumbuhan yang menghijau) itu kering - (berubah warnanya) kehitam-hitaman.
006_00	Kami sentiasa menjadikan engkau (wahai Muhammad) dapat membaca (Al-Quran yang diturunkan kepadamu - dengan perantaraan jibril), sehingga engkau (menghafaznya dan) tidak lupa,
007_00	Kecuali apa yang dikehendaki Allah engkau lupakan; sesungguhnya Ia mengetahui (segala keadaan yang patut berlaku), dan yang tersembunyi.
008_00	Dan Kami tetap memberi kemudahan kepadamu untuk (melaksanakan segala perkara) Ugama yang mudah diterima oleh akal yang sihat.
009_00	Oleh itu berilah peringatan (kepada umat manusia dengan ajaran Al-Quran), kalau-kalau peringatan itu berguna (dan sudah tentu berguna);
010_00	Kerana orang yang takut (melanggar perintah Allah) akan menerima peringatan itu;
011_00	Dan (sebaliknya) orang yang sangat celaka akan menjauhinya,
012_00	Dia lah orang yang akan menderita bakaran neraka yang amat besar (azab seksanya),
013_00	Selain dari itu, ia tidak mati di dalamnya dan tidak pula hidup senang.
014_00	Sesungguhnya berjayalah orang yang - setelah menerima peringatan itu - berusaha membersihkan dirinya (dengan taat dan amal yang soleh),
015_00	Dan menyebut-nyebut dengan lidah dan hatinya akan nama Tuhannya serta mangerjakan sembahyang (dengan khusyuk).
016_00	(Tetapi kebanyakkan kamu tidak melakukan yang demikian), bahkan kamu utamakan kehidupan dunia;
017_00	Padahal kehidupan akhirat lebih baik dan lebih kekal.
018_00	Sesungguhnya (keterangan-keterangan yang dinyatakan) ini ada (disebutkan) di dalam Kitab-kitab yang terdahulu, -
019_00	Iaitu Kitab-kitab Nabi Ibrahim dan Nabi Musa.
