001_00	¡Perdición para los defraudadores!
002_00	Que cuando le compran a la gente le exigen la medida y el peso cumplidos,
003_00	pero cuando son ellos los que miden o pesan, cometen fraude.
004_00	¿Es que no tienen certeza de que serán devueltos a la vida
005_00	para un día trascendente?
006_00	El día en que los hombres se levantarán ante el Señor de los mundos.
007_00	Realmente el libro de los farsantes estará en Siyyin.
008_00	¿Y cómo podrás saber qué es Siyyin?
009_00	Es un libro marcado*.
010_00	¡Perdición ese día para los que niegan la verdad!
011_00	Los que negaron el día de la Rendición de Cuentas.
012_00	Porque sólo niega la verdad el transgresor malvado,
013_00	que cuando se le recitan Nuestros signos dice: Son leyendas de los primitivos.
014_00	¡Pero no! Lo que han adquirido se ha apoderado de sus corazones.
015_00	Ese día ellos estarán velados de su Señor;
016_00	después entrarán en el Yahim.
017_00	Y se dirá: Esto es aquello cuya veracidad negabais.
018_00	Realmente el Libro de los creyentes estará en Il-liyyun*.
019_00	¿Y cómo sabrás qué es Il-liyyun?
020_00	Es un libro marcado.
021_00	Darán testimonio de él los de proximidad*.
022_00	Es cierto que los creyentes sinceros estarán en un deleite.
023_00	Observando, reclinados sobre los lechos.
024_00	En sus rostros reconocerás el resplandor de la dicha.
025_00	Se les dará de beber de un vino puro, sellado;
026_00	cuyo sello será almizcle.¡Que en ello pongan su anhelo los que anhelan!
027_00	Y su mezcla será de Tasnim*.
028_00	Un manantial del que beberán los que tengan proximidad.
029_00	Ciertamente los que cometían maldades se reían de los que eran creyentes.
030_00	Y cuando pasaban a su lado se hacían guiños entre ellos.
031_00	Y cuando regresaban a su familia lo hacían divertidos.
032_00	Y al verlos decían: Estos están extraviados.
033_00	Pero ellos no habían sido enviados como guardianes suyos.
034_00	Y hoy los que creen se reirán de los incrédulos.
035_00	Los observarán reclinados sobre los lechos.
036_00	¿No han sido recompensados los incrédulos por lo que hacían?
