001_00	Thaa Siim Miim
002_00	Inilah ayat-ayat Al Quran yang menerangkan.
003_00	Boleh jadi kamu (Muhammad) akan membinasakan dirimu, karena mereka tidak beriman.
004_00	Jika kami kehendaki niscaya Kami menurunkan kepada mereka mukjizat dari langit, maka senantiasa kuduk-kuduk mereka tunduk kepadanya.
005_00	Dan sekali-kali tidak datang kepada mereka suatu peringatan baru dari Tuhan Yang Maha Pemurah, melainkan mereka selalu berpaling daripadanya.
006_00	Sungguh mereka telah mendustakan (Al Quran), maka kelak akan datang kepada mereka (kenyataan dari) berita-berita yang selalu mereka perolok-olokkan.
007_00	Dan apakah mereka tidak memperhatikan bumi, berapakah banyaknya Kami tumbuhkan di bumi itu pelbagai macam tumbuh-tumbuhan yang baik?
008_00	Sesungguhnya pada yang demikian itu benar-benar terdapat suatu tanda kekuasaan Allah. Dan kebanyakan mereka tidak beriman.
009_00	Dan sesungguhnya Tuhanmu benar-benar Dialah Yang Maha Perkasa lagi Maha Penyayang.
010_00	Dan (ingatlah) ketika Tuhanmu menyeru Musa (dengan firman-Nya): "Datangilah kaum yang zalim itu,
011_00	(yaitu) kaum Fir'aun. Mengapa mereka tidak bertakwa?"
012_00	Berkata Musa: "Ya Tuhanku, sesungguhnya aku takut bahwa mereka akan mendustakan aku.
013_00	Dan (karenanya) sempitlah dadaku dan tidak lancar lidahku maka utuslah (Jibril) kepada Harun.
014_00	Dan aku berdosa terhadap mereka, maka aku takut mereka akan membunuhku".
015_00	Allah berfirman: "Jangan takut (mereka tidak akan dapat membunuhmu), maka pergilah kamu berdua dengan membawa ayat-ayat Kami (mukjizat-mukjizat); sesungguhnya Kami bersamamu mendengarkan (apa-apa yang mereka katakan),
016_00	Maka datanglah kamu berdua kepada Fir'aun dan katakanlah olehmu: "Sesungguhnya Kami adalah Rasul Tuhan semesta alam,
017_00	lepaskanlah Bani Israil (pergi) beserta kami".
018_00	Fir'aun menjawab: "Bukankah kami telah mengasuhmu di antara (keluarga) kami, waktu kamu masih kanak-kanak dan kamu tinggal bersama kami beberapa tahun dari umurmu.
019_00	dan kamu telah berbuat suatu perbuatan yang telah kamu lakukan itu dan kamu termasuk golongan orang-orang yang tidak membalas guna.
020_00	Berkata Musa: "Aku telah melakukannya, sedang aku di waktu itu termasuk orang-orang yang khilaf.
021_00	Lalu aku lari meninggalkan kamu ketika aku takut kepadamu, kemudian Tuhanku memberikan kepadaku ilmu serta Dia menjadikanku salah seorang di antara rasul-rasul.
022_00	Budi yang kamu limpahkan kepadaku itu adalah (disebabkan) kamu telah memperbudak Bani Israil".
023_00	Fir'aun bertanya: "Siapa Tuhan semesta alam itu?"
024_00	Musa menjawab: "Tuhan Pencipta langit dan bumi dan apa-apa yang di antara keduanya (Itulah Tuhanmu), jika kamu sekalian (orang-orang) mempercayai-Nya".
025_00	Berkata Fir'aun kepada orang-orang sekelilingnya: "Apakah kamu tidak mendengarkan?"
026_00	Musa berkata (pula): "Tuhan kamu dan Tuhan nenek-nenek moyang kamu yang dahulu".
027_00	Fir'aun berkata: "Sesungguhnya Rasulmu yang diutus kepada kamu sekalian benar-benar orang gila".
028_00	Musa berkata: "Tuhan yang menguasai timur dan barat dan apa yang ada di antara keduanya: (Itulah Tuhanmu) jika kamu mempergunakan akal".
029_00	Fir'aun berkata: "Sungguh jika kamu menyembah Tuhan selain aku, benar-benar aku akan menjadikan kamu salah seorang yang dipenjarakan".
