001_00	কসম ঝঞ্ঝাবায়ুর।
002_00	অতঃপর বোঝা বহনকারী মেঘের।
003_00	অতঃপর মৃদু চলমান জলযানের,
004_00	অতঃপর কর্ম বন্টনকারী ফেরেশতাগণের,
005_00	তোমাদের প্রদত্ত ওয়াদা অবশ্যই সত্য।
006_00	ইনসাফ অবশ্যম্ভাবী।
007_00	পথবিশিষ্ট আকাশের কসম,
008_00	তোমরা তো বিরোধপূর্ণ কথা বলছ।
009_00	যে ভ্রষ্ট, সেই এ থেকে মুখ ফিরায়,
010_00	অনুমানকারীরা ধ্বংস হোক,
011_00	যারা উদাসীন, ভ্রান্ত।
012_00	তারা জিজ্ঞাসা করে, কেয়ামত কবে হবে?
013_00	যেদিন তারা অগ্নিতে পতিত হবে,
014_00	তোমরা তোমাদের শাস্তি আস্বাদন কর। তোমরা একেই ত্বরান্বিত করতে চেয়েছিল।
015_00	খোদাভীরুরা জান্নাতে ও প্রস্রবণে থাকবে।
016_00	এমতাবস্থায় যে, তারা গ্রহণ করবে যা তাদের পালনকর্তা তাদেরকে দেবেন। নিশ্চয় ইতিপূর্বে তারা ছিল সৎকর্মপরায়ণ,
017_00	তারা রাত্রির সামান্য অংশেই নিদ্রা যেত,
018_00	রাতের শেষ প্রহরে তারা ক্ষমাপ্রার্থনা করত,
019_00	এবং তাদের ধন-সম্পদে প্রার্থী ও বঞ্চিতের হক ছিল।
020_00	বিশ্বাসকারীদের জন্যে পৃথিবীতে নিদর্শনাবলী রয়েছে,
021_00	এবং তোমাদের নিজেদের মধ্যেও, তোমরা কি অনুধাবন করবে না?
022_00	আকাশে রয়েছে তোমাদের রিযিক ও প্রতিশ্রুত সবকিছু।
023_00	নভোমন্ডল ও ভূমন্ডলের পালনকর্তার কসম, তোমাদের কথাবার্তার মতই এটা সত্য।
024_00	আপনার কাছে ইব্রাহীমের সম্মানিত মেহমানদের বৃত্তান্ত এসেছে কি?
025_00	যখন তারা তাঁর কাছে উপস্থিত হয়ে বললঃ সালাম, তখন সে বললঃ সালাম। এরা তো অপরিচিত লোক।
026_00	অতঃপর সে গ্রহে গেল এবং একটি ঘৃতেপক্ক মোটা গোবৎস নিয়ে হাযির হল।
027_00	সে গোবৎসটি তাদের সামনে রেখে বললঃ তোমরা আহার করছ না কেন?
028_00	অতঃপর তাদের সম্পর্কে সে মনে মনে ভীত হলঃ তারা বললঃ ভীত হবেন না। তারা তাঁকে একট জ্ঞানীগুণী পুত্র সন্তানের সুসংবাদ দিল।
