001_00	Waarlijk, de gelovigen slagen.
002_00	Degenen die nederig zijn in hun shalât.
003_00	En degenen die nutteloos gepraat vemijden.
004_00	En degenen die hun plicht tot zakât nakomen.
005_00	En degenen die hun kuisheid bewaken.
006_00	Behalve tegenover hun echtgenotes en hun slavinnen, dan worden zij niet verweten.
007_00	Maar wie meer dan dat wensen: zij zijn degenen die de overtreders zijn.
008_00	En degenen die goed zorgen voor wat hen is toevertrouwd en voor hun beloften.
009_00	En degenen die hun shalât onderhouden.
010_00	Zij zijn degenen die de erfgenamen zijn
011_00	Degenen die Firdaus (het Paradijs) zullen erven, zij zijn daarin eeuwig levenden.
012_00	En voorzeker, Wij hebben de mens uit een uittreksel van klei geschapen.
013_00	Vervolgens maakten Wij hem tot een druppel in een stevige bewaarplaats.
014_00	Vervolgens schiepen Wij de druppel tot een bloedklonter, toen vormden Wij de bloedklonter tot een vleesklomp, waarna Wij de vleesklomp voorzagen van beenderen, die Wij vervolgens met vlees bekleedden.
014_01	Later scheppen Wij een andere schepping. Gezegend is daarom Allah, de Beste der Scheppers.
015_00	Vervolgens zullen jullie zeker daarna sterven.
016_00	Daarna zullen jullie op de Dag der Opstanding worden opgewekt.
017_00	En voorzeker, Wij schiepen boven jullie zeven hemelen en Wij veronachtzamen de schepping niet
018_00	En Wij stuurden een afgepaste hoeveelheid water neer waarna Wij het blijvend in de grond vasthouden. En voorwaar, Wij zijn in staat het weer weg te nemen.
019_00	Toen legden Wij daarmee voor jullie tuinen met palmen en druivenstruiken aan, met daaraan veel vruchten. En jullie eten daarvan.
020_00	En (van) een boom die groeit op de berg Sinaî. die olie en een gerecht voor hen die eten levert.
021_00	En voorwaar, in het vee is een lering voor jullie. Wij geven jullie te drinken uit hun buiken en voor jullie zijn daarin vele nuttige zaken en jullie eten daarvan.
022_00	Op hen en op de schepen worden jullie vervoerd.
