001_00	Neyi soruşturuyorlar?
002_00	Üzerinde anlaşmazlığa düştükleri, büyük bir olay olan tekrar dirilme haberini mi?
003_00	Üzerinde anlaşmazlığa düştükleri, büyük bir olay olan tekrar dirilme haberini mi?
004_00	Hayır; şüphesiz görüp bileceklerdir.
005_00	Yine hayır; elbette görüp bileceklerdir.
006_00	Biz yeryüzünü bir beşik, dağları da onun için birer direk kılmadık mı?
007_00	Biz yeryüzünü bir beşik, dağları da onun için birer direk kılmadık mı?
008_00	Sizi çift çift yarattık;
009_00	Uykunuzu dinlenme vakti kıldık;
010_00	Geceyi bir örtü yaptık;
011_00	Gündüzü geçimi sağlama vakti kıldık;
012_00	Üstünüze yedi kat sağlam gök bina ettik;
013_00	Parlak ışık veren güneşi varettik;
014_00	Taneler, bitkiler, ağaçları sarmaş dolaş bahçeler yetiştirmek için, yoğunlaşmış bulutlardan bol yağmur yağdırdık.
015_00	Taneler, bitkiler, ağaçları sarmaş dolaş bahçeler yetiştirmek için, yoğunlaşmış bulutlardan bol yağmur yağdırdık.
016_00	Taneler, bitkiler, ağaçları sarmaş dolaş bahçeler yetiştirmek için, yoğunlaşmış bulutlardan bol yağmur yağdırdık.
017_00	Doğrusu, hüküm gününün vakti elbette tesbit edilmiştir.
018_00	Sura üfürüldüğü gün hepiniz bölük bölük gelirsiniz.
019_00	Gökler kapı kapı açılacaktır.
020_00	Dağlar yürütülüp serap olacaktır.
021_00	Cehennem, yalnız azgınları bekleyen yerdir. Dönecekleri yer orasıdır.
022_00	Cehennem, yalnız azgınları bekleyen yerdir. Dönecekleri yer orasıdır.
023_00	Orada çağlar boyunca (nice devirler) kalacaklardır.
024_00	Orada ne serinlik ne de içilecek bir şey tatmazlar; sadece kaynar su ve irin....
025_00	Orada ne serinlik ne de içilecek bir şey tatmazlar; sadece kaynar su ve irin....
026_00	Orada ne serinlik ne de içilecek bir şey tatmazlar; sadece kaynar su ve irin....
027_00	Çünkü onlar, hesaba çekileceklerini sanmazlardı.
028_00	Ayetlerimizi hep yalan sayıp dururlardı.
029_00	Biz de herşeyi yazıp saymışızdır.
030_00	Şöyle deriz: "Artık tadınız, bundan böyle size azabdan başka bir şey artırmayız."
031_00	Doğrusu, Allah'a karşı gelmekten sakınanlara kurtuluş, bahçeler, bağlar, yaşıtlar ve dolu kadehler vardır.
032_00	Doğrusu, Allah'a karşı gelmekten sakınanlara kurtuluş, bahçeler, bağlar, yaşıtlar ve dolu kadehler vardır.
033_00	Doğrusu, Allah'a karşı gelmekten sakınanlara kurtuluş, bahçeler, bağlar, yaşıtlar ve dolu kadehler vardır.
034_00	Doğrusu, Allah'a karşı gelmekten sakınanlara kurtuluş, bahçeler, bağlar, yaşıtlar ve dolu kadehler vardır.
035_00	Orada boş ve yalan söz işitmezler.
036_00	Bunlar Rabbinin katından, hesabları karşılığı verilenlerdir.
037_00	O, göklerin, yerin ve ikisi arasında olanların Rabbidir. O, önünde kimsenin konuşmayacağı Rahman olan Allah'tır.
038_00	Cebrail ve meleklerin dizi dizi durdukları gün, Rahman olan Allah'ın izni olmadan kimse konuşamayacaktır. Konuştuğu zaman da doğruyu söyleyecektir.
039_00	İşte gerçek gün budur. Dileyen kimse, Rabbine götürecek bir yol benimser.
040_00	Sizi, yakın gelecekteki bir azabla uyardık; o gün kişi elleriyle sunduğuna bakar ve inkarcı da: "Keşke toprak olaydım" der.
