001_00	Der Allerbarmer
002_00	hat den Qur'an gelehrt.
003_00	Er hat den Menschen erschaffen.
004_00	Er hat ihn die klare Darlegung gelehrt.
005_00	Die Sonne und der Mond (laufen) nach Berechnung.
006_00	Die stiellosen Pflanzen und die Bäume werfen sich nieder.
007_00	Den Himmel hat Er emporgehoben und die Waage aufgestellt,
008_00	damit ihr beim Wägen nicht das Maß überschreitet.
009_00	Und meßt das Gewicht in Gerechtigkeit und gebt beim Wägen nicht weniger.
010_00	Und die Erde hat Er für die Geschöpfe (an)gelegt;
011_00	auf ihr gibt es Früchte, Palmen mit Fruchthüllen
012_00	und Korn mit Halmen und duftende Pflanzen.
013_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
014_00	Er hat den Menschen aus trockenem Ton wie Töpferware erschaffen.
015_00	Und Er hat die Ginn aus einer unruhigen Feuerflamme erschaffen.
016_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
017_00	(Er ist) der Herr der beiden Osten und der Herr der beiden Westen.
018_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
019_00	Er hat den beiden Meeren freien Lauf gelassen; sie treffen aufeinander,
020_00	zwischen ihnen ist (aber) ein trennendes Hindernis, (das)s sie (ihre Grenzen) nicht überschreiten.
021_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
022_00	Aus ihnen beiden kommen Perlen und Korallen hervor.
023_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
024_00	Und Sein sind (auch) die (hoch)gebauten auf dem Meer fahrenden (Schiffe), wie Berge.
025_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
026_00	Alle, die auf ihr sind, werden vergehen;
027_00	bleiben wird (nur) das Angesicht deines Herrn, Besitzer der Erhabenheit und Ehre.
028_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
029_00	Ihn bittet wer in den Himmeln und auf der Erde ist. Jeden Tag befaßt Er sich mit einer Angelegenheit.
030_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
031_00	Wir werden Uns euch widmen, ihr beiden Schwerlastenden.
032_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
033_00	O ihr Gesellschaft der Ginn und der Menschen, wenn ihr aus den Bezirken der Himmel und der Erde hinausdringen könnt, so dringt doch heraus. Ihr werdet nicht herausdringen, außer mit einer Ermächtigung.
034_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
035_00	Gegen euch beide wird eine rauchlose Feuerflamme und Kupfer gesandt werden, so werdet ihr euch selbst nicht helfen (können).
036_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
037_00	Wenn der Himmel sich spalten und dann rosig werden wird wie Farböl
038_00	- welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? -,
039_00	an jenem Tag nun werden nach ihrer Sünde weder Mensch noch Gänn gefragt.
040_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
041_00	Die Übeltäter werden an ihrem Merkmal erkannt werden und dann an den Stirnlocken und an den Füßen ergriffen.
042_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
043_00	Das ist die Hölle, die die Übeltäter für Lüge erklären.
044_00	Sie werden zwischen ihr und siedend heißem Wasser umhergehen.
045_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
046_00	Für jemanden aber, der den Stand seines Herrn fürchtet, wird es zwei Gärten geben
