001_00	(روز) واقع شدنی (رستاخیز)
002_00	آن واقع شدنی چیست؟
003_00	و تو چه دانی آن واقع شدنی چیست (وچگونه است)؟!
004_00	(قوم) ثمود و(قوم) عاد (قیامت) درهم کوبنده را تکذیب کردند.
005_00	پس اما (قوم) ثمود, به بانگ سهمگین هلاک شدند.
006_00	واما (قوم) عاد با تند بادی سرکش وسرد به هلاکت رسیدند.
007_00	(خداوند) هفت شب وهشت روز پی در پی بر آنها مسلط نمود, آنگاه (آن) قوم را آن (تندباد) مانند تنه های پوسیدۀ تو خالی درختان خرما, بر زمین افتاده (وهلاک شده) می دیدی.
008_00	پس آیا از آنها کسی را می بینی که باقی مانده باشد؟!
009_00	و فرعون وکسانی که پیش از او بودند, و(مردم) شهرهای ویران شده (قوم لوط) مرتکب گناهان (بزرگ) شدند.
010_00	پس آنها از (فرمان) فرستادۀ پروردگارشان سر پیچی کردند, آنگاه (خداوند) آنها را به عذاب سختی گرفتارشان کرد.
011_00	همانا هنگامی که آب طغیان کرد, شما را در کشتی سوار کردیم.
012_00	تا که پندی برای شما قرار دهیم, وگوشهای شنوا آن را بشنوند و به یاد بسپارند.
013_00	پس هنگامی که یک بار در "صور" دمیده شود.
014_00	وزمین وکوهها از جاکنده شوند, پس یکباره درهم کوبیده (ومتلاشی) شوند.
015_00	پس در آن روز واقعۀ (عظیم) قیامت به وقوع می پیوندد.
016_00	وآسمان شکافته می شود, پس در آن روز سست می گردد (وفرو می ریزد).
017_00	وفرشتگان بر کناره های آن (= آسمان) قرار می گیرند, وآن روز هشت (فرشنه) عرش پروردگارت را بر فرازشان حمل می کنند.
018_00	در آن روز شما (همگی برای کسابرسی, به پشیگاه خداوند) عرضه می شوید, وهیچ چیز از (کارهای) شما پنهان نخواهد ماند.
019_00	پس اما کسی که نامۀ (اعمالش) را به دست راستش دهند, گوید:«بیایید نامۀ (اعمال) مرا بخوانید!
020_00	من یقین داشتم که به حساب (اعمال) خودم خواهم رسید».
021_00	پس او در یک زندگی پسندیده (و رضایت بخشی) خواهد بود.
022_00	در بهشتی برین.
023_00	که میوه هایش (برای چیده شدن) در دسترس است.
024_00	(وبه آنها گفته می شود(: «بخورید و بیاشامید, گوارایتان باد, به (خاطر) آنچه در ایام گذشته پیش فرستاده اید».
025_00	و اما کسی که نامۀ (اعمالش) را بهه دست چیش دهند, گوید: «ای کاش هرگز نامۀ (اعمال) مرا به من داده نمی شد,
026_00	ونمی دانستم حسابم چیست.
027_00	ای کاش (با مرگ) همه چیز تمام می شد (وپایان کاربود).
028_00	مال و دارایی ام مرا بی نیاز نکرد (و سودی نبخشید).
029_00	قدرت و فرمانروایی ام (نیز) از (دست) من رفت (وبکلی نا بودشد)».
030_00	(به فرشتگان گفته می شود:) «اورا بگیرید, پس طوق (به گردن) او اندازید.
031_00	سپس اورا به (آتش) دوزخ بیفکنید.
032_00	آنگاه اورا در زنجیری که طول آن هفتاد ذراع است, ببندید,
033_00	بی گمان او هرگز به خداوند بزرگ ایمان نمی آورد,
034_00	و هرگز (مردم را) بر اطعام بینوا (یان) تشویق نمی کرد.
035_00	پس امروز در این جا دوست صمیمی (ومهربانی) ندارد (که کمکش کند).
036_00	و عذابی جز از چرک وخون ندارد.
037_00	(غذابی که) گناهکاران آن را نخورند».
038_00	پس سوگند به آنچه می بینید,
039_00	وبه آنچه نمی بینید.
040_00	بی تردید این (قرآن) گفتار رسول بزرگوار است.
041_00	و اینها گفتار یک شاعر نیست, (اما شما) اندکی ایمان می آورید.
042_00	و (نیز) گفتار یک کاهن نیست, (لیکن شما ) کمتر پند می گیرید.
043_00	(این قرآن) از سوی پروردگار جهانیان نازل شده است.
044_00	و اگر (پیامبر) سخنانی (به دروغ) بر ما می بست.
045_00	مسلّماً ما دست راست اورا می گرفتیم.
046_00	سپس (شاه) رگ قلبش را قطع می کردیم.
047_00	پس هیچ کس از شما نمی توانست از (عذاب) او مانع شود.
048_00	ویقیناً این (قرآن) پند وت÷کری برای پر هیزگاران است.
049_00	وما محققاً می دانیم که برخی از شما تکذیب کنندگان (این کلام الهی) هستید.
050_00	و همانا این (قرآن) بر کافران مایۀ حسرت وندامت است.
051_00	وبی گمان این (قرآن) حق الیقین است.
052_00	پس (ای پیامبر) به نام پروردگار بزرگت تسبیح گوی.
