001_00	அளவற்ற அருளாளன்,
002_00	இக் குர்ஆனை (அவன்தான்) கற்றுக் கொடுத்தான்.
003_00	அவனே மனிதனைப் படைத்தான்.
004_00	அவனே மனிதனுக்கு (பேச்சு) விளக்கத்தையும் கற்றுக் கொடுத்தான்.
005_00	சூரியனும் சந்திரனும் (அவற்றிற்கு நிர்ணயிக்கப் பெற்ற) கணக்கின்படியே இருக்கின்றன.
006_00	(கிளைகளில்லாச்) செடி கொடிகளும், (கொப்புங் கிளையுமாக வளரும்) மரங்களும் - (யாவும்) அவனுக்கு ஸுஜூது செய்கின்றன.
007_00	மேலும், வானம் - அவனே அதை உயர்த்தித் தராசையும் ஏற்படுத்தினான்.
008_00	நீங்கள் நிறுப்பதில் வரம்பு மீறாது இருப்பதற்காக.
009_00	ஆகவே, நீங்கள் நிறுப்பதை சரியாக நிலைநிறுத்துங்கள்; எடையைக் குறைக்காதீர்கள்.
010_00	இன்னும், பூமியை - படைப்பினங்களுக்காக அவனே விரித்தமைத்தான்.
011_00	அதில் கனிவகைகளும் பாளைகளையுடைய பேரீத்த மரங்களும்-
012_00	தொலிகள் பொதிந்த தானிய வகைகளும், வாசனையுள்ள (மலர் புற்பூண்டு ஆகிய)வையும் இருக்கின்றன.
013_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
014_00	சுட்ட மண் பாண்டங்களைப் போல் (தட்டினால்) சப்தமுண்டாகும் களிமண்ணிலிருந்து, அவன் (ஆதி) மனிதனைப் படைத்தான்.
015_00	நெருப்புக் கொழுந்திலிருந்து அவன் ஜின்களைப் படைத்தான்.
016_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
017_00	இரு கீழ்திசைகளுக்கும் இறைவன் அவனே, இரு மேல்திசைகளுக்கும் இறைவன் அவனே.
018_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
019_00	அவனே, இரண்டு கடல்களையும் ஒன்றோடொன்று சந்திக்கச் செய்தான்.
020_00	(ஆயினும்) அவற்றிடையே ஒரு தடுப்பும் இருக்கிறது, அதை அவை மீறமாட்டா.
021_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
022_00	அவ்விரண்டிலிருந்தும் முத்தும் பவளமும் வெளியாகின்றன.
023_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
024_00	அன்றியும், மலைகளைப் போல் உயரமாகச் செல்லும் கப்பல்கள் அவனுக்கே உரியன.
025_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
026_00	(பூமியில்) உள்ளயாவரும் அழிந்து போகக்கூடியவரே -
027_00	மிக்க வல்லமையும், கண்ணியமும் உடைய உம் இறைவனின் முகமே நிலைத்திருக்கும்.
028_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
029_00	வானங்களிலும், பூமியிலுமுள்ளோர் அனைவரும், (தங்களுக்கு வேண்டியவற்றை) அவனிடமே கேட்கின்றனர், ஒவ்வொரு நாளிலும் அவன் காரியத்திலேயே இருக்கின்றான்.
030_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
031_00	இரு சாரார்களே! சீக்கிரமே நாம் உங்களுக்காக (கேள்வி கணக்குக் கேட்பதற்கு) அவகாசம் எடுப்போம்.
032_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
