001_00	പരമകാരുണികന്‍
002_00	ഈ ഖുര്‍ആന്‍ പഠിപ്പിച്ചു.
003_00	അവന്‍ മനുഷ്യനെ സൃഷ്ടിച്ചു.
004_00	അവനെ അവന്‍ സംസാരിക്കാന്‍ പഠിപ്പിച്ചു.
005_00	സൂര്യനും ചന്ദ്രനും ഒരു കണക്കനുസരിച്ചാകുന്നു (സഞ്ചരിക്കുന്നത്‌.)
006_00	ചെടികളും വൃക്ഷങ്ങളും (അല്ലാഹുവിന്‌) പ്രണാമം അര്‍പ്പിച്ചു കൊണ്ടിരിക്കുന്നു.
007_00	ആകാശത്തെ അവന്‍ ഉയര്‍ത്തുകയും, (എല്ലാകാര്യവും തൂക്കികണക്കാക്കുവാനുള്ള) തുലാസ് അവന്‍ സ്ഥാപിക്കുകയും ചെയ്തിരിക്കുന്നു.
008_00	നിങ്ങള്‍ തുലാസില്‍ ക്രമക്കേട് വരുത്താതിരിക്കുവാന്‍ വേണ്ടിയാണത്‌.
009_00	നിങ്ങള്‍ നീതി പൂര്‍വ്വം തൂക്കം ശരിയാക്കുവിന്‍. തുലാസില്‍ നിങ്ങള്‍ കമ്മി വരുത്തരുത്‌.
010_00	ഭൂമിയെ അവന്‍ മനുഷ്യര്‍ക്കായി വെച്ചിരിക്കുന്നു.
011_00	അതില്‍ പഴങ്ങളും കൂമ്പോളകളുള്ള ഈന്തപ്പനകളുമുണ്ട്‌.
012_00	വൈക്കോലുള്ള ധാന്യങ്ങളും സുഗന്ധച്ചെടികളുമുണ്ട്‌.
013_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവ് ചെയ്ത അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
014_00	കലം പോലെ മുട്ടിയാല്‍ മുഴക്കമുണ്ടാകുന്ന (ഉണങ്ങിയ) കളിമണ്ണില്‍ നിന്ന് മനുഷ്യനെ അവന്‍ സൃഷ്ടിച്ചു.
015_00	തിയ്യിന്‍റെ പുകയില്ലാത്ത ജ്വാലയില്‍ നിന്ന് ജിന്നിനെയും അവന്‍ സൃഷ്ടിച്ചു.
016_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരുവിഭാഗത്തിന്‍റെയും രക്ഷിതാവ് ചെയ്ത അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
017_00	രണ്ട് ഉദയസ്ഥാനങ്ങളുടെ രക്ഷിതാവും രണ്ട് അസ്തമന സ്ഥാനങ്ങളുടെ രക്ഷിതാവുമാകുന്നു അവന്‍.
018_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവ് ചെയ്ത അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
019_00	രണ്ട് കടലുകളെ (ജലാശയങ്ങളെ) തമ്മില്‍ കൂടിച്ചേരത്തക്ക വിധം അവന്‍ അയച്ചുവിട്ടിരിക്കുന്നു.
020_00	അവ രണ്ടിനുമിടക്ക് അവ അന്യോന്യം അതിക്രമിച്ച് കടക്കാതിരിക്കത്തക്കവിധം ഒരു തടസ്സമുണ്ട്‌.
021_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
022_00	അവ രണ്ടില്‍ നിന്നും മുത്തും പവിഴവും പുറത്തു വരുന്നു.
023_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
024_00	സമുദ്രത്തില്‍ (സഞ്ചരിക്കുവാന്‍) മലകള്‍ പോലെ പൊക്കി ഉണ്ടാക്കപ്പെടുന്ന കപ്പലുകളും അവന്‍റെ നിയന്ത്രണത്തിലാകുന്നു.
025_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
026_00	അവിടെ (ഭൂമുഖത്ത്‌)യുള്ള എല്ലാവരും നശിച്ച് പോകുന്നവരാകുന്നു.
027_00	മഹത്വവും ഉദാരതയും ഉള്ളവനായ നിന്‍റെ രക്ഷിതാവിന്‍റെ മുഖം അവശേഷിക്കുന്നതാണ്‌.
028_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
029_00	ആകാശങ്ങളിലും ഭൂമിയിലും ഉള്ളവര്‍ അവനോട് ചോദിച്ചു കൊണ്ടിരിക്കുന്നു. എല്ലാ ദിവസവും അവന്‍ കാര്യനിര്‍വഹണത്തിലാകുന്നു.
030_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
031_00	ഹേ; ഭാരിച്ച രണ്ട് സമൂഹങ്ങളേ, നിങ്ങളുടെ കാര്യത്തിനായി നാം ഒഴിഞ്ഞിരിക്കുന്നതാണ്‌.
032_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
033_00	ജിന്നുകളുടെയും മനുഷ്യരുടെയും സമൂഹമേ, ആകാശങ്ങളുടെയും ഭൂമിയുടെയും മേഖലകളില്‍ നിന്ന് പുറത്ത് കടന്നു പോകാന്‍ നിങ്ങള്‍ക്ക് സാധിക്കുന്ന പക്ഷം നിങ്ങള്‍ കടന്നു പോയിക്കൊള്ളുക. ഒരു അധികാരം ലഭിച്ചിട്ടല്ലാതെ നിങ്ങള്‍ കടന്നു പോകുകയില്ല.
034_00	അപ്പോള്‍ നിങ്ങള്‍ ഇരു വിഭാഗത്തിന്‍റെയും രക്ഷിതാവിന്‍റെ അനുഗ്രഹങ്ങളില്‍ ഏതിനെയാണ് നിങ്ങള്‍ നിഷേധിക്കുന്നത്‌?
