001_00	Telah hampir saat (kedatangan hari kiamat) dan terbelahlah bulan.
002_00	Dan kalau mereka (kaum musyrik Mekah) melihat sesuatu mukjizat, mereka berpaling ingkar sambil berkata: (Ini ialah) sihir yang terus menerus berlaku.
003_00	Dan (telah menjadi adat) mereka mendustakan (Nabi Muhammad dan mukjizat-mukjizat yang dibawanya) serta menurut hawa nafsu mereka, sedang tiap-tiap perkara tetap (menurut keadaan yang ditentukan oleh Allah).
004_00	Dan sesungguhnya! Telah sampai kepada mereka (dengan perantaraan Al-Quran), sebahagian dari kisah-kisah dan berita (umat-umat yang telah lalu), yang mengandungi perkara-perkara yang cukup untuk mencegah mereka (dari perbuatan kufur itu).
005_00	(Yang demikian ialah) pengajaran yang cukup sempurna; dalam pada itu, segala peringatan dan amaran tidak akan mendatangkan faedah (kepada mereka yang ingkar).
006_00	Oleh itu, berpalinglah dari mereka (wahai Muhammad dan janganlah dihiraukan). (Ingatlah) masa (malaikat) penyeru menyeru (mereka pada hari kiamat) kepada perkara yang tidak diingini (oleh orang yang bersalah);
007_00	(Pada saat itu) masing-masing dengan keadaan menundukkan pandangannya kerana ketakutan keluar dari kubur seperti belalang yang terbang bertebaran.
008_00	Masing-masing dengan cepatnya menuju kepada penyeru itu. (Pada saat yang demikian), orang-orang yang kafir berkata: Hari ini ialah hari yang amat sukar!
009_00	Sebelum mereka, kaum Nabi Nuh juga telah mendustakan (Rasulnya); iaitu mereka mendustakan hamba Kami (Nabi Nuh) serta mereka menuduhnya dengan berkata: Dia seorang gila dan dia telah diancam (dan dihalang daripada menjalankan dakwah agama).
010_00	Lalu dia berdoa merayu kepada Tuhannya dengan berkata: Sesungguhnya aku ini dikalahkan (oleh kaumku yang ingkar), oleh itu menangkanlah daku (terhadap mereka)!
011_00	Maka Kami bukakan pintu-pintu langit, dengan menurunkan hujan yang mencurah-curah.
012_00	Dan Kami jadikan bumi memancarkan mata air-mata air (di sana sini), lalu bertemulah air (langit dan bumi) itu untuk (melakukan) satu perkara yang telah ditetapkan.
013_00	Dan Kami bawa naik Nabi Nuh (berserta pengikut-pengikutnya) di atas (bahtera yang dibina) dari keping-keping papan dan paku;
014_00	Yang belayar laju dengan pemeliharaan dan pengawasan Kami; (Kami melakukan yang demikian dan menimpakan taufan itu) sebagai balasan bagi orang-orang yang kufur ingkar!
015_00	Dan demi sesungguhnya! Kami telah jadikan bahtera itu sebagai satu tanda yang menjadi pengajaran, maka adakah orang yang mahu beringat dan insaf?
016_00	Oleh itu, perhatikanlah bagaimana buruknya azabKu dan kesan amaran-amaranKu.
017_00	Dan demi sesungguhnya! Kami telah mudahkan Al-Quran untuk menjadi peringatan dan pengajaran, maka adakah sesiapa yang mahu mengambil peringatan dan pelajaran (daripadanya)?
018_00	(Demikian juga) kaum Aad telah mendustakan Rasulnya (lalu mereka dibinasakan); maka perhatikanlah, bagaimana buruknya azabku dan kesan amaran-amaranKu!
019_00	Sesungguhnya Kami telah menghantarkan kepada mereka angin ribut yang kencang, pada hari nahas yang berlanjutan; -
020_00	Yang menumbangkan manusia gugur bergelimpangan, seolah-olah mereka batang-batang pohon kurma yang terbongkar.
021_00	Maka perhatikanlah, bagaimana buruknya azabKu dan kesan amaran-amaranKu!
022_00	Dan demi sesungguhnya! Kami telah mudahkan Al-Quran untuk peringatan dan pengajaran, maka adakah sesiapa yang mahu mengambil peringatan dan pelajaran (daripadanya)?
023_00	(Demikian juga) kaum Thamud telah mendustakan peringatan dan amaran (yang disampaikan oleh Rasul mereka, Nabi Soleh).
024_00	Lalu mereka berkata: Patutkah kita menurut manusia dari jenis kita, lagi yang berseorangan? Jika demikian, sesungguhnya kita berada dalam keadaan sesat dan gila!
025_00	Tidaklah patut wahyu peringatan itu diturunkan kepadanya (padahal orang-orang yang lebih layak ada) di antara kita. Bahkan dialah seorang pendusta, lagi sombong angkuh.
026_00	Mereka akan mengetahui kelak siapakah orangnya yang pendusta, lagi sombong angkuh itu.
027_00	Sesungguhnya Kami menghantarkan unta betina (yang menjadi mukjizat) sebagai satu ujian bagi mereka. Lalu (Kami perintahkan Rasul Kami): Tunggulah (apakah yang mereka akan lakukan) serta bersabarlah (terhadap tentangan mereka).
028_00	Dan khabarkanlah kepada mereka, bahawa sesungguhnya air (telaga mereka) terbahagi di antara mereka dengan unta itu, tiap-tiap bahagian air itu dihadiri oleh yang berhak mengambilnya (pada hari gilirannya).
029_00	(Mereka selepas itu merasa bosan dengan keadaan unta itu dan berkira hendak membunuhnya), lalu mereka memanggil kawan mereka (yang sanggup membunuhnya), dia pun bertindak sampai dapat membunuhnya.
030_00	Maka perhatikanlah, bagaimana buruknya azabKu dan kesan amaran-amaranKu!
031_00	Sesungguhnya Kami hantarkan kepada mereka satu pekikan (yang dahsyat), lalu menjadilah mereka (hancur) seperti ranting-ranting dan daun-daun yang pecah hancur, yang dikumpulkan oleh pemilik kandang binatang ternak.
032_00	Dan demi sesungguhnya! Kami telah mudahkan Al-Quran untuk peringatan dan pengajaran, maka adakah sesiapa yang mahu mengambil peringatan dan pelajaran (daripadanya)?
033_00	(Demikian juga) kaum Nabi Lut telah mendustakan peringatan dan amaran (yang disampaikan oleh Rasulnya).
034_00	Sesungguhnya Kami telah menghantarkan kepada mereka angin ribut yang menghujani mereka dengan batu, kecuali keluarga Nabi Lut, Kami selamatkan mereka (dengan menyuruh mereka keluar dari situ) pada waktu jauh malam,
035_00	Sebagai limpah kurnia dari Kami. Demikianlah kami membalas orang-orang yang bersyukur.
036_00	Dan demi sesungguhnya! Nabi Lut telah memberi amaran kepada mereka mengenai azab seksa Kami; dalam pada itu, mereka tetap mendustakan amaran-amaran itu.
037_00	Dan demi sesungguhnya! Mereka telah memujuk Nabi Lut mengenai tetamunya, lalu Kami hapuskan biji mata mereka, serta (dikatakan kepada mereka): Rasalah azabKu dan kesan amaran-amaranKu!
038_00	Dan demi sesungguhnya! Mereka telah ditimpa azab yang kekal pada pagi-pagi hari (esoknya).
039_00	Lalu (dikatakan kepada mereka): Rasalah azabKu dan kesan amaran-amaranKu!
040_00	Dan demi sesungguhnya! Kami telah mudahkan Al-Quran untuk peringatan dan pengajaran, maka adakah sesiapa yang mahu mengambil peringatan dan pelajaran (daripadanya)?
041_00	Dan demi sesungguhnya! Firaun dan kaumnya telah didatangi (Rasul-rasul) pemberi amaran.
042_00	Mereka telah mendustakan mukjizat-mukjizat Kami semuanya, lalu Kami timpakan azab seksa kepada mereka sebagai seksaan dari Yang Maha Perkasa, lagi Maha Kuasa.
043_00	Adakah orang-orang kafir kamu (wahai kaum musyrik Mekah), lebih baik (kekuatan, kekayaan dan kehandalannya) daripada kaum-kaum kafir yang tersebut itu? Atau adakah kamu mempunyai sebarang bukti dalam Kitab-kitab Suci tentang kebebasan kamu (dari azab)?
044_00	(Mereka tidak mempunyai sebarang bukti) bahkan mereka akan berkata (dengan angkuhnya): Kami satu kaum yang bersatu, yang sudah tentu dapat membela diri!
045_00	Kumpulan mereka yang bersatu itu tetap akan dikalahkan dan mereka pula akan berpaling lari.
046_00	(Bukan kekalahan itu sahaja) bahkan hari kiamat ialah hari yang dijanjikan kepada mereka (untuk menerima balasan yang sepenuh-penuhnya) dan (azab seksa) hari kiamat itu amat dahsyat dan amat pahit.
047_00	Sesungguhnya orang-orang yang berdosa berada dalam keadaan sesat (di dunia), dan (di akhirat pula mereka berada dalam) api Neraka.
