001_00	Wanakuuliza juu ya Ngawira.
001_01	Sema: Ngawira ni ya Mwenyezi Mungu na Mtume. Basi mcheni Mwenyezi Mungu na suluhisheni mambo baina yenu, na mt'iini Mwenyezi Mungu na Mtume wake ikiwa nyinyi ni Waumini.
002_00	Hakika Waumini ni wale ambao anapo tajwa Mwenyezi Mungu nyoyo zao hujaa khofu, na wanapo somewa Aya zake huwazidisha Imani, na wakamtegemea Mola wao Mlezi.
003_00	Hao ambao wanashika Sala na wanatoa katika yale tunayo waruzuku.
004_00	Hao kweli ndio Waumini. Wao wana vyeo, na maghfira, na riziki bora, kwa Mola wao Mlezi.
005_00	Kama Mola wako Mlezi alivyo kutoa nyumbani kwako kwa Haki, na hakika kundi moja la Waumini linachukia.
006_00	Wanajadiliana nawe kwa jambo la Haki baada ya kwisha bainika, kama kwamba wanasukumwa kwenye mauti nao wanaona.
007_00	Na Mwenyezi Mungu alipo kuahidini kuwa moja katika makundi mawili ni lenu.
007_01	Nanyi mkapenda lisilo na nguvu ndio liwe lenu; na Mwenyezi Mungu anapenda ahakikishe Haki kwa maneno yake, na aikate mizizi ya makafiri.
008_00	Ili ahakikishe Haki na auvunje upotovu na wangachukia wakosefu.
009_00	Mlipo kuwa mkimuomba msaada Mola wenu Mlezi, naye akakujibuni kuwa: Kwa yakini Mimi nitakusaidieni kwa Malaika elfu wanao fuatana mfululizo.
010_00	Na Mwenyezi Mungu hakufanya haya ila kuwa ni bishara na ili nyoyo zenu zituwe. Na haupatikani ushindi ila kutoka kwa Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mwenye nguvu, na Mwenye hikima.
011_00	Alipo kufunikeni kwa usingizi uwe ni uaminisho kutoka kwake, na akakuteremshieni maji kutoka mbinguni ili kukusafisheni
011_01	kwayo na kukuondoleeni uchafu wa Shet'ani, na kuzipa nguvu nyoyo zenu, na kuitia imara miguu yenu.
012_00	Mola wako Mlezi alipo wafunulia Malaika: Hakika Mimi ni pamoja nanyi, basi watieni nguvu walio amini.
012_01	Nitatia woga katika nyoyo za walio kufuru. Basi wapigeni juu ya shingo na wapigeni kwenye kila ncha za vidole.
013_00	Hayo ni kwa sababu wamemuasi Mwenyezi Mungu na Mtume wake. Na mwenye kumuasi Mwenyezi Mungu na Mtume wake basi Mwenyezi Mungu ni Mkali wa kuadhibu.
014_00	Ndio hivyo! Basi ionjeni! Na bila ya shaka makafiri wana adhabu ya Moto.
015_00	Enyi Mlio amini! Mkikutana na walio kufuru vitani msiwageuzie mgongo.
016_00	Na atakaye wageuzia mgongo wake siku hiyo - isipo kuwa kwa mbinu za vita au kuungana na kikosi - basi atakuwa amestahiki ghadhabu ya Mwenyezi Mungu.
016_01	Na pahala pake ni Jahannamu, na huo ni mwisho muovu.
017_00	Hamkuwauwa nyinyi lakini Mwenyezi Mungu ndiye aliye wauwa.
017_01	Na wewe hukutupa, walakini Mwenyezi Mungu ndiye aliye tupa, ili awajaribu Waumini majaribio mema yatokayo kwake. Hakika Mwenyezi Mungu ndiye Msikizi na Mjuzi.
018_00	Ndio hivyo! Na hakika Mwenyezi Mungu ni Mwenye kudhoofisha vitimbi vya makafiri.
019_00	Kama mnataka hukumu basi hukumu imekwisha kujieni. Na mkiacha itakuwa ndio kheri kwenu.
019_01	Na mkirejea Sisi pia tutarejea. Na jeshi lenu halitakufaeni kitu, japo likiwa kubwa. Kwani hakika Mwenyezi yu pamoja na Waumini.
