سُورَةُ نُوحٍ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Nous avons envoyé Noé vers son peuple: «Avertis ton peuple, avant que leur vienne un châtiment douloureux».
002_00	Il [leur] dit: «O mon peuple, je suis vraiment pour vous, un avertisseur clair,
003_00	Adorez Allah, craignez-Le et obéissez-moi,
004_00	pour qu'Il vous pardonne vos péchés et qu'Il vous donne un délai jusqu'à un terme fixé. Mais quand vient le terme fixé par Allah, il ne saurait être différé si vous saviez!»
005_00	Il dit: «Seigneur! J'ai appelé mon peuple, nuit et jour.
006_00	Mais mon appel n'a fait qu'accroître leur fuite.
007_00	Et chaque fois que je les ai appelés pour que Tu leur pardonnes, ils ont mis leurs doigts dans leurs oreilles. se sont enveloppés de leurs vêtements, se sont entêtés et se sont montrés extrêmement orgueilleux.
008_00	Ensuite, je les ai appelés ouvertement.
009_00	Puis, je leur ai fait des proclamations publiques, et des confidences en secret.
010_00	J'ai donc dit: «Implorez le pardon de votre Seigneur, car Il est grand Pardonneur,
011_00	pour qu'Il vous envoie du ciel, des pluies abondantes,
012_00	et qu'Il vous accorde beaucoup de biens et d'enfants, et vous donne des jardins et vous donne des rivières.
013_00	Qu'avez-vous à ne pas vénérer Allah comme il se doit,
014_00	alors qu'Il vous a créés par phases successives?
015_00	N'avez-vous pas vu comment Allah a créé sept cieux superposés
016_00	et y a fait de la lune une lumière et du soleil une lampe?
017_00	Et c'est Allah qui, de la terre, vous a fait croître comme des plantes,
018_00	puis Il vous y fera retourner et vous en fera sortir véritablement.
019_00	Et c'est Allah qui vous a fait de la terre un tapis,
020_00	pour que vous vous acheminiez par ses voies spacieuses».
021_00	Noé dit: «Seigneur, ils m'ont désobéi et ils ont suivi celui dont les biens et les enfants n'ont fait qu'accroître la perte.
022_00	Ils ont ourdi un immense stratagème,
023_00	et ils ont dit: «N'abandonnez jamais vos divinités et n'abandonnez jamais Wadd, Suwâ, Yaghhû, Ya'ûq et Nasr'.
024_00	Elles [les idoles] ont déjà égaré plusieurs. Ne fais (Seigneur) croître les injustes qu'en égarement.
025_00	A cause de leurs fautes, ils ont été noyés, puis on les a fait entrer au Feu, et ils n'ont pas trouvé en dehors d'Allah, de secoureurs».
026_00	Et Noé dit: «Seigneur, ne laisse sur la terre aucun infidèle.
027_00	Si Tu les laisses [en vie], ils égareront Tes serviteurs et n'engendreront que des pécheurs infidèles.
028_00	Seigneur! Pardonne-moi, et à mes père et mère et à celui qui entre dans ma demeure croyant, ainsi qu'aux croyants et croyantes; et ne fais croître les injustes qu'en perdition».
