001_00	Ta, Sin, Mim.
002_00	Estos son los signos del Libro claro.
003_00	Te vamos a contar, con la verdad, parte de las noticias de Musa y de Firaún, para la gente que cree.
004_00	Realmente Firaún fue un tirano altivo en la tierra.
004_01	Dividió a sus habitantes en clases y subyugó a una parte de ellos, degolló a sus hijos y dejó vivir a las mujeres. Era un corruptor.
005_00	Y quisimos favorecer a los que habían sido subyugados en la tierra, hacerlos dirigentes y convertirlos en los herederos.
006_00	Les dimos sitio en la tierra y en ellos le hicimos ver a Firaún, a Haman* y a sus huestes lo que se temían.
007_00	E inspiramos a la madre de Musa: Amamántalo y cuando temas por él, déjalo en el río, y no
007_01	temas ni te entristezcas porque te lo devolveremos y haremos de él uno de los enviados.
008_00	Y lo recogió la familia de Firaún para que fuera para ellos un enemigo y un motivo de tristeza; verdaderamente Firaún, Haman y sus ejércitos estaban descarriados.
009_00	Y dijo la mujer de Firaún: Será un frescor para mis ojos y para los tuyos, no lo matéis, puede ser que nos beneficie o lo adoptemos como hijo. Pero ellos no se daban cuenta.
010_00	Y la madre de Musa se quedó vacía en lo más hondo y a punto estuvo de revelarlo de no haber sido porque reconfortamos su corazón para que fuera de los creyentes.
011_00	Le dijo a su hermana: sigue su rastro; y entonces lo vio desde un lugar apartado sin que se dieran cuenta.
012_00	Hasta entonces no habíamos permitido que ninguna nodriza pudiera amamantarlo, entonces dijo: ¿Queréis que os indique una familia que puede cuidarlo para vosotros criándolo bien?
013_00	Y así se lo devolvimos a su madre para consuelo de sus ojos y para que no se entristeciera y supiera que la promesa de Allah es verídica.Sin embargo la mayoría de ellos no saben.
014_00	Y cuando hubo alcanzado la madurez y tomó su forma, le dimos juicio y conocimiento. Así es como recompensamos a los que hacen el bien.
015_00	Y en un momento de descuido de sus habitantes entró en la ciudad y encontró en ella dos hombres luchando, uno era de lo s suyos y el otro un enemigo;
015_01	entonces el que era de los suyos le pidió ayuda contra el que era de sus enemigos y Musa lo golpeó con el puño acabando con él.
015_02	Dijo: Esto es un acto del Shaytán, realmente él es un claro enemigo que extravía.
016_00	Dijo: Señor mío, he sido injusto conmigo mismo, perdóname.Y lo perdonó, es cierto que Él es el Perdonador, el Compasivo.
017_00	Dijo: ¡Señor mío, puesto que me has concedido esta gracia no seré más auxiliador de los malhechores!
018_00	Y amaneció en la ciudad medroso y vigilante.Entonces el que el día anterior le había pedido ayuda le pidió socorro a voces.Musa le dijo: Eres un perdido sin ninguna duda.
019_00	Y cuando se disponía a agredir al que era enemigo de ambos, éste dijo: ¡Musa! ¿Acaso quieres matarme como hiciste con uno ayer?
019_01	¿Es que únicamente deseas ser un tirano en la tierra en vez de mejorar las cosas?
020_00	Y vino un hombre corriendo desde la parte más alejada de la ciudad, y dijo: ¡Musa! Los magnates están conspirando contra ti, véte pues, yo soy para ti un consejero.
021_00	Y salió de ella medroso y alerta, dijo: ¡Señor mío! Sálvame de la gente injusta.
022_00	Y mientras iba en la dirección de los Madyan, dijo: Puede que mi Señor me guíe al camino recto.
023_00	Y cuando llegó a la aguada de los Madyan encontró a un grupo de gente abrevando a sus rebaños y apartadas de ellos a dos mujeres que mantenían a su ganado alejado,
023_01	les dijo: ¿Qué os pasa? Dijeron: No podremos abrevar hasta que no se vayan los pastores, nuestro padre es muy anciano.
024_00	Entonces abrevó para ellas retirándose al terminar a la sombra.Y dijo: ¡Señor mío! Realmente me hallo en necesidad de que hagas descender algún bien.
025_00	Y vino a él una de las dos caminando con pudor, dijo: Mi padre te invita para compensarte que hayas abrevado para nosotras.
025_01	Y cuando llegó a su presencia y le contó su historia, dijo: No temas, estás a salvo de la gente injusta.
026_00	Dijo una de ellas: ¡Padre! Tómalo como asalariado pues nadie mejor que él, fuerte y digno de confianza, para contratar sus servicios.
027_00	Dijo: Quiero casarte con una de mis hijas a cambio de que trabajes para mí durante ocho años, aunque si culminas hasta diez será cosa tuya,
027_01	no quiero hacértelo difícil; si Allah quiere encontrarás que soy justo.
028_00	Dijo: Esto es algo entre tú y yo; y cualquiera de los dos plazos que cumplas no me causará ningún perjuicio.Allah es Garante de lo que decimos.
029_00	Y habiendo Musa concluido el plazo y partido con su familia, distinguió en la ladera del Monte un fuego y dijo a su familia: ¡Esperad! He visto un fuego
029_01	y quizás pueda volver con alguna noticia o con algún tizón con el que podáis calentaros.
030_00	Y cuando llegó a él, una voz lo llamó desde el margen derecho del valle en el lugar bendito en la dirección del árbol: ¡Musa, Yo soy Allah el Señor de los mundos!
031_00	¡Tira tu bastón! Y al verlo reptar como una víbora se apartó espantado sin volverse atrás. ¡Musa! Ven y no temas, tu eres de los que están a salvo.
032_00	Desliza tu mano por el escote y saldrá blanca* sin que tenga ningún mal. Y apriétate el pecho con la mano para vencer el miedo.
032_01	Estas son las dos pruebas de tu Señor para Firaún y su corte, realmente son gente corrupta.
033_00	Dijo: ¡Señor! Maté a uno de ellos y temo que me maten.
034_00	Y mi hermano Harún se expresa con más soltura y claridad que yo, envíalo conmigo como ayudante que confirme mis palabras, pues realmente temo que me desmientan.
035_00	Dijo: Fortaleceremos tu brazo con tu hermano y os daremos autoridad de manera, que gracias a Nuestros signos, no podrán haceros nada.Vosotros y quien os siga seréis los vencedores.
036_00	Y cuando Musa se presentó ante ellos con Nuestros signos evidentes, dijeron: ¿Qué es esto sino magia bien elaborada, no oímos hablar de esto a nuestros primeros padres?
037_00	Y dijo Musa: Mi Señor sabe mejor quién ha venido con la guía de Su parte y quién obtendrá la Morada Final, verdaderamente los injustos no prosperan.
038_00	Y dijo Firaún: ¡Consejo de nobles! No sé que tengáis otro dios que yo, así pues Haman cuece barro para mí
038_01	y hazme una torre para que pueda subir hasta el dios de Musa, pues realmente lo tengo por mentiroso.
039_00	Y se llenó de soberbia en la tierra junto con sus ejércitos, fuera de la verdad. Y pensaron que no habrían de volver a Nos.
040_00	Entonces lo agarramos a él y a sus ejércitos y los arrojamos al mar; mira cómo acabaron los injustos.
041_00	Los habíamos hecho dirigentes cuya llamada conducía al Fuego.
042_00	Y en la vida del mundo hicimos que les siguiera una maldición. El Día del Levantamiento formarán parte de los que serán desfigurados.
043_00	Y después de haber destruido a las primeras generaciones le dimos el Libro a Musa para que los hombres pudieran ver, y como guía y misericordia para que pudieran recordar.
044_00	Y no estabas en la ladera occidental cuando comprometimos a Musa con Nuestro mandato, ni eras uno de los que estaban presentes.
045_00	Sin embargo suscitamos generaciones que tuvieron larga vida.Y tú no estuviste viviendo entre los Madyan recitándoles Nuestros signos, pero Nosotros te hemos hecho mensajero.
046_00	Ni estabas en la ladera del Monte cuando hicimos la llamada, sino que es una misericordia de tu Señor para que adviertas a aquellos a los que no les llegó antes de ti ningún advertidor; tal vez recuerden.
047_00	Para que no dijeran, si a causa de los que sus manos presentaban les venía alguna desgracia: Señor nuestro ¿Por qué no nos enviaste algún mensajero para que hubiéramos podido seguir Tus signos y haber sido creyentes?
048_00	Pero cuando les ha llegado la verdad procedente de Nos, han dicho: ¿Por qué no se le ha dado algo como lo que se le dió a Musa? ¿Acaso no habían negado antes lo que le fue dado a Musa?
048_01	Dicen: Son dos magos confabulados, no creemos en ninguno de ellos.*
049_00	Di: ¡Traed un libro de parte de Allah que contenga más guía que éstos y entonces yo lo seguiré, si es verdad lo que decís.
050_00	Y si no te responden, sabe que únicamente están siguiendo sus pasiones.
050_01	¿Y quién está más extraviado que aquel que sigue sus pasiones sin ninguna guía de Allah? Es cierto que Allah no guía a la gente injusta.
051_00	Y realmente les hemos hecho llegar la Palabra para que puedan recordar.
052_00	Los que recibieron el Libro antes, creen en él.
053_00	Y cuando se les lee, dicen: Creemos en él, es la verdad que procede de nuestro Señor; realmente ya éramos musulmanes.
054_00	Esos recibirán su recompensa dos veces por haber sido pacientes, por haber rechazado el mal con bien y haber gastado de la provisión que les dábamos.
055_00	Y porque cuando oían alguna palabra vana se apartaban de ella y decían: Para nosotros serán nuestras acciones y para vosotros las vuestras.Paz con vosotros, no buscamos a los ignorantes.
056_00	Ciertamente tú no guías a quien amas sino que Allah guía a quien quiere y Él sabe mejor quiénes pueden seguir la guía.
057_00	Y dicen: Si seguimos la guía junto a ti seremos arrancados de nuestra tierra. ¿Acaso no hemos establecido para ellos un lugar inviolable donde se hace acopio de frutos de toda clase como sustento de Nuestra parte? 
057_01	Sin embargo la mayoría de ellos no saben.
058_00	¡Cuántas ciudades destruimos por no haber reconocido el favor en el que vivían! Ahí están sus moradas, sólo unas pocas volvieron a ser habitadas después de ellos y fuimos Nosotros los herederos.
059_00	Tu Señor no destruye ninguna ciudad sin haber enviado antes un mensajero a su comunidad que les recita Nuestros signos.Y sólo cuando sus habitantes son injustos destruimos las ciudades.
