001_00	Kiran gaskiya!
002_00	Mẽne ne kiran gaskiya?
003_00	Kuma mẽ ya sanar da kai abin da ake cẽwa kiran gaskiya?
004_00	Samũdãwa da Ãdãwa sun ƙaryatar da kiran gaskiya mai dũkar zũciya!
005_00	To, amma Samũdãwa to, an halakãsu da tsãwa mai tsanani.
006_00	Kuma amma Ãdãwa to, an halaka su da wata iska mai tsananin sauti wadda ta ƙẽtare haddi.
007_00	(Allah) Ya hõre ta a kansu a cikin dare bakwai da yini takwas, biye da jũna, sabõda haka, kana ganin mutãne a cikinta kwance. Kamar sũ ƙirãruwan dabĩno ne, waɗanda suka fãɗi.
008_00	To, kõ kanã ganin abin da ya yi saurã daga cikinsu?
009_00	Kuma Fir'auna yã zo da waɗanda ke gabãninsa, da waɗannan da aka kife ƙasarsu, sabõda laifi.
010_00	Dõmin sun sãɓã wa manzon Ubangijinsu, sabõda haka ya kãmã su da wani irin kãmu mai ƙãruwar (tsanani).
011_00	Lalle ne, Mũ, a lõkacin da ruwa ya ƙẽtare haddi, Munɗauke aaku a cikin jirgin ruwan nan.
012_00	Dõmin Mu sanya shi, gare ku abin tunãwa kuma wani kunne mai kiyayewa ya kiyaye (shi).
013_00	To, idan an yi bũsa a cikin ƙaho, bũsa ɗaya.
014_00	Kuma aka ɗauki ƙasa da duwãtsu, kuma aka niƙa su niƙãwa ɗaya.
015_00	A ran nan, mai aukuwa zã ta auku.
016_00	Kuma sama zã ta tsãge, dõmin ita a ran nan, mai rauni ce.
017_00	Kuma malã'iku (su bayyana) a kan sãsanninta, kuma wasu (malã'iku) takwas na ɗauke da Al'arshin Ubangijinka, a sama da su, a wannan rãnar.
018_00	A rãnar nan zã a bijirã ku (dõmin hisãbi), bãbu wani rai, mai ɓoyewa, daga cikinku, wanda zai iya ɓõyẽwa.
019_00	To, amma wanda aka bai wa littãfinsa a dãmansa, sai ya ce wa (makusantansa), "Ku karɓa, ku karanta littafina."
020_00	"Lalle ne ni, nã tabbata cewa ni mai haɗuwa da hisãbina ne."
021_00	Sabõda haka, shi yana cikin wata rãyuwa yardadda.
022_00	A cikin Aljanna maɗaukakiya.
023_00	Nunannun 'yã'yan itãcenta makusantã ne (ga mai son ɗĩba),
024_00	(Ana ce musu) "Ku ci, kuma ku sha a cikin ni'ima, sabõda abin da kuka gabãtar a cikin kwãnukan da suka shige."
025_00	Kuma wanda aka bai wa littãfinsa ga hagunsa, sai ya ce: "Kaitona, ba a kãwo mini littãfina ba!"
026_00	"Kuma ban san abin da (ke sakamakon) hisãbina ba!"
027_00	"In dã dai ita, tã kasance mai halakã ni gabã ɗaya ce!
028_00	"Dukiyãta ba ta wadatar da ni ba!"
029_00	"Ĩkona ya ɓace mini!"
030_00	(Sai a ce wa malã'iku) "Ku kãmã shi, sa'an nan ku sanyã shi a cikin ƙuƙumi."
031_00	"Sa'an nan, a cikin Jahĩm, ku ƙõna shi."
032_00	"Sa'an nan, acikin sarƙa, tsawonta zirã'i saba'in, sai ku sanya shi."
033_00	"Lalle ne, shi ya kasance ba ya yin ĩmãni da Allah, Mai girma!"
034_00	"Kuma ba ya kwaɗaitarwa ga (bãyar da) abincin matalauci!"
035_00	"Sabõda haka, a yau, a nan, bã ya da masõyi."
036_00	"Kuma bãbu wani abinci, sai daga (itãcen) gislĩn."
037_00	"Bãbu mai cin sa sai mãsu ganganci."
038_00	To, ba sai Nã yi rantsuwa da abin da kuke iya gani ba,
039_00	Da abin da bã ku iya gani.
040_00	Lalle ne, shi (Alƙur'ani) tabbas maganar wani manzo (Jibirilu) mai daraja ne.
041_00	Kuma shi ba maganar wani mawãƙi ba ne. Kaɗan ƙwarai zã ku gaskata.
042_00	Kuma bã maganar bõka ba ne. Kaɗan ƙwarai zã ku iya tunãwa.
043_00	Abin saukarwã ne daga Ubangijin halitta duka.
044_00	Kuma dã (Muhammadu) yã faɗi wata maganã, yã jingina ta garẽ Mu.
045_00	Dã Mun kãma shi da dãma.
046_00	sa'an nan, lalle ne, dã Mun kãtse masa lakã.
047_00	Kuma daga cikinku bãbu wasu mãsu iya kãre (azãbarMu) daga gare shi.
048_00	Kuma lalle ne shi (Alƙur'ãni) tanãtarwa ce ga mãsu taƙawa.
049_00	Kuma lalle, ne Mũ, wallahi Munã sane da cẽwa daga cikinku alwwai mãsu ƙaryatãwa.
050_00	Kuma lalle ne shi (Alƙarãni) wallahi baƙin ciki ne ga kãfirai.
051_00	Kuma lalle, ne shi gaskiya ce ta yaƙshẽni.
052_00	Sabõda haka, ka tsarkake sũnan Ubangjinka, mai girma.
