001_00	Чошгоҳ билан қасам.
002_00	Сукунатга чўмган тун билан қасам.
003_00	Роббинг сени тарк қилмади ва ғазаб ҳам қилмади. (Ушбу ояти карима мушриклар, Муҳаммаднинг Роббиси унга ғазаб қилди, уни тарк этди, деб гап тарқатганларида раддия сифатида тушгандир.)
004_00	Ва, албатта, охират сен учун бу дунёдан яхшидир.
005_00	Ва тезда Роббинг сенга ато қиладир ва сен рози бўлурсан.
006_00	У сени етим топиб, жойлаб қўймадими?
007_00	Ва У сени ҳайрон топиб, ҳидоятга бошламадими?
008_00	Ва У сени камбағал топиб, бой қилмадими?
009_00	Аммо етимга қаҳр қилма.
010_00	Ва, аммо, «соил»га зажр қилма. («Соил» келганда–бирор нарсаси бўлса бериши, бўлмаса яхши муомала қилиши керак.)
011_00	Ва, аммо, Роббингнинг берган неъмати ҳақида сўзла.
