001_00	Enyi mlio amini!
001_01	Msiwafanye adui zangu na adui zenu kuwa marafiki mkiwapa mapenzi, na hali wao wamekwisha ikataa haki iliyo kujieni, wakamfukuza Mtume na nyinyi kwa sababu mnamuamini Mwenyezi Mungu, Mola Mlezi wenu.
001_02	Mnapotoka kwa ajili ya Jihadi katika Njia yangu na kutafuta radhi yangu, mnafanya urafiki nao kwa siri, na Mimi nayajua mnayo yaficha na mnayo dhihirisha. Na mwenye kufanya hayo kati yenu basi ameipotea njia ya sawa.
002_00	Wakikuwezeni wanakuwa maadui zenu, na wanakukunjulieni mikono yao na ndimi zao kwa uovu. Na wanapenda muwe makafiri.
003_00	Hawatakufaeni jamaa zenu, wala watoto wenu Siku ya Kiyama. Mwenyezi Mungu atapambanua baina yenu, na Mwenyezi Mungu anayaona mnayo yatenda.
004_00	Hakika nyinyi mna mfano mzuri kwenu kwa Ibrahim na wale walio kuwa pamoja naye, walipo waambia watu wao: Hakika sisi tumejitenga nanyi na hayo mnayo yaabudu badala ya Mwenyezi Mungu.
004_01	Tunakukataeni; na umekwisha dhihiri uadui na chuki baina yetu na nyinyi mpaka mtakapo muamini Mwenyezi Mungu peke yake.
004_02	Isipo kuwa kauli ya Ibrahim kumwambia baba yake: Hakika nitakuombea msamaha, wala similiki chochote kwa ajili yako mbele ya Mwenyezi Mungu. Mola wetu Mlezi! Juu yako tumetegemea, na kwako tumeelekea, na kwako ndio marejeo.
005_00	Mola wetu Mlezi! Usitufanyie mtihani kwa walio kufuru. Na tusamehe, Mola wetu Mlezi. Hakika Wewe ndiye Mwenye nguvu, Mwenye hikima.
006_00	Kwa yakini umekuwa mfano mzuri kwenu katika mwendo wao, kwa anaye mtarajia Mwenyezi Mungu na Siku ya Mwisho. Na mwenye kugeuka basi hakika Mwnyezi Mungu ni Mwenye kujitosha, Msifiwa.
007_00	Asaa Mwenyezi Mungu akatia mapenzi baina yenu na hao maadui zenu, na Mwenyezi Mungu ni Mweza, na Mwenyezi Mungu ni Mwenye kusamehe, Mwenye kurehemu.
008_00	Mwenyezi Mungu hakukatazini kuwafanyia wema na uadilifu wale ambao hawakukupigeni vita, wala hawakukutoeni makwenu.
008_01	Hakika Mwenyezi Mungu huwapenda wafanyao uadilifu.
009_00	Hakika Mwenyezi Mungu anakukatazeni kufanya urafiki na wale walio kupigeni vita, na wakakutoeni makwenu, na wakasaidia katika kufukuzwa kwenu.
009_01	Na wanao wafanya hao marafiki basi hao ndio madhaalimu.
010_00	Enyi mlio amini! Wakikujilieni wanawake Waumini walio hama, basi wafanyieni mtihani - Mwenyezi Mungu ndiye Mwenye kujua zaidi Imani yao.
010_01	Mkiwa mnawajua kuwa ni Waumini basi msiwarudishe kwa makafiri. Wanawake hao si halali kwa hao makafiri, wala hao makafiri hawahalalikii wanawake Waumini.
010_02	Na wapeni hao wanaume mahari walio toa.
010_03	Wala hapana makosa kwenu kuwaoa mkiwapa mahari yao.
010_04	Wala msiwaweke wanawake makafiri katika kifungo cha ndoa zenu. Na takeni mlicho kitoa, na wao watake walicho kitoa. Hiyo ndiyo hukumu ya Mwenyezi Mungu anayo kuhukumuni. Na Mwenyezi Mungu ni Mwenye kujua, Mwenye hikima.
011_00	Na akitoroka yeyote katika wake zenu kwenda kwa makafiri, tena ikatokea mkapata ngawira, basi wapeni walio kimbiwa na wake zao kiasi cha mahari waliyo yatoa.
011_01	Na mcheni Mwenyezi Mungu ambaye mnamuamini.
012_00	Ewe Nabii!
012_01	Watakapo kujia wanawake Waumini wanakuahidi ya kwamba hawatamshirikisha Mwenyezi Mungu na chochote, wala hawataiba, wala hawatazini, wala hawatawauwa watoto wao, wala hawataleta uzushi wanao uzua tu wenyewe baina ya mikono yao na miguu yao, wala hawatakuasi katika jambo jema, basi peana nao ahadi, na uwatakie maghfira kwa Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mwingi maghfira, Mwenye kurehemu.
013_00	Enyi mlio amini! Msiwafanye rafiki zenu watu ambao Mwenyezi Mungu amewakasirikia. Hao wamekwisha kata tamaa ya Akhera, kama makafiri walivyo wakatia tamaa watu wa makaburini.
