001_00	سوێند به به‌ره‌به‌یان.
002_00	سوێندم به‌و شه‌وانه‌ی که ده شه‌ون (هه‌ندێک ده‌ڵێن ده شه‌وی کۆتایی ڕه‌مه‌زانه‌، هه‌ندێکیش ده‌ڵێن ده شه‌وی سه‌ره‌تای مانگی ذی الحجه‌یه که کاتی ئه‌نجامدانی حه‌جه‌، هه‌ردوو بۆنه‌که‌ش پیرۆزن).
003_00	سوێند به ئه‌و شتانه که جووتن، هه‌روه‌ها سوێند به هه‌موو ئه‌و شتانه‌ی که تاکن (یاخود سوێند به شه‌وه جووت و شه‌وه تاکه‌کان)
004_00	به هه‌موو شه‌وێک کاتێک تێده‌په‌ڕێت (له سه‌ره‌نجامی سوڕانه‌وه‌ی زه‌وی به‌ده‌وری خۆیدا).
005_00	ئایا له‌و شتانه‌دا سوێندی شایسته نییه بۆ که‌سێك خاوه‌نی عه‌قڵ و بیروهۆش بێت؟!
006_00	ئایا نه‌تزانیووه په‌روه‌ردگاری تۆ چی کرد به هۆزی عاد.
007_00	که ئه‌ویش هۆزی (ارم) و خاوه‌نی پایه‌ی به‌رزو کۆڵه‌که و نیرگه‌ی درێژ بوون (قه‌ومی عاد له شاری ئیره‌م که باڵابه‌رزو تێکسمڕاو بوون، خانووبه‌ره و کۆشک و ته‌لاری گه‌وره و به‌رزیان دروست ده‌کرد).
008_00	له سه‌رده‌می ئه‌واندا له هیچ شار و شوێنێکدا، کۆشك و ته‌لاری وه‌ک ئه‌وه‌ی ئه‌وان دروست نه‌کراوه‌.
009_00	ئایا نه‌تزانیووه قه‌ومی ثمودیش خوا چی لێکردن، ئه‌وانه‌ی له دۆڵ و شیوه‌کانه‌وه به‌ردیان ده‌تاشی و ده‌یانگواسته‌وه بۆ ناو قه‌دی چیاکان و له‌وێ خانوویان دروست ده‌کرد؟
010_00	هه‌روه‌ها فیرعه‌ونی خاوه‌ن ئه‌هرامه‌کان، (چ کۆشک و بینایه‌کی مه‌حکه‌میان وه‌کو مێخ داده‌کوتی به زه‌ویدا).
011_00	ئه‌وانه‌ی که سته‌میان به‌رپاکرد له وڵاتداو خه‌ڵکیان ده‌چه‌وسانه‌وه‌.
012_00	جا خراپه و تاوان و گوناهی زۆریان ئه‌نجامده‌دا.
013_00	(دوای ماوه‌یه‌کی دیاریکراو) په‌روه‌ردگاری تۆ سزاو خه‌شـم و قینی خۆی ڕژاند به‌سه‌ریاندا و ته‌فرو تونای کردن.
014_00	به‌ڕاستی په‌روه‌ردگاری تۆ هه‌میشه و به‌رده‌وام ئاماده‌یه که تۆڵه له سته‌مکاران بسێنێت.
015_00	جا کاتێک ئاده‌میزاد له‌لایه‌ن په‌روه‌ردگاریه‌وه تاقی ده‌کرێته‌وه‌، زێزی لێ ده‌نێت و نازو نیعمه‌تی به‌سه‌ردا ده‌ڕێژێت، ده‌ڵێت: (به خوا وا دیاره‌) په‌روه‌ردگارم خۆشی ده‌وێم ڕێزم هه‌یه لای.
016_00	به‌ڵام کاتێک تاقی ده‌کاته‌وه و ڕزق و ڕۆزی که‌می پێده‌به‌خشێت و لێی ده‌گرێته‌وه ده‌ڵێت: وا دیاره په‌روه‌ردگارم منی خۆش ناوێت و ڕقی لێمه و ڕیسوای کردووم.
