001_00	Роҳман.
002_00	Қуръони ўргатди.
003_00	Инсонни яратди.
004_00	Унга баённи ўргатди.
005_00	Қуёш ва ой ҳисобдадир.
006_00	Ўт-ўлан ҳам, дарахтлар ҳам сажда қилурлар. (Дунёдаги жонлию жонсиз барча нарса Аллоҳнинг иродасидан ташқари чиқа олмаслигига, ҳаммаси олам Парвардигорига боғлиқ эканига далолат қилмоқда.)
007_00	Осмонни баланд кўтарди ва тарозуни ўрнатди.
008_00	Тортишда ҳаддан ошмаслигингиз учун. (Агар ушбу тарозуни Ислом дини, Қуръон китоби, Муҳаммад алайҳиссалом Пайғамбари орқали ўрнатмаганида, адолат мезони бузиларди, ҳақдан ботил устун келарди. Ер юзини фисқу фасод босарди.)
009_00	Адолат ила ўлчанг ва тарозудан уриб қолманг.
010_00	Ва ерни ҳалойиқ учун қўйди.
011_00	У(ер)да мевалар ва гулкосали хурмолар бор.
012_00	Ва сомонли донлар ҳамда райҳон бор.
013_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
014_00	Инсонни сополга ўхшаш қуриган лойдан яратди.
015_00	Ва жинларни алангадан яратди.
016_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз.
017_00	У икки машриқ ва икки мағрибнинг Роббисидир. (Икки машриқ деганда, қуёшнинг ёздаги ва қишдаги чиқиш жойларини ҳамда икки мағриб деганда, ёздаги ва қишдаги ботиш жойларини тушуниш керак.)
018_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?
019_00	Дарё-денгизларни бир-бири билан учрашадиган қилиб қўйди.
020_00	Ўрталаридаги тўсиқдан ошиб ўтолмаслар. (Шўр денгиз билан чучук сувли дарё ўртасида бир тўсиқ бўлиб, улар бир-бирларига аралашиб кетмайди деган маънони англатади.)
021_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?
022_00	У иккисидан луълуъ ва маржон чиқар.
023_00	Бас, Роббингизнинг қайси неъматлрини ёлғон дея олурсиз?!
024_00	Денгизларда тоғдек бўлиб сузиб юрувчилар ҳам Уникидир.
025_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
026_00	(Ер) юзидаги барча жонзот фонийдир.
027_00	Улуғлик ва икром эгаси Роббингнинг Ўзигина боқийдир.
028_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?
029_00	Ундан еру осмондаги жонзотлар сўрарлар. У ҳар куни ишдадир. (Бутун мавжудот, ерда бўлсин, осмонда бўлсин, Аллоҳдан сўровларини сўрайди. Нимани сўрашлари оятда тайин қилинмаган. Ҳар ким нимага муҳтож бўлса, ўшани сўрайди.)
030_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
031_00	Албатта, сизлар учун вақт топармиз, эй инсу жинлар!
032_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
033_00	Эй жин ва инс жамоалари, агар сиз осмонлару ер чегараларидан чиқиб кетишга қодир бўлсаларингиз, чиқаверинглар. Фақат Султон ила чиқа олурсиз, холос.
034_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
