001_00	Čas neizbježni,
002_00	šta je Čas neizbježni,
003_00	i otkud ti znaš šta je Čas neizbježni?
004_00	Semud i Ad su Smak svijeta poricali
005_00	pa je Semud uništen glasom strahovitim,
006_00	a Ad uništen vjetrom ledenim, silovitim,
007_00	kome je On vlast nad njima sedam noći i osam dana uzastopnih bio prepustio, pa si u njima ljude povaljane kao šuplja datulina debla vidio,
008_00	i vidiš li da je iko od njih ostao?
009_00	A došli su faraon, i oni prije njega, i zbog odvratnih postupaka izvrnuta naselja,
010_00	i protiv poslanika Gospodara svoga se dizali, pa ih je On ne može biti teže kaznio.
011_00	Mi smo vas, kada je voda preplavila sve, u lađi nosili
012_00	da vam to poukom učinimo i da to od zaborava sačuva uho koje pamti.
013_00	A kada se jednom u Rog puhne,
014_00	pa se Zemlja i brda dignu i od jednog udara zdrobe,
015_00	toga dana će se Smak svijeta dogoditi
016_00	i nebo će se razdvojiti – tada će labavo biti –
017_00	i meleki će na krajevima njegovim stajati, a prijesto Gospodara tvoga će tog dana iznad njih osmerica držati.
018_00	Tada ćete ispitivani biti, i nijedna tajna vaša neće sakrivena ostati:
019_00	onaj kome se knjiga njegova u desnu ruku njegovu dâ – reći će: "Evo vam, čitajte knjigu moju,
020_00	ja sam čvrsto vjerovao da ću račun svoj polagati."
021_00	I on će biti u životu zadovoljnom,
022_00	u Džennetu predivnom,
023_00	čiji će plodovi nadohvat ruke biti.
024_00	"Jedite i pijte radosni, za ono što ste u danima minulim zaradili!"
025_00	A onaj kome se dâ knjiga u lijevu ruku njegovu reći će: "Kamo sreće da mi knjiga moja ni data nije
026_00	i da ni saznao nisam za obračun svoj!
027_00	Kamo sreće da me je smrt dokrajčila –
028_00	bogatstvo moje mi nije od koristi,
029_00	snage moje nema više!"
030_00	"Držite ga i u okove okujte,
031_00	zatim ga samo u vatri pržite,
032_00	a onda ga u sindžire sedamdeset lakata duge vežite,
033_00	jer on u Allaha Velikog nije vjerovao
034_00	i da se nahrani nevoljnik – nije nagovarao;
035_00	zato on danas ovdje nema prisna prijatelja
036_00	ni drugog jela osim pomija,
037_00	koje će samo nevjernici jesti."
038_00	A Ja se kunem onim što vidite
039_00	i onim što ne vidite,
040_00	Kur'an je, doista, govor objavljen plemenitom Poslaniku,
041_00	a nije govor nikakva pjesnika – kako vi nikako ne vjerujete!
042_00	i nisu riječi nikakva proroka – kako vi malo razmišljate!
043_00	Objava je on od Gospodara svjetova!
044_00	A da je on o Nama kojekakve riječi iznosio,
045_00	Mi bismo ga za desnu ruku uhvatili,
046_00	a onda mu žilu kucavicu presjekli,
047_00	i niko ga između vas ne bi mogao od toga odbraniti.
048_00	Pouka je Kur'an onima koji budu Allahova naređenja izvršavali, a zabrānā se klonili –
049_00	A Mi, sigurno, znamo da neki od vas neće u nj vjerovati –
050_00	i on će biti uzrok jadu nevjernika,
051_00	a on je, doista, sama istina
052_00	zato ti hvali ime Gospodara tvoga, Veličanstvenoga!
