001_00	Ya-Sin (Y. S.).
002_00	Kwa Haki ya Qur'ani yenye hikima!
003_00	Hakika wewe ni miongoni mwa walio tumwa,
004_00	Juu ya Njia Iliyo Nyooka.
005_00	Uteremsho wa Mwenye nguvu, Mwenye kurehemu.
006_00	Ili uwaonye watu ambao baba zao hawakuonywa, basi wao wamekuwa wenye kughafilika.
007_00	Bila ya shaka kauli imekwisha thibiti juu ya wengi katika wao, kwa hivyo hawaamini.
008_00	Tumeweka makongwa shingoni mwao, yakawafika videvuni. Kwa hivyo vichwa vyao viko juu tu.
009_00	Tumeweka kizuizi mbele yao, na kizuizi nyuma yao, na tumewafunika macho yao; kwa hivyo hawaoni.
010_00	Ni sawa sawa kwao ukiwaonya au usiwaonye, hawataamini.
011_00	Hakika wewe unamwonya mwenye kufuata ukumbusho, na akamcha Arrahman, Mwingi wa Rehema, kwa ghaibu. Basi mbashirie huyo msamaha na ujira mwema.
012_00	Hakika Sisi tunawafufua wafu, na tunayaandika wanayo yatanguliza, na wanayo yaacha nyuma. Na kila kitu tumekihifadhi katika daftari asli lenye kubainisha.
013_00	Na wapigie mfano wa wakaazi wa mji walipo wafikia walio tumwa.
014_00	Tulipo watumia wawili, wakawakanusha. Basi tukawazidishia nguvu kwa mwingine wa tatu. Wakasema: Hakika sisi tumetumwa kwenu.
015_00	Wakasema: Nyinyi si chochote ila ni watu kama sisi. Na Mwingi wa Rehema hakuteremsha kitu. Nyinyi mnasema uwongo tu.
016_00	Wakasema: Mola wetu Mlezi anajua kwamba hakika sisi tumetumwa kwenu.
017_00	Wala si juu yetu ila kufikisha ujumbe ulio wazi.
018_00	Wakasema: Sisi tumeagua kuwa nyinyi ni wakorofi. Ikiwa hamtaacha basi kwa yakini tutakupigeni mawe, na mtapata adhabu chungu kutoka kwetu.
019_00	Wakasema: Ukorofi wenu mnao wenyewe! Je! Ni kwa kuwa mnakumbushwa? Ama nyinyi ni watu walio pindukia mipaka.
020_00	Na akaja mtu mbio kutokea upande wa mbali wa mjini, akasema: Enyi watu wangu! Wafuateni hawa walio tumwa.
021_00	Wafuateni ambao hawakutakini ujira, hali ya kuwa wenyewe wameongoka.
022_00	NA KWA NINI nisimuabudu yule aliye niumba na kwake mtarejeshwa?
023_00	Je! Niishike miungu mingine badala yake? Arrahmani, Mwingi wa Rehema, akinitakia madhara uombezi wa hao hautanifaa kitu, wala hawataniokoa.
024_00	Basi hakika mimi hapo nitakuwa katika upotovu ulio dhaahiri.
025_00	Hakika mimi nimemuamini Mola wenu Mlezi, basi nisikilizeni!
026_00	Akaambiwa: Ingia Peponi! Akasema: Laiti kuwa watu wangu wangeli jua
027_00	Jinsi Mola wangu Mlezi alivyo nisamehe, na akanifanya miongoni mwa walio hishimiwa.
028_00	Na hatukuwateremshia kaumu yake baada yake jeshi kutoka mbinguni, wala si wenye kuteremsha.
029_00	Hakukuwa ila ukelele mmoja tu; na mara walizimwa!
030_00	Nawasikitikia waja wangu. Hawajii Mtume ila wao humkejeli.
031_00	Je! Hawaoni umma ngapi tulizo ziangamiza kabla yao? Hakika hao hawarejei tena kwao.
032_00	Na hapana mmoja ila wote watakusanywa waletwe mbele yetu.
033_00	Na Ishara hiyo kwao - ardhi iliyo kufa, nasi tukaifufua, na tukatoa ndani yake nafaka, wakawa wanazila!
034_00	Na tukafanya ndani yake mabustani ya mitende na mizabibu, na tukatimbua chemchem ndani yake,
035_00	Ili wale matunda yake, na hayo hayakufanywa na mikono yao! Basi je, hawashukuru?
036_00	Subhana, Ametakasika, aliye umba dume na jike vyote katika vinavyo mea katika ardhi na katika nafsi zao, na katika wasivyo vijua.
037_00	Na usiku ni Ishara kwao. Tunauvua humo mchana, mara wao wanakuwa gizani.
038_00	Na jua linakwenda kwa kiwango chake. Hayo ni makadirio ya Mwenye nguvu, Mwenye kujua.
039_00	Na mwezi tumeupimia vituo, mpaka unakuwa kama karara kongwe.
040_00	Haliwi jua kuufikia mwezi, wala usiku kuupita mchana. Na vyote vinaogelea katika njia zao.
041_00	Na ni Ishara kwao kwamba Sisi tuliwapakia dhuriya zao katika jahazi ilio sheheni.
042_00	Na tukawaumbia kutoka mfano wake wanavyo vipanda.
043_00	Na tukitaka tunawazamisha, wala hapana wa kuwasaidia, wala hawaokolewi,
044_00	Isipo kuwa kwa rehema zitokazo kwetu na starehe kwa muda.
045_00	Na wanapo ambiwa: Jilindeni na yalioko mbele yenu na yalioko nyuma yenu, ili mpate kurehemewa...
046_00	Na haiwafikii Ishara yoyote katika Ishara za Mola wao Mlezi ila wao huwa ni wenye kuipuuza.
047_00	Na wanapo ambiwa: Toeni katika aliyo kupeni Mwenyezi Mungu, walio kufuru huwaambia walio amini: Je! Tuwalishe ambao Mwenyezi Mungu angependa angeli walisha mwenyewe? Nyinyi hammo ila katika upotofu ulio dhaahiri.
048_00	Na wanasema: Ahadi hii itatokea lini, ikiwa nyinyi ni wakweli?
049_00	Hawangojei ila ukelele mmoja tu utakao wachukua nao wamo kuzozana.
050_00	Basi hawataweza kuusia, wala kwa watu wao hawarejei.
051_00	Na litapulizwa barugumu, mara watatoka makaburini wakikimbilia kwa Mola wao Mlezi.
052_00	Watasema: Ole wetu! Nani aliye tufufua kwenye malazi yetu? Haya ndiyo aliyo yaahidi Mwingi wa Rehema na wakasema kweli Mitume.
053_00	Haitakuwa ila ukelele mmoja tu, mara wote watahudhuruishwa mbele yetu.
054_00	Basi leo nafsi yoyote haitadhulumiwa kitu, wala hamtalipwa ila yale mliyo kuwa mkiyatenda.
055_00	Hakika watu wa Peponi leo wamo shughulini, wamefurahi.
056_00	Wao na wake zao wamo katika vivuli wameegemea juu ya viti vya fakhari.
057_00	Watapata humo kila namna ya matunda na watapata kila watakacho kitaka.
058_00	"Salama!" Hiyo ndiyo kauli itokayo kwa Mola Mlezi Mwenye kurehemu.
059_00	Na enyi wakosefu! Jitengeni leo!
060_00	Je! Sikuagana nanyi, enyi wanaadamu, kuwa msimuabudu Shet'ani? Hakika yeye ni adui dhaahiri kwenu.
061_00	Na ya kwamba mniabudu Mimi? Hii ndiyo Njia Iliyo Nyooka.
062_00	Na bila ya shaka yeye amekwisha lipoteza kundi kubwa miongoni mwenu. Je, hamkuwa mkifikiri?
063_00	Hii basi ndiyo Jahannamu mliyo kuwa mkiahidiwa.
064_00	Ingieni leo kwa vile mlivyo kuwa mkikufuru.
065_00	Leo tunaviziba vinywa vyao, na iseme nasi mikono yao, na itoe ushahidi miguu yao kwa waliyo kuwa wakiyachuma.
066_00	Na tungeli penda tungeli yafutilia mbali macho yao, wakawa wanaiwania njia. Lakini wange ionaje?
067_00	Na tungeli taka tunge wageuza sura hapo hapo walipo, basi wasinge weza kwenda wala kurudi.
068_00	Na tunaye mzeesha tunamrudisha nyuma katika umbo. Basi je! hawazingatii?
069_00	Wala hatukumfundisha (Muhammad) mashairi, wala hayatakikani kwake hayo. Haukuwa huu ila ni ukumbusho na Qur'ani inayo bainisha.
070_00	Ili imwonye aliye hai, na neno litimie juu ya makafiri.
071_00	Je! Hawaoni kwamba tumewaumbia kutokana na iliyo fanya mikono yetu wanyama wa mifugo, na wao wakawa wenye kuwamiliki.
