001_00	Tah, Sin, Mim.
002_00	Estes são os versículos do Livro lúcido.
003_00	Em verdade, relatar-te-emos, algo da história de Moisés e do Faraó (e também) ao povo fiel.
004_00	É certo que o Faraó se envaideceu, na terra (do Egito) e dividiu em castas o seu povo; subjugou um grupo deles, sacrificando-lhes os filhos e deixando com vidas as suas mulheres.
004_01	Ele era um dos corruptores.
005_00	E quisemos agraciar os subjugados na terra, designando-os imames e constituindo-os herdeiros.
006_00	E os arraigando na terra, para mostrarmos ao Faraó, a Haman e seus exércitos, o que temiam.
007_00	E inspiramos a mãe de Moisés: Amamenta-o e, se temes por ele, lança-o ao rio; não temas, nem te aflijas, porque todevolveremos
007_01	e o faremos um dos mensageiros.
008_00	A família do Faraó recolheu-o, para que viesse a ser, para os seus membros, um adversário e uma aflição; isso porque oFaraó, Haman e seus exércitos eram pecadores.
009_00	E a mulher do Faraó disse: Será meu consolo e teu. Não o mates! Talvez nos seja útil, ou o adoremos como filho. E elesde nada se aperceberam.
010_00	O coração impaciente da mãe de Moisés tornou-se vazio, e pouco faltou para que ela se delatasse, não lhe tivéssemosNós confortado o coração, para que continuasse sendo uma das fiéis.
011_00	E ela disse à irmã dele (Moisés): Segue-o! e esta o observou de longe, sem que os demais se apercebessem.
012_00	E fizemos com que recusasse as nutrizes. E disse (a irmã, referindo-se ao bebê): Quereis que vos indique uma casafamiliar, onde o criarão para vós e serão seus custódios?
013_00	Restituímo-lo, assim, à mãe, para que se consolasse e não se afligisse, e para que verificasse que a promessa de Deus éverídica. Porém, a maioria o ignora.
014_00	E quando chegou à idade adulta, e estava bem estabelecido concedemos-lhe prudência e sabedoria; assimrecompensamos os benfeitores.
015_00	E entrou na cidade, em um momento de descuido, por parte dos seus moradores, e encontrou nela dois homens brigando; um era da sua casta, e o outro da de seus adversários.
015_01	O da sua casta pediu-lhe ajuda a respeito do adversário; Moisés espancou este e o matou.
015_02	Disse: Isto é obra de Satanás, porque é um inimigo declarado, desencaminhador!
016_00	Disse (ainda): Ó Senhor meu, certamente me condenei! Perdoa-me, pois! E (Deus) o perdoou, porque é o Indulgente, oMisericordiosíssimo.
017_00	Disse (mais): Ó Senhor meu, posto que me tens agraciado, juro que jamais ampararei os criminosos!
018_00	Amanheceu, então, na cidade, temeroso e receoso, e eis que aquele que na véspera lhe havia pedido socorro gritava-lhepelo mesmo. Moisés lhe disse: Evidentemente, és um desordeiro!
019_00	E quando quis castigar o inimigo de ambos, este lhe disse: Ó Moisés, queres matar-me como mataste, ontem, um homem?
019_01	Só anseias ser opressor na terra e não queres ser um dos pacificadores!
020_00	E dos confins da cidade acudiu, ligeiro, um homem que lhe disse: Ó Moisés, em verdade, os chefes conspiram contra ti, para matar-te. Sai, pois, da cidade, porque sou, para ti, um dos que dão sinceros conselhos!
021_00	Saiu então de lá, temeroso e receoso; disse: Ó Senhor meu, salva-me dos iníquos.
022_00	E quando se dirigiu rumo a Madian, disse: Quiçá meu Senhor me indique a senda reta.
023_00	E quando chegou à aguada de Madian, achou nela um grupo de pessoas que dava de beber (ao rebanho), e viu duas moças que aguardavam, afastadas, por seu turno.
023_01	Perguntou-lhes: Que vos ocorre? Responderam-lhe: Não podemos dar de beber (ao nosso rebanho), até que os pastores se tenham retirado, (e temos nós de fazer isso) porque o nosso pai é demasiado idoso.
024_00	Assim, ele deu de beber ao rebanho, e logo, retirando- se para uma sombra, disse: Ó Senhor meu, em verdade, estounecessitado de qualquer dádiva que me envies!
025_00	E uma (moça) se aproximou dele, caminhando timidamente, e lhe disse: Em verdade meu pai te convida pararecompensar-te por teres dado de beber (ao nosso rebanho).
025_01	E quando se apresentou a ele e lhe fez a narração da (sua) aventura, (o ancião) lhe disse: Não temas! Tu te livraste dos iníquos.
026_00	Uma delas disse, então: Ó meu pai, emprega-o, porque é o melhor que poderás empregar, pois é forte e fiel.
027_00	Disse (o pai): Na verdade, quero casar-te com uma das minhas filhas, com a condição de que me sirvas durante oito anos;
027_01	porém, se cumprires dez, será por teu gosto, pois não quero obrigar-te e, se Deus quiser, achar-me-ás entre os justos.
028_00	Respondeu-lhe: Tal fica combinado entre mim e ti, e, seja qual for o término que tenha de cumprir, que não haveráinjustiça contra mim. seja Deus testemunha de tudo quanto dissermos!
029_00	E quando Moisés cumpriu o término e viajava com a sua família, percebeu, ao longe, um fogo, ao lado do monte (Sinai) e disse à sua família: Aguardai aqui, porque vejo fogo.
029_01	Quiçá vos diga do que se trata ou traga umas brasas para vosaquecerdes.
030_00	E quando lá chegou, foi chamado por uma voz, que partia do lado direito do vale, a planície bendita, junto à árvore: ÓMoisés, sou Eu, Deus, Senhor do Universo!
031_00	Arroja teu cajado! E quando o viu agitar-se como uma serpente, virou-se em fuga, sem se voltar. (Foi-lhe dito): ÓMoisés, aproxima-te e não temas, porque és um dos que estão a salvo.
032_00	Introduz a tua mão em teu manto e a retirarás diáfana, imaculada; e junta a tua mão ao teu flanco (o que te resguardará) contra o temor.
032_01	Estes serão dois argumentos (irrefutáveis) do teu Senhor para o Faraó, e seus chefes, porque são depravados.
033_00	Disse (Moisés): Ó Senhor meu, em verdade, matei um homem deles e temo que me matem!
034_00	E meu irmão, Aarão, é mais eloqüente do que eu; envia-o, pois, comigo, como auxiliar, para confirmar-me, porque temoque me desmintam.
035_00	Respondeu-lhe: Em verdade, fortalecer-te-emos com teu irmão; dar-vos-emos tal autoridade, para que eles jamaispossam igualar-se a vós. Com os Nossos sinais, vós e aqueles que vos seguirem sereis vencedores.
036_00	Mas quando Moisés lhes apresentou os Nossos sinais evidentes, disseram: isto não é mais do que falsa magia, poisjamais ouviremos falar disso os nossos antepassados.
037_00	Moisés lhes disse: Meu Senhor sabe melhor do que ninguém quem virá com a Sua orientação e quem obterá a últimamorada. Em verdade, os iníquos jamais prosperarão.
038_00	O Faraó disse: Ó chefes, não tendes, que eu saiba, outro deus além de mim!
038_01	Ó Haman, acende, pois, (o forno), para (cozer) tijolos, e fabrica-me um monumento para que possa elevar-me até ao Deus de Moisés, se bem que, segundo meparece, (Moisés) seja um dos impostores!
039_00	E eles, com os seus exércitos, ensoberbeceram-se, e pensaram que jamais retornariam a Nós!
040_00	Porém, apanhamo-lo, juntamente com os seus exércitos, e os precipitamos no mar. Repara, pois, qual foi o fim dosiníquos!
041_00	E os designamos líderes, para incitarem (seus sequazes) ao fogo infernal; e, no Dia da Ressurreição, não serãosocorridos.
042_00	E os perseguimos com a maldição, neste mundo, e, no Dia da Ressurreição, estarão entre os execrados.
043_00	Depois de termos aniquilado as primeiras gerações, concedemos a Moisés o Livro como discernimento, orientação emisericórdia para os humanos, a fim de que refletissem.
044_00	Porém, tu (ó Mohammad) não estavas do lado ocidental (do monte Sinai) quando decretamos a Moisés os mandamentos, nem tampouco te contavas entre as testemunhas (de tal evento).
045_00	Mas criamos novas gerações, que viveram muito tempo. Tu não eras habitante entre os madianitas, para lhes recitares osNossos versículos; porém, Nós é Quem mandamos mensageiros.
046_00	Tampouco estiveste no sopé do monte Sinai quando chamamos (Moisés); porém, foi uma misericórdia do teu Senhor, para que admoestes um povo que, antes de ti, jamais teve admoestador algum; quiçá, assim reflitam.
047_00	E para que, quando os açoitar uma calamidade, por suas más ações, não se escusem, dizendo: Ó Senhor nosso, por quenão nos enviastes um mensageiro, para que seguíssemos os Teus versículos e nos contássemos entre os fiéis?
048_00	Porém, quando lhes chegou de Nós a verdade, disseram: Por que não lhe foi concedido o mesmo que foi concedido a Moisés? - Não descreram eles no que foi concedido, antes, a Moisés?
048_01	Disseram: São dois magos, que se ajudam mutuamente! E disseram: Em verdade negamos tudo!
049_00	Dize-lhes: Apresentai um livro, da parte de Deus, que seja melhor guia do que qualquer um destes (Alcorão e Tora); então, eu o seguirei, se estiverdes certos.
050_00	E se não te atenderem, ficarás sabendo, então, que só seguem as suas luxúrias.
050_01	Haverá alguém mais desencaminhado doque quem segue sua concupiscência, sem orientação alguma de Deus? Em verdade, Deus não encaminha os iníquos.
051_00	Eis que lhes fizemos chegar, sucessivamente, a Palavra, para que refletissem.
052_00	(São) aqueles a quem concedemos o Livro, antes, e nele crêem.
053_00	E quando lhes é recitado (o Alcorão), dizem: Cremos nele, porque é a verdade, emanada do nosso Senhor. Em verdade, já éramos muçulmanos, antes disso.
054_00	A estes lhes será duplicada a recompensa por sua perseverança, porque retribuem o mal com o bem e praticam acaridade daquilo com que os agraciamos.
055_00	E quando ouvem futilidades, afastam-se delas, dizendo: Somos responsáveis pelas nossas ações e vós (incrédulos) pelasvossas; que a paz esteja convosco! Não aspiramos à amizade dos insipientes.
056_00	Por certo que não és tu que orientas a quem queres; contudo, Deus orienta a quem Lhe apraz, porque conhece melhor doque ninguém os encaminhados.
057_00	(Os maquenses) dizem: Se seguíssemos, como tu, a Orientação (Alcorão), seríamos retirados de nossa terra! Porventura, não lhes temos estabelecido um santuário seguro ao qual chegam produtos de toda espécie como provisão Nossa!
057_01	Porém, a maioria o ignora.
058_00	Quantas cidades temos destruído porque exultaram em sua vida (quanto às facilidades e à fartura)! Eis que suashabitações foram desabitadas, a não ser por uns poucos, depois deles, e fomos Nós o Herdeiro!
059_00	É inconcebível que teu Senhor tivesse destruído cidades, se antes enviar os seus habitantes um mensageiro que lhesrecitasse os Nossos versículos. Tampouco aniquilamos cidade alguma, a menos que os seus moradores fosse iníquos.
060_00	Tudo quanto vos tem sido concedido não é mais do que um gozo da vida terrena com os seus encantos; por outra, o queestá junto a Deus é preferível e mais persistente. Não raciocinais?
061_00	Acaso, aquele a quem temos feito uma boa promessa e que, com certeza, a alcançará, poderá ser equiparado àquele queagraciamos com o gozo da vida terrena, mas que, no Dia da Ressurreição, contar-se-á entre os que serão trazidos (ajulgamento)?
062_00	Recorda-lhes o dia em que (Deus) os convocará e lhes dirá: Onde estão os parceiros que pretendestes atribuir-Me?
063_00	E aqueles sobre os quais pesar tal atribuição, dirão: Ó Senhor nosso, são estes os que extraviamos; extraviamo-los, como fomos extraviados;
063_01	isentamo-nos deles na Tua presença, posto que não nos adoravam.
064_00	E lhes será dito: Invocai vossos parceiros! E os invocarão; porém, não os atenderão.
065_00	Será o dia em que Ele os convocar, e em que lhes perguntará: Que respondestes aos mensageiros?
066_00	Nesse dia obscurecer-se-lhes-ão as respostas e eles não (poderão) se inquirir mutuamente.
067_00	Porém, quanto ao que se arrepender e praticar o bem, é possível que se conte entre os bem-aventurados.
068_00	Teu Senho cria e escolhe da maneira que melhor Lhe apraz, ao passo que eles não têm faculdade de escolha. Glorificadoseja Deus de tudo quanto Lhe associam!
069_00	Teu Senhor conhece tanto o que dissimulam os seus corações como o que manifestam (as suas bocas).
070_00	E Ele é Deus! Não há mais divindade além d'Ele! Seus são os louvores, do início e no fim! Seu é o juízo! E a Eleretornareis!
071_00	Pergunta-lhes: Que vos pareceria se Deus vos prolongasse a noite até ao Dia da Ressurreição? Que outra divindade, além de Deus, poderia trazer-vos a claridade? Não atentais para isso?
072_00	Pergunta-lhes mais: Que vos pareceria se Deus vos prolongasse o dia até ao Dia da Ressurreição? Que outra divindade, além de Deus, poderia proporcionar-vos a noite, para que repousásseis?
072_01	Não vedes?
073_00	Mercê de Sua misericórdia vos fez a noite e o dia; (a noite) para que repouseis; (o dia) para que procureis a Sua graça, afim de que Lhe agradeçais.
074_00	O dia em que os convocar, dirá: Onde estão aqueles parceiros que pretendestes (associar-Me)?
075_00	E tiraremos uma testemunha de cada povo, e diremos: Apresentai as vossas provas! E então saberão que a verdade sópertence a Deus, e tudo quanto tiverem forjado desvanecer-se-á.
076_00	Em verdade, Carun era do povo de Moisés e o envergonhou.
076_01	Havíamos-lhe concedido tantos tesouros, que as suas chaves constituíam uma carga para um grupo de homens robustos.
076_02	Recorda quando o seu povo lhe disse: Não exultes, porque Deus não aprecia os exultados.
077_00	Mas procura, com aquilo com que Deus te tem agraciado, a morada do outro mundo; não te esqueças da tua porção neste mundo, e sê amável, como Deus tem sido para contigo,
077_01	e não semeies a corrupção na terra, porque Deus não aprecia os corruptores.
078_00	Respondeu: Isto me foi concedido, devido a certo conhecimento que possuo!
078_01	Porém, ignorava que Deus já havia exterminado tantas gerações, mais vigorosas e mais opulentas do que ele.
078_02	Em verdade, os pecadores não serão interrogados (imediatamente) sobre os seus pecados.
079_00	Então apresentou-se seu povo, com toda a sua pompa. Os que ambicionavam a vida terrena disseram: Oxalá tivéssemoso mesmo que foi concedido a Carun! Quão afortunado é!
080_00	Porém, os sábios lhes disseram: Ai de vós! A recompensa de Deus é preferível para o fiel que pratica o bem. Porém, ninguém a obterá, a não ser os perseverantes.
081_00	E fizemo-lo ser tragado, juntamente com sua casa, pela terra, e não teve partido algum que o defendesse de Deus, e nãose contou entre os defendidos.
082_00	E aqueles que, na véspera, cobiçavam a sua sorte, disseram: Ai de nós! Deus prodigaliza ou restringe as Suas mercês aquem Lhe apraz, dentre os Seus servos!
082_01	Se Deus não nos tivesse agraciado, far-nos-ia sermos tragados pela terra. Emverdade, os incrédulos jamais prosperarão.
