001_00	¡Vosotros que creéis!
001_01	¡Cumplid los contratos!Os están permitidos los animales de rebaño con las excepciones que se os enuncian, pero no os está permitido cazar mientras estéis en estado de inviolabilidad*.Allah dispone lo que quiere.
002_00	¡Vosotros que creéis!
002_01	No profanéis los ritos de Allah ni los meses inviolables, ni la ofrenda, ni las guirnaldas*, ni a quienes se dirigen a la Casa Inviolable buscando el favor de su Señor y la aceptación.Cuando hayáis salido del estado de inviolabilidad, entonces cazad.
002_02	Y que el odio hacia los que os han separado de la Mezquita Inviolable no pueda más que vosotros haciéndoos transgredir.
002_03	Y buscad ayuda en la virtud y en el temor (de Allah), no en la desobediencia ni en la transgresión.Y temed a Allah, es cierto que Allah es Fuerte castigando.
003_00	Se os prohibe la carne del animal muerto por causa natural, la sangre, la carne de cerdo, la del animal que haya sido sacrificado en nombre de
003_01	otro que Allah, la del que haya muerto por asfixia, golpe, caída, cornada o devorado por una fiera, a menos que lo degolléis*.Y la del que haya
003_02	sido sacrificado sobre altares y que consultéis la suerte con las flechas. Hacer esto es salirse del camino.Hoy los que se niegan a creer han perdido las
003_03	esperanzas de acabar con vuestra Práctica de Adoración. No los temáis a ellos, temedme a Mí.Hoy os he completado vuestra Práctica de Adoración, he culminado Mi bendición
003_04	sobre vosotros y os he aceptado complacido el Islam como Práctica de Adoración.El que se vea obligado* por hambre, sin ánimo de transgredir...Ciertamente Allah es Perdonador y Compasivo.
004_00	Te preguntan qué es lícito para ellos.
004_01	Di: Las cosas buenas y lo que cacen los animales de presa que hayáis adiestrado para ello, a los que enseñéis parte de lo que Allah os ha enseñado a vosotros.Comed pues de lo que ellos capturen para vosotros y mencionad el nombre de Allah*.Y temed a Allah, es cierto que Allah es Rápido en la cuenta.
005_00	Hoy se os hacen lícitas las cosas buenas.Y es lícito para vosotros el alimento de los que recibieron el Libro, así como
005_01	el vuestro lo es para ellos.Y (son lícitas para vosotros) las mujeres libres y honestas que sean creyentes, así como las mujeres
