001_00	Elif Lām Mīm Sād.
002_00	Objavljuje ti se Knjiga – i neka ti u grudima ne bude nikakve tegobe zbog nje da njome opominješ i da vjernicima bude pouka.
003_00	Slijedite ono što vam se od Gospodara vašeg objavljuje i ne uzimajte, pored Njega, nekog drugog kao zaštitnika! – A kako vi malo pouku primate!
004_00	Koliko smo Mi samo gradova razorili! I kazna Naša im je dolazila noću i danju kad bi prilegli,
005_00	a kada bi ih kazna Naša zadesila, jadikovanje njihovo se svodilo samo na riječi: "Nasilnici smo, zaista, bili!"
006_00	I sigurno ćemo pitati one kojima smo poslanike slali, a pitaćemo, doista, i poslanike,
007_00	i izložićemo im, pouzdano, sve što o njima znamo, jer Mi nismo odsutni bili.
008_00	Mjerenje toga dana biće pravedno: oni čija dobra djela prevagnu, oni će šta žele postići;
009_00	a oni čija dobra djela budu lahka, oni će, zato što dokaze Naše nisu priznavali, stradati.
010_00	Mi smo vas na Zemlji smjestili i na njoj vam sve što je potrebno za život dali. – A kako vi malo zahvaljujete!
011_00	Mi smo Adema stvorili i onda mu oblik dali, a poslije melekima rekli: "Poklonite mu se!" – i oni su se poklonili, osim Iblisa, on se nije htio pokloniti.
012_00	"Zašto se nisi poklonio kad sam ti naredio?" – upita On. – "Ja sam bolji od njega; mene si od vatre stvorio, a njega od ilovače" – odgovori on.
013_00	"E onda izlazi iz Dženneta" – reče On – "ne priliči ti da u njemu prkosiš; izlazi, ti si, zaista, od onih prezrenih!"
014_00	"Daj mi vremena do Dana njihova oživljenja!" – zamoli on.
015_00	"Daje ti se vremena!" – reče On.
016_00	"E zato što si odredio pa sam u zabludu pao" – reče – "kunem se da ću ih na Tvom Pravom putu presretati,
017_00	pa ću im sprijeda, i straga, i zdesna i slijeva prilaziti, i Ti ćeš ustanoviti da većina njih neće zahvalna biti!"
018_00	"Izlazi iz njega, pokuđen i ponižen!" – reče On. "Tobom i svima onima koji se budu povodili za tobom doista ću Džehennem napuniti!
019_00	A ti, o Ademe, i žena tvoja u Džennetu stanujte i odakle god hoćete jedite, samo se ovom drvetu ne približujte, da se prema sebi ne ogriješite!"
020_00	I šejtan im poče bajati da bi im otkrio stidna mjesta njihova, koja su im skrivena bila, i reče: "Gosp
020_01	odar vaš vam zabranjuje ovo drvo samo zato da ne biste meleki postali ili da ne biste besmrtni bili" –
021_00	i zaklinjaše im se: "Ja sam vam, zaista, savjetnik iskreni!"
022_00	I na prevaru ih zavede. A kad oni drvo okusiše, stidna mjesta njihova im se ukazaše
022_01	i oni po sebi džennetsko lišće stavljati počeše. "Zar vam to drvo nisam zabranio?!" – zovnu ih Gospodar njihov – "i rekao vam: 'Šejtan vam je, zbilja, otvoreni neprijatelj.'"
023_00	"Gospodaru naš" – rekoše oni – "sami smo sebi krivi, i ako nam Ti ne oprostiš i ne smiluješ nam se, sigurno ćemo biti izgubljeni."
024_00	"Izlazite" – reče On – "jedni drugima bićete neprijatelji! Na Zemlji ćete boraviti i do smrti ostati.
025_00	Na njoj ćete živjeti, na njoj ćete umirati i iz nje oživljeni biti" – reče On.
026_00	O sinovi Ademovi, dali smo vam odjeću koja će pokrivati stidna mjesta vaša, a i raskošna odijela,
026_01	ali, odjeća čestitosti, to je ono najbolje. – To su neki Allahovi dokazi da bi se oni opametili.
027_00	O sinovi Ademovi, neka vas nikako ne zavede šejtan kao što je roditelje vaše iz Dženneta izveo, skinuvši s njih odjeću njihovu da bi im stidna mjesta njihova pokazao!
027_01	On vas vidi, on i vojske njegove, odakle vi njih ne vidite. Mi smo učinili šejtane zaštitnicima onih koji ne vjeruju.
028_00	A kada urade neko ružno djelo, govore: "Zatekli smo pretke naše da to rade, a i Allah nam je to zapovijedio."
028_01	Reci: "Allah ne zapovijeda da se rade ružna djela! Zašto o Allahu govorite ono što ne znate?"
029_00	Reci: "Gospodar moj naređuje – pravednost. I obraćajte se samo Njemu kad god obavljate molitvu, i molite Mu se iskreno Mu ispovijedajući vjeru! Kao što vas je iz ničega stvorio, tako će vas ponovo oživiti."
030_00	On jednima na Pravi put ukazuje, a druge, s pravom, u zabludi ostavlja, jer oni, mjesto Allaha, šejtane za zaštitnike uzimaju i misle da dobro rade.
031_00	O sinovi Ademovi, lijepo se obucite kad hoćete molitvu obaviti! I jedite i pijte, samo ne pretjerujte; On ne voli one koji pretjeruju.
032_00	Reci: "Ko je zabranio Allahove ukrase, koje je On za robove Svoje stvorio, i ukusna jela?"
032_01	Reci: "Ona su za vjernike na ovome svijetu, na onome svijetu su samo za njih." Eto, tako Mi podrobno izlažemo dokaze ljudima koji znaju.
033_00	Reci: "Gospodar moj zabranjuje razvrat, i javni i potajni, i grijehe, i neopravdano nasilje, i da Alla
033_01	hu smatrate ravnim one za koje On nikakav dokaz objavio nije, i da o Allahu govorite ono što ne znate."
034_00	Svaki narod ima svoj kraj, i kad dođe njegov kraj, neće ga moći ni za tren jedan ni odložiti ni ubrzati.
035_00	O sinovi Ademovi, kad vam između vas samih budu dolazili poslanici koji će vam propise Moje objašnjavati – onda se oni koji se budu Allaha bojali i dobra djela činili neće ničega bojati niti će za bilo čim tugovati;
036_00	a oni koji dokaze Naše budu poricali, i od njih se budu oholo okretali, biće stanovnici u vatri, u njoj će vječno ostati.
037_00	Ima li, onda, nepravednijeg od onoga koji o Allahu govori laži i ne priznaje Njegove riječi?
037_01	Takvi će dobiti sve ono što im je zapisano.
037_02	Ali kada im izaslanici Naši dođu da im dušu uzmu, upitaće: "A gdje su oni kojima ste se, umjesto Allahu, klanjali?" – "Izgubili su nam se" – odgovoriće, i sami protiv sebe posvjedočiti da su nevjernici bili.
038_00	"Ulazite u Džehennem s narodima, sa džinima i ljudima koji su prije vas bili i nestali!" – reći će On.
038_01	I kad god neki narod uđe, proklinjat će onaj za kojim se u nevjerovanju poveo. A kad se svi u njemu iskupe, tada će običan puk reći o glavešinama svojim: "Gospodaru naš, ovi su nas u zabludu odveli, zato im podaj dvostruku patnju u vatri!"
038_02	– "Za sve će biti dvostruka!" – reći će On – "ali vi ne znate."
039_00	A glavešine će reći običnom puku: "Pa vi nemate nikakve prednosti pred nama!" Zato iskusite patnju za ono što ste radili.
040_00	Onima koji dokaze Naše budu poricali i prema njima se budu oholo odnosili – kapije nebeske neće se otvoriti, i prije će debelo uže kroz iglene uši proći nego što će oni u Džennet ući.
040_01	Eto tako ćemo Mi grješnike kazniti.
041_00	U Džehennemu će im ležaj i pokrivači od vatre biti. Eto tako ćemo Mi nevjernike kazniti.
042_00	A oni koji budu vjerovali i dobra djela činili – Mi nikog ne zadužujemo preko njegovih mogućnosti – biće stanovnici Dženneta, u njemu će vječno ostati.
043_00	Iz njihovih grudi ćemo zlobu odstraniti; ispred njih će rijeke teći, i oni će govoriti: "Hvaljen neka je Allah, ko ji nas je na Pravi put uputio; mi ne bismo na Pravome putu bili da nas Allah nije uputio,
043_01	poslanici Gospodara naše g su zaista istinu donosili",
043_02	i njima će se doviknuti: "Taj Džennet ste u nasljedstvo dobili za ono što ste činili!"
044_00	I stanovnici Dženneta će stanovnike vatre dozivati: "Mi smo našli da je istinito ono što nam je Gospodar naš obećao, da li ste i vi našli da je istinito ono čime vam je Gospodar vaš prijetio?" – "Jesmo!" – odgovoriće.
044_01	A onda će jedan glasnik među njima, da ga i jedni i drugi čuju, viknuti: "Neka Allahovo prokletstvo ostane nad onima koji su se prema sebi ogriješili,
045_00	koji su od Allahova puta odvraćali i nastojali ga iskriviti, i koji u onaj svijet nisu vjerovali!"
046_00	Između njih biće bedem, a na vrhovima ljudi koji će svakoga po obilježju njegovome poznati.
046_01	I oni će stanovnicima Dženneta viknuti: "Mir vama!" – dok još ne uđu u nj, a jedva će čekati.
047_00	A kada im pogledi skrenu prema stanovnicima Džehennema, uzviknuće: "Gospodaru naš, ne daj nam da budemo s narodom grješnim!"
048_00	Oni koji će po vrhovima bedema biti zovnuće neke ljude, koje će po obilježju njihovom poznati, i reći će: "Šta vam koristi ono što ste zgrtali i to što ste se oholo držali?
049_00	Zar nisu ovo oni za koje ste se zaklinjali da ih Allahova milost neće stići?" – a Allah im je rekao: "Uđite u Džennet, nikakva straha za vas neće biti, i ni za čim vi nećete tugovati!"
050_00	I stanovnici vatre dozivaće stanovnike Dženneta: "Prolijte na nas vode ili nešto od onoga čime vas je Allah obdario!" –
050_01	a oni će reći: "Allah je to dvoje nevjernicima zabranio,
051_00	kojima je vjera njihova bila igra i zabava i koje je život na Zemlji bio obmanuo." – Sada ćemo Mi njih za
051_01	boraviti, zato što su zaboravljali da će na ovaj Dan pred Nama stajati i zato što su dokaze Naše poricali.
052_00	A Mi ovima Knjigu objavljujemo, koju smo kako Mi znamo objasnili, da bude putokaz i milost ljudima koji budu vjerovali.
053_00	Čekaju li oni da se obistine prijetnje njene?
053_01	Onoga dana kada se obistine, reći će oni koji su na njih prije zaboravili: "Istinu su poslanici Gospodara našeg donosili!
053_02	Da nam je zagovornika kakva, pa da se za nas zauzme ili da nam je da budemo vraćeni, pa da postupimo drukčije nego što smo postupili!" Ali, oni su sami sebe upropastili, a neće im biti ni onih koje su izmišljali.
054_00	Gospodar vaš je Allah, koji je nebesa i Zemlju u šest vremenskih razdoblja stvorio, a onda svemirom zagospodario;
054_01	On tamom noći prekriva dan, koja ga u stopu prati, a Sunce i Mjesec i zvijezde se pokoravaju Njegovoj volji. Samo On stvara i upravlja!
054_02	Uzvišen neka je Allah, Gospodar svjetova!
055_00	Molite se ponizno i u sebi Gospodaru svome, ne voli On one koji se previše glasno mole.
056_00	I ne pravite nered na Zemlji, kad je na njoj red uspostavljen, a Njemu se molite sa strahom i nadom; milost Allahova je doista blizu onih koji dobra djela čine.
057_00	On je Taj koji šalje vjetrove kao radosnu vijest milosti Svoje; a kad oni pokrenu teške oblake,
057_01	Mi ih prema mrtvom predjelu potjeramo, pa na njega kišu spustimo i učinimo da uz njenu pomoć rastu plodovi svakovrsni;
057_02	isto ćemo tako mrtve oživiti, opametite se!
058_00	U plodnom predjelu raste bilje voljom Gospodara njegova, a u neplodnom tek s mukom. Eto, tako Mi, na razne načine, ponavljamo dokaze ljudima koji zahvaljuju.
059_00	Mi smo poslali Nuha narodu njegovu. "O narode moj" – govorio je on – "Allahu se klanjajte, vi drugog boga osim Njega nemate! Ja se doista plašim za vas patnje na Velikom danu!"
060_00	A glavešine naroda njegova su odgovarale: "Mi smatramo da si ti u pravoj zabludi."
061_00	"O narode moj" – govorio je on – " nisam ja ni u kakvoj zabludi, nego sam poslanik Gospodara svjetova;
062_00	poslanice Gospodara svoga vam dostavljam i savjete vam upućujem; a ja od Allaha znam ono što ne znate vi.
063_00	Zar vam je čudno što vam pouka od Gospodara vašeg dolazi po čovjeku, jednom od vas, da vas opominje, da biste se grijeha klonili i pomilovani bili?"
064_00	Ali, oni su ga lažnim smatrali, pa smo njega i one koji su bili uz njega u lađi spasili, a one koji u dokaze Naše nisu vjerovali – potopili; uistinu, oni su pravi slijepci bili.
065_00	A Adu – njegova brata Huda. "O narode moj" – govorio je on – "Allahu robujte, vi drugog boga osim Njega nemate, zar se ne bojite?"
066_00	Glavešine naroda njegova, koje nisu vjerovale, odgovarale su: "Mi smatramo da si ti doista neznalica i mi mislimo da si ti zaista lažac."
067_00	"O narode moj" – govorio je on – "nisam ja neznalica, nego sam Gospodara svjetova poslanik;
068_00	dostavljam vam poslanice Gospodara svoga, i ja sam vam iskren savjetnik.
069_00	Zar vam je čudno što vam pouka od Gospodara vašeg dolazi po čovjeku, jednom od vas, da vas opominje? Sjetite se da vas je On nasljednicima Nuhova naroda učinio; to što ste krupna rasta – Njegovo je djelo.
069_01	I neka su vam zato uvijek na umu Allahove blagodati, da biste postigli ono što budete željeli. "
070_00	"Zar si nam došao zato da se jedino Allahu klanjamo, a da one kojima su se klanjali preci naši napustimo?" – govorili su oni. "Učini da nas snađe to čime nam prijetiš, ako je istina to što govoriš!"
071_00	"Već će vas stići kazna i gnjev Gospodara vašeg!" – govorio je on.
071_01	"Zar sa mnom da se prepirete o imenima nekakvim kojima ste ih vi i preci vaši nazvali, a o kojima Allah nikakav dokaz nije objavio? Zato čekajte, i ja ću s vama čekati!"
072_00	I Mi smo iz milosti Naše njega i one koji su bili uz njega spasili, a do posljednjeg istrijebili one koji dokaze Naše nisu priznavali i koji nisu vjerovali.
073_00	A Semudu – njegova brata Saliha. "O narode moj" – govorio je on – "Allahu se klanjajte, vi drugog boga osim Njega nemate!
073_01	Evo vam znak od Gospodara vašeg: ova Allahova kamila za vas je znak. Pustite je neka pase po Allahovoj zemlji i ne zlostavljajte je pa da vas patnja nesnosna stigne!
074_00	I sjetite se da ste Njegovom voljom postali nasljednici Ada i da vas je On na Zemlji nastanio; u ravnicama njezinim palate gradite, a u brdima kuće klešete.
074_01	I neka su vam uvijek na umu Allahove blagodati, i ne činite zlo po Zemlji nered praveći!"
075_00	A glavešine naroda njegova, one koje su se oholile, upitaše potlačene, one među njima koji su vjerovali: "Vjerujete li vi da je Salih poslan od Gospodara svoga?"
075_01	– "Mi, uistinu, vjerujemo u sve ono što je po njemu objavljeno" – odgovoriše oni.
076_00	"A mi, doista, ne vjerujemo u to u što vi vjerujete" – rekoše oni koji su bili oholi.
077_00	I zaklaše onu kamilu, i zapovijed Gospodara svoga ne poslušaše i rekoše: "O Salih, učini da nas snađe to čime prijetiš, ako si poslanik."
078_00	I zadesi ih strašan potres i oni u zemlji svojoj osvanuše mrtvi, nepomični,
079_00	a on ih je već bio napustio i rekao: "O narode moj, prenio sam vam poslanicu Gospodara svoga i opominjao sam vas, ali vi ne volite one koji opominju."
080_00	I Luta – kad reče narodu svome: "Zašto činite razvrat koji niko prije vas na svijetu nije činio?
081_00	Vi sa strašću prilazite muškarcima, umjesto ženama. Ta vi ste narod koji sve granice zla prelazi!"
