001_00	Когда небо расколется,
002_00	когда тела небесные осыплются,
003_00	когда моря перельются и смешаются (или высохнут),
004_00	когда могилы перевернутся,
005_00	тогда каждая душа узнает, что она совершила и что оставила после себя.
006_00	О человек! Что ввело тебя в заблуждение относительно твоего Великодушного Господа,
007_00	Который сотворил тебя и сделал твой облик совершенным и соразмеренным?
008_00	Он сложил тебя в том облике, в каком пожелал.
009_00	Но нет! Вы же считаете ложью воздаяние.
010_00	Воистину, над вами есть хранители -
011_00	благородные писцы,
012_00	которые знают о том, что вы совершаете.
013_00	Воистину, благочестивые окажутся в блаженстве.
014_00	Воистину, грешники окажутся в Аду,
015_00	куда они войдут в День воздаяния.
016_00	Они не смогут избежать этого.
017_00	Откуда ты мог знать, что такое День воздаяния?
018_00	Да, откуда ты мог знать, что такое День воздаяния?
019_00	В тот день ни одна душа не сможет ничем помочь другой, и власть в тот день будет принадлежать Аллаху.
